CP,Năm,Kỳ,Capital_Ratio,Provision_Ratio,NIM_Proxy,ROA,ROE,LDR,Tăng trưởng doanh thu (%),Tăng trưởng lợi nhuận (%)
ABB,2025,3,0.0774179344033063,0.003467219191146914,0.007893601516146025,0.00249686579915922,0.03225177497182857,0.8918489806928708,0.734501441056991,2.79389484552737
ABB,2025,2,0.07502111528372732,0.0046551403822299,0.007339668963591481,0.003993778253396435,0.05323538897405218,0.916199960471829,0.6280800745702264,2.0843842100899246
ABB,2025,1,0.07813059394733898,0.0035307280102159157,0.0045281746078522,0.001809654634000738,0.023161920863170045,1.0733635577024525,0.1964353717677762,1.162656087408949
ABB,2024,4,0.0793615808239426,0.002538175798517207,0.004770155342122234,0.002292144556357852,0.028882294588395287,1.069590235557948,-0.0531017750127881,4.650300998522043
ABB,2024,3,0.0804295953171789,0.005416377121730013,0.004492461556167664,-0.0017341916385083763,-0.021561610892974013,1.065738206035388,-0.1765587333473328,-4.356011740292483
ABB,2024,2,0.08813177705011799,0.005171318700161626,0.005272125534533855,0.0017436016360418375,0.019784029034729457,1.0479105280849912,-0.1902518883703238,4.052537370275159
ABB,2024,1,0.09416522314900001,0.0022729933733184834,0.004563587056247741,0.0010620462534128839,0.011278540186034297,0.9324701763461569,-0.1192483068703588,-0.6854169820816983
ABB,2023,4,0.0831592336333198,0.004532017827270374,0.004064390643852458,-0.000684568174187201,-0.008232016389252918,0.9674843799312778,0.0655355634534984,-1.750718889439762
ABB,2023,3,0.09296447428194347,0.0029315856942794378,0.004571048062838543,0.00016604555602982133,0.001786118378147731,0.8666033011876428,0.2798377979964118,-0.6569416498993964
ABB,2023,2,0.08605671236283245,0.008434612077375184,0.00502778165031469,0.00034001420840483785,0.003951048082934768,0.9458039014563725,0.3898948590561935,-0.9394719310661191
ABB,2023,1,0.1000992048753259,0.0014920618316266337,0.0058859474207086145,0.003639887680257284,0.03636280312906365,1.038210590118781,0.4866415618696968,0.0615898196634789
ACB,2025,3,0.09637402288987915,0.0004357795977869963,0.007136909894906703,0.00451277499185767,0.046825636790259854,1.1611187375292336,0.1646282285953168,0.105982464322117
ACB,2025,2,0.09341913184741177,0.000737711608931145,0.007159669465978275,0.005228647487328414,0.05596977175798147,1.1062069217844845,0.1462144376559555,0.0923264385410163
ACB,2025,1,0.09765286643037276,0.0010568796241152644,0.007131374229860138,0.004125121599997913,0.04224270879891843,1.0764128811660094,0.1117582060253291,-0.0581635414791601
ACB,2024,4,0.0965985267344931,0.0002572974146525789,0.008194727159109967,0.005260803238008257,0.054460491436560864,1.068196169361505,0.0801725767008669,0.1345600244016954
ACB,2024,3,0.10143424099763028,0.0006534330747717293,0.008851877609454231,0.0049786856690727625,0.04908288976292607,1.0705371734547524,-0.007819313792599,-0.0414069916650547
ACB,2024,2,0.0971738960685803,0.0010814502428135742,0.009239577501625029,0.005805786232618884,0.05974635645483907,1.0628444958334862,-0.0816341209180454,0.1559151606142614
ACB,2024,1,0.10283368755403975,0.0010237384843585886,0.009241766505251669,0.005369764761944172,0.052217953957182824,1.0152906468797003,-0.0935162514341991,-0.055528026526537
ACB,2023,4,0.09871521306068151,0.0006669799303202651,0.008750227250249931,0.0055736076221352855,0.056461486019476224,0.9990308092953384,0.0512020899367616,0.3956641275198413
ACB,2023,3,0.10304435612211081,0.001171017647537742,0.009574453121179462,0.006225932346467757,0.06041992575595146,0.9980732159401762,0.2620009178255441,0.1256169514735466
ACB,2023,2,0.09964790235405464,0.0016452146288136761,0.009899729933674824,0.006127576242424688,0.06149227527793874,0.9922477361874209,0.4420699881193433,-0.0196041335501482
ACB,2023,1,0.10230326983014362,0.0006296135096908611,0.010168381559490472,0.006765166660642411,0.06612854771772951,0.9618355608121214,0.4606257341494139,0.2577901071775662
BAB,2025,3,0.066543186914483,0.0006690646652856614,0.003653794677991981,0.0006153584535010154,0.00924750499689524,0.9493638886855691,0.1866744607790352,-0.4556535042648393
BAB,2025,2,0.06598261580457959,0.0007073872851457953,0.004823925213158256,0.0013151696739783203,0.019932063285782002,0.8670015723425173,0.1468523566617911,0.4940422813762944
BAB,2025,1,0.0688599363999339,0.0004931178582010281,0.00498376702182329,0.0016719932452408082,0.02428107449199464,0.8798084995579533,0.0587986348845627,0.0824669954812605
BAB,2024,4,0.07119877608527714,0.00010551761885060619,0.005070262658520827,0.002179407863325905,0.030610187185177957,0.8831386978573026,-0.1681984201231932,-0.1208209113490823
BAB,2024,3,0.07315551957704022,0.00040122043283469054,0.004788579840231438,0.0013899103386234369,0.018999391251123838,0.8523236040329002,-0.1071523406811351,2.399285703096853
BAB,2024,2,0.07253173127022114,0.0012008707379016553,0.005966974764191691,0.0010539318797789807,0.014530631784487493,0.8420357076038857,-0.1629282811005097,0.4639177111618623
BAB,2024,1,0.07458278955850012,7.18593168487725e-06,0.005441580427884982,0.001813641420797551,0.024317157236053693,0.8411517664385775,-0.0184407620804562,0.0066485062229869
BAB,2023,4,0.07124579307668971,0.0010193981530797916,0.004885375223589643,0.0026941055936478457,0.03781424105628079,0.8326878053711776,0.2681599134574141,0.4314621797130983
BAB,2023,3,0.07212405669446612,0.000287904661083478,0.0029395670047091594,0.000440267122467977,0.006104303371800736,0.8512630799958955,0.245459373178912,-0.7201847931377576
BAB,2023,2,0.07684488912597887,0.00034713811009051763,0.004737877966444823,0.0008222167097932828,0.010699692837676526,0.9065892463285504,0.3915188025736915,-0.2491814567032789
BAB,2023,1,0.07522892830711404,9.946514030357506e-05,0.004320231579414343,0.0020103081157306266,0.026722540928986245,0.9142443734259125,0.2768468608197359,0.3685712251291858
BID,2025,3,0.054683701430025204,0.0028150021994012868,0.00493905117300819,0.001981435239158811,0.03623447548981869,1.0528412767047144,0.1199763691348786,0.1556195909474041
BID,2025,2,0.054397281569748455,0.002847659595718413,0.0050112012569516265,0.002305818011615028,0.04238847870841665,1.0321268021201422,0.1070974853063966,0.061113699533487
BID,2025,1,0.05458692350358906,0.002213232107592939,0.004882717877299998,0.0020850947677347425,0.03819769706562871,1.0464014424948715,0.0503111651863606,0.0047697710234646
BID,2024,4,0.052488967174415604,0.003423909093058472,0.005664580970615976,0.002878312969696266,0.05483653279234699,1.0332169309078196,-0.0273860127151316,0.2857672960685908
BID,2024,3,0.053742493139822996,0.0023260890387425135,0.005430832955103682,0.0020240310170732898,0.03766165093620285,1.0217228333118202,-0.0991487676740616,0.1240351045630695
BID,2024,2,0.053436517100289634,0.0029041027249580155,0.005885499005606689,0.002589442367958864,0.048458292352755686,1.021008744590584,-0.1402337966773458,0.1732025047667455
BID,2024,1,0.05540264149867679,0.002503997019664811,0.005814910112888825,0.002540258892067914,0.045850862402085725,1.0103208093116771,-0.1096913288431146,0.0629366844168763
BID,2023,4,0.0534232785549334,0.00281193733420448,0.006462532812632702,0.0026906234728857827,0.05036425216994317,1.0193488041104777,0.1030460701571212,0.4891833337950549
BID,2023,3,0.05583495437720131,0.003691645812395933,0.006462276494906103,0.002216717000298328,0.03970124136437845,1.017745011008725,0.2442560774990954,-0.1316941634223551
BID,2023,2,0.05372429543862705,0.0024739685889225912,0.006375844490462381,0.0026119736183932984,0.0486181083822148,1.0285578824196353,0.3395547580247058,0.0520128603748183
BID,2023,1,0.05213835984479323,0.0035548415979722936,0.00661466016247445,0.0026385374430636928,0.05060645273303872,1.0383321701146881,0.4001210475645615,0.5312895529743836
BVB,2025,3,0.060207887081958525,0.0013121832732608692,0.0058459157794736255,0.002236586293555699,0.03714772934169116,1.0903327565415202,0.338781299675982,10.90130636691116
BVB,2025,2,0.05990195758705242,0.002558184324869934,0.005573624455852713,8.94992119126031e-05,0.0014940949430999565,1.038944011134988,0.3140031263626086,-0.8439900399909455
BVB,2025,1,0.056477629465033326,0.002060478593125718,0.004584086157437598,0.0005821838730626476,0.01030822076948346,0.981975144316487,0.1483767296147628,0.1601339124140427
BVB,2024,4,0.059446881808000056,0.002421479653715863,0.007329488755052818,0.0016099284231575637,0.02708179763502596,0.9970390171909552,0.1162611696219439,11.111571308719522
BVB,2024,3,0.060684122175087424,0.0022260256552023936,0.005277008761483314,0.00023175515092947334,0.0038190410048415517,1.0442081484495176,-0.1102798587612685,0.3509029080675422
BVB,2024,2,0.066484430456182,0.0034496920729396663,0.006085953580678301,0.0007322947695698277,0.01101453023730815,1.0211274321118362,-0.1799045294568299,4.9186316541622
BVB,2024,1,0.07097047644797855,0.0018878348814348755,0.005622267192493273,0.0006581964274441468,0.009274228670658646,0.9425477034241636,-0.076369405557577,1.7169477358768868
BVB,2023,4,0.06649568214237733,0.0023768444980004784,0.004870751354368044,9.076739893097919e-05,0.0013650119226784145,0.9969956487178736,0.13673937770479,-0.6946135293442058
BVB,2023,3,0.06978681258421389,0.0008397929836504998,0.00472186237310746,0.00020235654734835924,0.0028996387692039865,0.9698587244840617,0.2394527045852149,-0.6870918030380861
