CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
AAA,2025,3,-0.2576017801809287,2371755171900.0,117554438469,4.39250489317385,27050269621.0,-24230118284.0,2371755171900.0,-2281266294.0,2369473905606.0,-2021865541668.0,347608363938.0,-27956912451.0,19521727945.0,-114912469964.0,-93375443002,157935536087.0,2347804812.0,0.0,-4105796047.0,-1757991235.0,156177544852,-29234436487.0,-1516267073.0,125426841292,7872402823.0,117554438469,,,,,,,,,,,,,,,,,,
AAA,2025,2,-0.16994569750479693,2310908388011.0,131689030063,-0.030899316256811197,73338932159.0,-36639398614.0,2310908388011.0,-934120348.0,2309974267663.0,-1955834761206.0,354139506457.0,-585294140.0,14811396607.0,-127033790183.0,-100544492227,214126258673.0,-513127339.0,0.0,-2612803270.0,-3125930609.0,211000328064,-24331281627.0,-5708743676.0,180960302761,49271272698.0,131689030063,,,,,,,,,,,,,,,,,,
AAA,2025,1,0.30110404952630154,3857615161473.0,45239813399,-0.664160279558303,37647668844.0,-37860213792.0,3857615161473.0,-1207059582.0,3856408101891.0,-3392693587392.0,463714514499.0,-162271190177.0,4307422594.0,-181532495943.0,-98239252481,63626667336.0,11198805094.0,0.0,-6335228300.0,4863576794.0,68490244130,-13539629730.0,561806441.0,55512420841,10272607442.0,45239813399,,,,,,,,,,,,,,,,,,
AAA,2024,4,0.4305353605637385,3844069138022.0,76186464918,-0.1875431312991508,91249831608.0,-49789576625.0,3844069138022.0,-1549525461.0,3842519612561.0,-3393914630919.0,448604981642.0,-68898239666.0,3971654058.0,-229528379756.0,-46666193570,198733654316.0,3807565493.0,0.0,-104225861458.0,-100418295965.0,98315358351,-37525854225.0,2885963798.0,63675467924,-12510996994.0,76186464918,,,,,,,,,,,,,,,,,,
AAA,2024,3,-0.09532640680006627,3194720984754.0,21799597923,-0.779912672349868,33516838128.0,-33905226424.0,3194720984754.0,-1321449422.0,3193399535332.0,-2848063506913.0,345336028419.0,-38092712972.0,7564464721.0,-191007387234.0,-183779758052,-26462526990.0,874508486.0,0.0,-2327212524.0,-1452704038.0,-27915231028,1870420871.0,342912354.0,-25701897803,-47501495726.0,21799597923,,,,,,,,,,,,,,,,,,
AAA,2024,2,-0.0029414050886950004,2784044828229.0,135887872408,2.2143704446370864,98092361110.0,-40781649677.0,2784044828229.0,-1564742697.0,2782480085532.0,-2424146450534.0,358333634998.0,-53929325111.0,21455880482.0,-173233226618.0,-76353933733,174365391128.0,4414811284.0,0.0,-1545380136.0,2869431148.0,177234822276,-33386351113.0,-5934364992.0,137914106171,2026233763.0,135887872408,,,,,,,,,,,,,,,,,,
AAA,2024,1,-0.18042878505572832,2964878299224.0,134706559842,1.4994036419603567,47863280080.0,-35048921226.0,2964878299224.0,-1046971601.0,2963831327623.0,-2632000466517.0,331830861106.0,-39801387126.0,23727758055.0,-123010462870.0,-73583410041,167026639204.0,1119155732.0,0.0,-214707375.0,904448357.0,167931087561,-26560017429.0,2523094307.0,143894164439,9187604597.0,134706559842,,,,,,,,,,,,,,,,,,
AAA,2023,4,-0.21332674928410458,2687154224910.0,93772934728,1.9595447545341231,67921370313.0,-48476740408.0,2687154224910.0,-2575473135.0,2684578751775.0,-2375451450167.0,309127301608.0,-67250781564.0,22819564892.0,-135967900119.0,-89321724866,107327830264.0,4372115464.0,0.0,-3672034674.0,700080790.0,108027911054,-24597831305.0,8752453615.0,92182533364,-1590401364.0,93772934728,,,,,,,,,,,,,,,,,,
AAA,2023,3,0.07290048021427414,3531352090707.0,99049764272,0.240196716306346,63082764650.0,-46635327606.0,3531352090707.0,-2273196017.0,3529078894690.0,-3209329498857.0,319749395833.0,-52837104055.0,11922389158.0,-146527042033.0,-71930869436,123459534117.0,6662250470.0,0.0,-3063556223.0,3598694247.0,127058228364,-24538430487.0,1027660219.0,103547458096,4497693824.0,99049764272,,,,,,,,,,,,,,,,,,
AAA,2023,2,-0.3901680576180326,2792257990090.0,42275112576,-0.5051206854471922,61416035204.0,-46607049754.0,2792257990090.0,-944663741.0,2791313326349.0,-2556304153355.0,235009172994.0,-59379004371.0,3570401793.0,-118984474113.0,-59741058059,61891073448.0,4640556916.0,0.0,-2514955640.0,2125601276.0,64016674724,-15813694251.0,1666526245.0,49869506718,7594394142.0,42275112576,,,,,,,,,,,,,,,,,,
