symbol,rank,final_score,profitability_score,growth_score,scale_score,stability_score,financial_health_score,cash_quality_score,asset_efficiency_score,avg_revenue,avg_net_profit,avg_gross_margin,avg_net_margin,avg_revenue_growth,avg_profit_growth,avg_roa,avg_roe,avg_current_ratio,avg_de_ratio,avg_ocf_quality,avg_fcf,avg_asset_turnover
VHM,1,47.49,56.34,17.38,59.58,99.77,11.76,70.0,45.09,23340918909090.91,7209786090909.09,28.13,27.73,0.97,2.54,0.02,0.04,1.15,1.52,1.0,7209786090909.09,0.05
PLX,2,45.95,56.06,17.41,66.92,99.9,11.73,36.92,59.61,71508494458661.81,710209481965.55,5.84,0.98,0.0,4.21,0.01,0.03,1.15,1.76,1.0,710209481965.55,0.9
POM,3,44.17,75.45,17.32,2.71,99.85,40.17,32.18,44.23,641201569204.82,-220896306951.91,0.78,-45.97,-0.19,-0.47,-0.02,3.58,0.33,-202.12,1.0,-220896306951.91,0.06
CSI,4,44.02,55.48,17.34,3.3,99.35,71.37,33.29,44.34,8051361445.18,-1480799641.45,0.85,-160.82,4.61,-0.15,-0.01,-0.01,114.4,0.01,1.0,-1480799641.45,0.05
VOC,5,43.88,56.73,50.0,4.07,97.52,24.29,33.95,46.02,147311490602.91,127345988506.09,-1.25,78.53,0.2,1702.82,0.04,0.05,24.64,0.07,1.0,127345988506.09,0.06
VEF,6,43.86,69.08,67.63,14.48,27.71,11.15,41.07,46.76,4056806868090.91,1526841019331.45,-724.79,65434.21,15100.8,15.73,0.04,0.11,0.92,5.0,1.0,1526841019331.45,0.1
WSS,7,43.66,55.72,17.32,3.32,99.26,68.66,33.3,44.33,15338802564.91,792730505.27,-2.09,-14.36,1.79,-0.98,0.0,0.0,109.22,0.01,1.0,792730505.27,0.03
VIC,8,43.54,55.83,17.37,52.54,99.98,11.28,42.85,44.93,47308515363636.37,1875765181818.18,9.38,4.79,0.69,2.1,0.0,0.01,0.9,3.96,1.0,1875765181818.18,0.06
VUA,9,43.43,54.34,16.6,3.26,98.77,71.18,33.25,43.16,4312566631.45,-9141086029.27,-135.35,-220.32,-0.42,-38.06,-0.03,-0.03,114.02,0.02,1.0,-9141086029.27,0.01
HPG,10,43.23,56.14,17.35,45.76,99.91,11.87,47.39,47.01,33813392169325.72,2767781686465.55,13.23,7.96,0.04,1.07,0.01,0.02,1.18,0.88,1.0,2767781686465.55,0.16
GAS,11,42.92,56.63,17.33,39.88,99.83,13.52,48.14,49.84,25918926911114.09,2914332358729.91,17.01,11.39,0.06,-0.06,0.03,0.05,4.19,0.35,1.0,2914332358729.91,0.29
HBS,12,42.03,56.28,17.34,3.32,99.92,56.34,33.32,44.39,8114605348.0,3472814190.3,81.04,47.12,0.62,0.22,0.01,0.01,85.74,0.03,1.0,3472814190.3,0.02
HAR,13,41.94,56.16,17.56,3.33,99.88,55.81,33.33,44.02,4435575932.27,5594844597.36,67.85,124.23,-0.21,11.77,0.01,0.01,84.72,0.0,1.0,5594844597.36,0.0
BSR,14,41.33,56.05,17.34,37.09,99.72,12.68,38.53,51.31,34037019241714.46,1026621202832.0,3.15,2.9,-0.04,0.29,0.01,0.02,2.62,0.48,1.0,1026621202832.0,0.41
VIX,15,41.17,56.7,17.41,6.7,99.46,44.59,35.96,45.47,876311119548.64,523004970472.0,64.11,48.16,1.26,4.05,0.03,0.04,63.38,0.18,1.0,523004970472.0,0.05
MWG,16,41.05,56.15,17.57,35.52,99.81,12.04,37.4,52.82,33520700355861.72,804956371755.82,19.72,2.24,0.05,12.22,0.01,0.03,1.67,1.5,1.0,804956371755.82,0.5
TVB,17,40.99,56.36,17.42,3.44,99.57,49.04,33.41,44.9,36477124667.64,21183418580.91,49.3,-22.5,0.32,4.62,0.02,0.02,71.82,0.03,1.0,21183418580.91,0.03
