time,open,high,low,close,volume,symbol
2025-08-21,7.3,7.3,7.29,7.29,3400,AAM
2025-08-22,7.25,7.27,7.12,7.12,19000,AAM
2025-08-25,7.12,7.2,7.12,7.2,5900,AAM
2025-08-26,7.49,7.49,7.15,7.2,6100,AAM
2025-08-27,7.2,7.3,7.2,7.29,2100,AAM
2025-08-28,7.29,7.29,7.15,7.15,1700,AAM
2025-08-29,7.15,7.17,7.15,7.17,1600,AAM
2025-09-03,7.18,7.3,7.18,7.3,700,AAM
2025-09-04,7.3,7.3,7.13,7.13,1300,AAM
2025-09-05,7.17,7.29,7.17,7.19,5500,AAM
2025-09-08,7.18,7.29,7.18,7.28,2500,AAM
2025-09-09,7.28,7.28,7.25,7.25,3100,AAM
2025-09-10,7.25,7.29,7.2,7.25,3100,AAM
2025-09-11,7.25,7.5,7.25,7.39,15500,AAM
2025-09-12,7.39,7.39,7.2,7.38,2300,AAM
2025-09-15,7.35,7.35,7.25,7.3,6500,AAM
2025-09-16,7.3,7.3,7.23,7.25,4800,AAM
2025-09-17,7.25,7.25,7.24,7.24,1000,AAM
2025-09-18,7.23,7.3,7.2,7.22,10900,AAM
2025-09-19,7.22,7.22,6.99,7.0,40300,AAM
2025-09-22,7.0,7.2,6.98,6.98,54900,AAM
2025-09-23,6.98,7.0,6.98,7.0,35400,AAM
2025-09-24,7.1,7.25,7.0,7.2,4400,AAM
2025-09-25,7.2,7.2,7.1,7.15,95400,AAM
2025-09-26,7.15,7.2,7.12,7.12,4800,AAM
2025-09-29,7.13,7.13,7.01,7.01,2400,AAM
2025-09-30,7.0,7.15,7.0,7.1,1900,AAM
2025-10-01,7.1,7.1,7.05,7.1,4600,AAM
2025-10-02,7.1,7.1,6.91,7.05,1100,AAM
2025-10-03,7.05,7.05,7.0,7.0,4000,AAM
2025-10-06,7.1,7.1,7.01,7.1,300,AAM
2025-10-07,7.1,7.1,7.0,7.05,4300,AAM
2025-10-08,7.05,7.05,6.75,6.87,3600,AAM
2025-10-09,6.93,7.0,6.9,7.0,2600,AAM
2025-10-10,7.0,7.0,6.91,6.91,2200,AAM
2025-10-13,6.91,7.25,6.91,7.0,5300,AAM
2025-10-14,7.01,7.05,7.0,7.05,1200,AAM
2025-10-15,7.09,7.15,7.0,7.15,6900,AAM
2025-10-16,7.21,7.21,7.15,7.15,3900,AAM
2025-10-17,7.15,7.2,7.15,7.2,11500,AAM
2025-10-20,7.2,7.4,7.1,7.1,1500,AAM
2025-10-21,7.0,7.1,6.95,6.95,3000,AAM
2025-10-22,7.0,7.0,6.95,7.0,2500,AAM
2025-10-23,7.1,7.17,7.0,7.0,2600,AAM
2025-10-24,7.06,7.06,7.03,7.03,10500,AAM
2025-10-27,6.86,7.03,6.86,7.02,1100,AAM
2025-10-28,7.02,7.02,7.0,7.0,3900,AAM
2025-10-29,7.0,7.05,7.0,7.0,5400,AAM
2025-10-30,7.01,7.01,7.01,7.01,3200,AAM
2025-10-31,7.01,7.01,7.0,7.0,1300,AAM
