time,open,high,low,close,volume,symbol
2025-08-21,63.1,63.1,61.9,62.5,981300,ACV
2025-08-22,62.5,62.5,59.7,61.0,996300,ACV
2025-08-25,61.0,61.7,59.1,59.9,662500,ACV
2025-08-26,59.9,60.0,58.9,59.0,998600,ACV
2025-08-27,59.3,62.0,58.9,61.0,1004600,ACV
2025-08-28,61.0,63.3,61.0,61.8,792700,ACV
2025-08-29,62.4,62.4,60.5,61.1,553500,ACV
2025-09-03,61.1,62.0,60.6,61.1,219700,ACV
2025-09-04,61.1,61.9,60.6,60.7,572300,ACV
2025-09-05,60.9,61.0,60.0,60.2,1086900,ACV
2025-09-08,61.0,61.0,58.9,59.0,923100,ACV
2025-09-09,59.3,59.7,58.5,59.0,409700,ACV
2025-09-10,59.4,59.8,58.6,58.9,373500,ACV
2025-09-11,58.9,59.5,57.5,58.4,585800,ACV
2025-09-12,58.4,58.7,57.9,58.1,746000,ACV
2025-09-15,58.2,60.8,58.2,59.8,1169400,ACV
2025-09-16,59.8,60.5,59.5,59.7,662500,ACV
2025-09-17,59.9,61.0,59.4,59.7,703500,ACV
2025-09-18,59.9,60.0,58.3,58.8,698900,ACV
2025-09-19,58.5,59.5,58.3,58.5,555900,ACV
2025-09-22,58.6,59.2,57.5,57.6,715500,ACV
2025-09-23,57.6,58.3,57.2,57.8,290100,ACV
2025-09-24,57.8,58.1,57.0,57.9,240900,ACV
2025-09-25,57.9,58.2,57.8,58.0,313100,ACV
2025-09-26,58.0,59.7,57.9,57.9,545900,ACV
2025-09-29,57.9,58.4,57.1,57.5,843800,ACV
2025-09-30,57.6,57.6,55.7,55.9,1261300,ACV
2025-10-01,55.9,56.0,55.4,55.6,1045800,ACV
2025-10-02,55.6,55.9,55.1,55.3,408100,ACV
2025-10-03,55.3,55.5,54.8,55.0,437800,ACV
2025-10-06,55.0,56.0,55.0,55.9,519900,ACV
2025-10-07,56.0,57.2,55.9,56.0,456400,ACV
2025-10-08,56.3,57.0,55.8,56.2,384900,ACV
2025-10-09,56.2,56.5,55.1,55.5,563100,ACV
2025-10-10,55.5,56.3,55.1,55.4,660600,ACV
2025-10-13,55.4,55.4,54.2,54.6,613400,ACV
2025-10-14,54.7,54.8,53.3,53.8,1129500,ACV
2025-10-15,54.0,54.0,53.0,53.1,900600,ACV
2025-10-16,53.2,53.5,52.8,53.1,523100,ACV
2025-10-17,53.1,53.3,52.6,52.7,677500,ACV
2025-10-20,52.9,53.5,50.4,50.7,1049800,ACV
2025-10-21,51.9,51.9,50.5,51.5,934200,ACV
2025-10-22,52.0,55.9,51.6,53.5,778500,ACV
2025-10-23,53.9,54.5,53.1,53.5,342000,ACV
2025-10-24,53.9,53.9,52.6,53.2,397800,ACV
2025-10-27,54.0,54.0,52.7,53.4,317100,ACV
2025-10-28,53.4,55.3,53.4,54.9,995600,ACV
2025-10-29,54.9,56.2,54.7,54.9,855100,ACV
2025-10-30,55.3,55.3,54.4,54.9,370000,ACV
2025-10-31,55.0,56.1,54.7,55.4,1349700,ACV
