time,open,high,low,close,volume,symbol
2024-05-17,1.3,1.3,1.3,1.3,0,ART
2024-05-20,1.3,1.3,1.3,1.3,0,ART
2024-05-21,1.3,1.3,1.3,1.3,0,ART
2024-05-22,1.3,1.3,1.3,1.3,0,ART
2024-05-23,1.3,1.3,1.3,1.3,0,ART
2024-05-24,1.3,1.3,1.3,1.3,0,ART
2024-05-27,1.3,1.3,1.3,1.3,0,ART
2024-05-28,1.3,1.3,1.3,1.3,0,ART
2024-05-29,1.3,1.3,1.3,1.3,0,ART
2024-05-30,1.3,1.3,1.3,1.3,0,ART
2024-05-31,1.3,1.3,1.3,1.3,0,ART
2024-06-03,1.3,1.3,1.3,1.3,0,ART
2024-06-04,1.3,1.3,1.3,1.3,0,ART
2024-06-05,1.3,1.3,1.3,1.3,0,ART
2024-06-06,1.3,1.3,1.3,1.3,0,ART
2024-06-07,1.3,1.3,1.3,1.3,0,ART
2024-06-10,1.3,1.3,1.3,1.3,0,ART
2024-06-11,1.3,1.3,1.3,1.3,0,ART
2024-06-12,1.3,1.3,1.3,1.3,0,ART
2024-06-13,1.3,1.3,1.3,1.3,0,ART
2024-06-14,1.3,1.3,1.3,1.3,0,ART
2024-06-17,1.3,1.3,1.3,1.3,0,ART
2024-06-18,1.3,1.3,1.3,1.3,0,ART
2024-06-19,1.3,1.3,1.3,1.3,0,ART
2024-06-20,1.3,1.3,1.3,1.3,0,ART
2024-06-21,1.3,1.3,1.3,1.3,0,ART
2024-06-24,1.3,1.3,1.3,1.3,0,ART
2024-06-25,1.3,1.3,1.3,1.3,0,ART
2024-06-26,1.3,1.3,1.3,1.3,0,ART
2024-06-27,1.3,1.3,1.3,1.3,0,ART
2024-06-28,1.3,1.3,1.3,1.3,0,ART
2024-07-01,1.3,1.3,1.3,1.3,0,ART
2024-07-02,1.3,1.3,1.3,1.3,0,ART
2024-07-03,1.3,1.3,1.3,1.3,0,ART
2024-07-04,1.3,1.3,1.3,1.3,0,ART
2024-07-05,1.3,1.3,1.3,1.3,0,ART
2024-07-08,1.3,1.3,1.3,1.3,0,ART
2024-07-09,1.3,1.3,1.3,1.3,0,ART
2024-07-10,1.3,1.3,1.3,1.3,0,ART
2024-07-11,1.3,1.3,1.3,1.3,0,ART
2024-07-12,1.3,1.3,1.3,1.3,0,ART
2024-07-15,1.3,1.3,1.3,1.3,0,ART
2024-07-16,1.3,1.3,1.3,1.3,0,ART
2024-07-17,1.3,1.3,1.3,1.3,0,ART
2024-07-18,1.3,1.3,1.3,1.3,0,ART
2024-07-19,1.3,1.3,1.3,1.3,0,ART
2024-07-22,1.3,1.3,1.3,1.3,0,ART
2024-07-23,1.3,1.3,1.3,1.3,0,ART
2024-07-24,1.3,1.3,1.3,1.3,0,ART
2024-07-25,1.3,1.3,1.3,1.3,0,ART
