time,open,high,low,close,volume,symbol
2025-08-21,3.06,3.06,3.0,3.02,80400,BKG
2025-08-22,3.04,3.04,2.95,2.95,160300,BKG
2025-08-25,2.97,3.01,2.95,2.95,80800,BKG
2025-08-26,2.94,3.0,2.91,2.99,150500,BKG
2025-08-27,3.0,3.01,2.97,3.0,91600,BKG
2025-08-28,3.0,3.0,2.97,2.99,55000,BKG
2025-08-29,2.99,3.06,2.99,3.01,94300,BKG
2025-09-03,3.01,3.04,3.01,3.01,74300,BKG
2025-09-04,3.05,3.06,3.01,3.06,125900,BKG
2025-09-05,3.06,3.06,3.02,3.02,139700,BKG
2025-09-08,3.02,3.04,2.98,2.98,205300,BKG
2025-09-09,2.98,3.01,2.98,2.98,44800,BKG
2025-09-10,2.97,3.0,2.97,3.0,33300,BKG
2025-09-11,2.96,2.97,2.92,2.95,120500,BKG
2025-09-12,2.95,3.02,2.95,2.99,117100,BKG
2025-09-15,2.99,3.01,2.95,3.0,271400,BKG
2025-09-16,3.02,3.15,3.01,3.11,389200,BKG
2025-09-17,3.11,3.32,3.1,3.32,597300,BKG
2025-09-18,3.53,3.55,3.33,3.33,1339400,BKG
2025-09-19,3.34,3.5,3.34,3.45,383900,BKG
2025-09-22,3.46,3.56,3.3,3.34,721500,BKG
2025-09-23,3.48,3.48,3.3,3.42,543800,BKG
2025-09-24,3.42,3.48,3.19,3.29,822600,BKG
2025-09-25,3.29,3.29,3.17,3.17,268200,BKG
2025-09-26,3.15,3.27,3.1,3.13,227400,BKG
2025-09-29,3.13,3.13,3.03,3.07,295500,BKG
2025-09-30,3.07,3.1,3.02,3.1,152300,BKG
2025-10-01,3.1,3.16,3.03,3.16,83400,BKG
2025-10-02,3.16,3.17,3.08,3.08,108300,BKG
2025-10-03,3.09,3.1,3.03,3.1,56900,BKG
2025-10-06,3.05,3.1,3.04,3.08,779800,BKG
2025-10-07,3.17,3.17,3.05,3.09,270500,BKG
2025-10-08,3.1,3.15,3.08,3.08,69800,BKG
2025-10-09,3.1,3.13,3.07,3.1,71600,BKG
2025-10-10,3.1,3.12,3.05,3.09,125600,BKG
2025-10-13,3.05,3.08,2.99,3.05,195400,BKG
2025-10-14,3.06,3.06,2.97,2.97,244900,BKG
2025-10-15,3.01,3.06,2.95,2.99,22900,BKG
2025-10-16,3.05,3.05,2.96,2.97,97000,BKG
2025-10-17,3.03,3.03,2.87,2.95,250200,BKG
2025-10-20,2.9,2.94,2.8,2.8,259000,BKG
2025-10-21,2.8,2.84,2.76,2.81,76400,BKG
2025-10-22,2.83,2.83,2.79,2.82,55200,BKG
2025-10-23,2.8,2.88,2.8,2.88,85600,BKG
2025-10-24,2.92,2.92,2.8,2.84,86500,BKG
2025-10-27,2.85,2.88,2.84,2.84,47000,BKG
2025-10-28,2.86,3.03,2.83,3.03,344300,BKG
2025-10-29,3.05,3.07,3.0,3.02,128300,BKG
2025-10-30,3.03,3.05,2.86,2.91,147500,BKG
2025-10-31,2.91,2.94,2.9,2.91,24700,BKG
