time,open,high,low,close,volume,symbol
2025-08-21,19.47,19.47,18.3,18.51,17374640,BSR
2025-08-22,17.83,18.55,17.24,17.24,37074699,BSR
2025-08-25,17.4,17.4,16.07,16.07,26398863,BSR
2025-08-26,15.82,17.0,15.82,17.0,13998563,BSR
2025-08-27,17.15,17.15,16.38,16.41,18950149,BSR
2025-08-28,16.59,16.9,16.35,16.81,8112304,BSR
2025-08-29,17.03,17.03,16.41,16.41,16058088,BSR
2025-09-03,16.66,17.34,16.47,17.06,11418009,BSR
2025-09-04,17.24,17.34,16.81,16.94,10761334,BSR
2025-09-05,17.09,17.8,16.81,16.87,16515476,BSR
2025-09-08,16.78,17.12,15.76,15.76,15251951,BSR
2025-09-09,16.07,16.07,15.48,16.01,7854724,BSR
2025-09-10,16.32,17.0,16.04,16.78,14421871,BSR
2025-09-11,16.84,16.97,16.28,16.72,9571912,BSR
2025-09-12,16.87,17.34,16.81,16.84,9621978,BSR
2025-09-15,17.06,17.52,16.84,17.4,11864908,BSR
2025-09-16,17.55,17.55,16.94,17.0,9661125,BSR
2025-09-17,16.97,17.28,16.78,16.78,7383620,BSR
2025-09-18,16.87,16.9,16.44,16.63,7075455,BSR
2025-09-19,16.72,16.72,16.1,16.1,5919206,BSR
2025-09-22,16.22,16.59,15.82,16.59,9620613,BSR
2025-09-23,16.47,16.66,16.28,16.66,4458698,BSR
2025-09-24,16.59,16.72,16.38,16.72,3944870,BSR
2025-09-25,16.87,17.52,16.78,17.31,14592505,BSR
2025-09-26,17.34,17.83,17.03,17.03,10704418,BSR
2025-09-29,17.06,17.24,16.59,16.66,5679051,BSR
2025-09-30,16.72,16.72,16.1,16.22,6883162,BSR
2025-10-01,16.25,16.56,16.25,16.44,2108143,BSR
2025-10-02,16.63,16.84,16.35,16.47,4627771,BSR
2025-10-03,16.56,16.56,16.1,16.13,5556279,BSR
2025-10-06,16.41,16.9,16.16,16.87,5055340,BSR
2025-10-07,16.94,16.94,16.35,16.35,4789216,BSR
2025-10-08,16.44,16.63,16.16,16.47,5699694,BSR
2025-10-09,16.72,17.62,16.72,17.62,21027176,BSR
2025-10-10,18.2,18.51,17.96,18.08,15139555,BSR
2025-10-13,17.77,18.3,17.77,17.86,13749167,BSR
2025-10-14,17.89,17.89,17.34,17.34,17643900,BSR
2025-10-15,17.37,17.77,17.37,17.52,6712360,BSR
2025-10-16,17.74,17.74,17.31,17.37,7403385,BSR
2025-10-17,17.4,17.77,17.15,17.15,8954428,BSR
2025-10-20,17.24,17.49,15.98,15.98,13291898,BSR
2025-10-21,16.04,16.47,15.57,16.28,8839654,BSR
2025-10-22,16.53,16.9,16.35,16.9,6039727,BSR
2025-10-23,17.21,17.37,17.03,17.09,6777599,BSR
2025-10-24,17.28,17.59,16.75,16.9,7779388,BSR
2025-10-27,17.09,17.15,16.32,16.32,7739216,BSR
2025-10-28,16.19,16.38,15.76,16.1,12889842,BSR
2025-10-29,17.2,17.2,17.2,17.2,4407595,BSR
2025-10-30,17.45,17.45,16.6,16.6,11951504,BSR
2025-10-31,16.6,17.15,16.55,16.65,6825047,BSR
