time,open,high,low,close,volume,symbol
2025-08-21,57.69,60.25,57.2,58.87,1373053,BVH
2025-08-22,57.4,58.68,55.34,56.03,1208318,BVH
2025-08-25,56.32,58.38,56.22,57.4,684201,BVH
2025-08-26,57.4,59.76,56.12,59.36,720748,BVH
2025-08-27,58.87,59.56,57.99,58.58,594996,BVH
2025-08-28,58.68,59.36,57.69,59.36,576656,BVH
2025-08-29,60.05,60.05,56.42,57.79,725501,BVH
2025-09-03,57.01,58.58,57.01,57.3,383193,BVH
2025-09-04,57.3,59.46,57.3,59.36,569408,BVH
2025-09-05,59.95,59.95,57.4,57.4,744263,BVH
2025-09-08,57.69,57.69,55.83,55.83,690532,BVH
2025-09-09,55.54,56.03,54.95,55.73,289793,BVH
2025-09-10,55.73,57.11,55.73,56.22,213589,BVH
2025-09-11,56.22,56.71,54.75,56.62,405951,BVH
2025-09-12,57.11,57.5,56.42,56.62,319813,BVH
2025-09-15,56.62,58.19,56.62,58.19,350969,BVH
2025-09-16,58.38,58.38,57.11,57.3,345218,BVH
2025-09-17,57.01,59.76,57.01,58.38,830987,BVH
2025-09-18,58.87,58.87,57.4,57.6,206256,BVH
2025-09-19,58.09,58.09,56.81,56.81,400848,BVH
2025-09-22,56.42,56.62,55.14,55.44,351771,BVH
2025-09-23,55.44,55.83,54.95,54.95,167902,BVH
2025-09-24,54.95,55.63,53.97,55.44,320170,BVH
2025-09-25,55.54,55.93,55.05,55.44,156197,BVH
2025-09-26,55.44,56.12,55.24,55.44,263441,BVH
2025-09-29,55.63,55.63,54.55,55.14,209081,BVH
2025-09-30,54.95,55.34,53.67,54.26,361081,BVH
2025-10-01,54.26,54.46,53.87,53.87,164674,BVH
2025-10-02,53.97,54.46,53.08,53.08,180707,BVH
2025-10-03,52.69,53.08,51.91,52.0,236738,BVH
2025-10-06,52.79,53.48,52.49,53.48,248353,BVH
2025-10-07,53.38,53.57,52.3,52.4,443911,BVH
2025-10-08,53.38,53.87,52.79,53.77,241070,BVH
2025-10-09,53.38,54.16,53.38,54.06,178877,BVH
2025-10-10,54.16,54.16,52.98,53.48,397143,BVH
2025-10-13,53.38,53.38,51.41,51.81,551232,BVH
2025-10-14,52.1,52.59,50.73,51.02,817785,BVH
2025-10-15,51.02,51.02,49.55,50.04,726195,BVH
2025-10-16,50.04,50.43,48.08,50.43,363662,BVH
2025-10-17,50.92,50.92,49.16,49.55,314900,BVH
2025-10-20,49.45,49.75,46.21,46.21,636227,BVH
2025-10-21,46.61,48.08,46.41,48.08,508992,BVH
2025-10-22,48.57,48.77,47.49,48.37,144642,BVH
2025-10-23,48.37,48.57,48.18,48.47,87924,BVH
2025-10-24,48.47,48.57,47.34,47.83,307595,BVH
2025-10-27,47.83,49.65,47.83,48.86,272260,BVH
2025-10-28,48.86,49.01,48.37,48.96,164772,BVH
2025-10-29,49.06,49.94,48.91,49.26,344375,BVH
2025-10-30,49.26,49.84,49.16,49.65,219440,BVH
2025-10-31,50.34,51.41,49.75,49.84,738449,BVH
