time,open,high,low,close,volume,symbol
2025-08-19,7.6,7.6,7.4,7.6,2900,CAG
2025-08-20,7.5,7.6,7.5,7.6,7100,CAG
2025-08-21,7.6,7.6,7.4,7.6,6000,CAG
2025-08-22,7.4,7.5,7.3,7.5,2600,CAG
2025-08-25,7.5,7.5,7.3,7.5,1700,CAG
2025-08-26,7.5,7.6,7.5,7.6,500,CAG
2025-08-27,7.4,7.6,7.4,7.5,10000,CAG
2025-08-28,7.5,7.5,7.4,7.4,1800,CAG
2025-08-29,7.5,7.5,7.4,7.4,4600,CAG
2025-09-03,7.4,7.5,7.3,7.4,2000,CAG
2025-09-04,7.5,7.6,7.4,7.6,16100,CAG
2025-09-05,7.6,7.6,7.4,7.4,4000,CAG
2025-09-08,7.6,7.6,7.5,7.5,2400,CAG
2025-09-09,7.5,7.6,7.4,7.6,5500,CAG
2025-09-10,7.6,7.6,7.6,7.6,200,CAG
2025-09-11,7.6,7.6,7.5,7.6,1600,CAG
2025-09-12,7.4,7.5,7.4,7.5,1600,CAG
2025-09-15,7.6,7.6,7.4,7.6,4800,CAG
2025-09-16,7.6,8.0,7.4,7.6,3500,CAG
2025-09-17,7.6,7.8,7.6,7.8,5300,CAG
2025-09-18,7.6,7.6,7.4,7.6,3200,CAG
2025-09-22,7.5,7.6,7.5,7.6,300,CAG
2025-09-23,7.4,7.6,7.4,7.6,400,CAG
2025-09-24,7.4,7.5,7.3,7.5,1000,CAG
2025-09-25,7.5,7.6,7.3,7.5,1700,CAG
2025-09-26,7.4,7.5,7.3,7.5,10000,CAG
2025-09-29,7.4,7.5,7.4,7.5,500,CAG
2025-09-30,7.5,7.5,7.3,7.4,4300,CAG
2025-10-01,7.4,7.6,7.4,7.6,7900,CAG
2025-10-02,7.3,7.5,7.3,7.5,600,CAG
2025-10-03,7.3,7.5,7.3,7.5,200,CAG
2025-10-06,7.5,7.5,7.5,7.5,200,CAG
2025-10-07,7.3,7.4,7.2,7.4,7600,CAG
2025-10-08,7.2,7.4,7.2,7.3,2000,CAG
2025-10-09,7.3,7.5,7.2,7.4,2500,CAG
2025-10-10,7.3,7.3,7.3,7.3,400,CAG
2025-10-13,7.1,7.1,7.1,7.1,200,CAG
2025-10-14,7.3,7.3,7.1,7.1,1800,CAG
2025-10-16,7.1,7.3,6.9,7.3,2400,CAG
2025-10-17,7.0,7.3,6.9,7.2,2500,CAG
2025-10-20,7.3,7.3,6.5,6.5,3800,CAG
2025-10-21,6.6,7.0,6.5,6.5,4000,CAG
2025-10-22,6.7,7.0,6.6,6.7,10500,CAG
2025-10-23,6.8,6.9,6.5,6.5,4200,CAG
2025-10-24,6.7,6.8,6.3,6.3,6000,CAG
2025-10-27,6.3,6.7,5.7,6.3,62800,CAG
2025-10-28,6.3,6.6,5.8,6.4,4500,CAG
2025-10-29,6.4,6.4,5.9,6.0,14200,CAG
2025-10-30,6.1,6.3,6.1,6.2,19300,CAG
2025-10-31,6.2,6.8,6.2,6.8,37600,CAG
