time,open,high,low,close,volume,symbol
2024-06-13,22.0,22.0,22.0,22.0,100,CCP
2024-06-14,22.0,22.0,22.0,22.0,0,CCP
2024-06-17,22.0,22.0,22.0,22.0,0,CCP
2024-06-18,22.0,22.0,22.0,22.0,0,CCP
2024-06-19,22.0,22.0,22.0,22.0,0,CCP
2024-06-20,22.0,22.0,22.0,22.0,0,CCP
2024-06-21,22.0,22.0,22.0,22.0,0,CCP
2024-06-24,22.0,22.0,22.0,22.0,0,CCP
2024-06-25,22.0,22.0,22.0,22.0,0,CCP
2024-06-26,22.0,22.0,22.0,22.0,0,CCP
2024-06-27,22.0,22.0,22.0,22.0,0,CCP
2024-06-28,22.0,22.0,22.0,22.0,0,CCP
2024-07-01,22.0,22.0,22.0,22.0,0,CCP
2024-07-02,22.0,22.0,22.0,22.0,0,CCP
2024-07-03,22.0,22.0,22.0,22.0,0,CCP
2024-07-04,22.0,22.0,22.0,22.0,0,CCP
2024-07-05,22.0,22.0,22.0,22.0,0,CCP
2024-07-08,22.0,22.0,22.0,22.0,0,CCP
2024-07-09,22.0,22.0,22.0,22.0,0,CCP
2024-07-10,22.0,22.0,22.0,22.0,0,CCP
2024-07-11,24.9,24.9,24.9,24.9,100,CCP
2024-07-12,24.9,24.9,24.9,24.9,0,CCP
2024-07-15,24.9,24.9,24.9,24.9,0,CCP
2024-07-16,24.9,24.9,24.9,24.9,0,CCP
2024-07-17,24.9,24.9,24.9,24.9,0,CCP
2024-07-18,24.9,24.9,24.9,24.9,0,CCP
2024-07-19,24.9,24.9,24.9,24.9,0,CCP
2024-07-22,24.9,24.9,24.9,24.9,0,CCP
2024-07-23,24.9,24.9,24.9,24.9,0,CCP
2024-07-24,24.9,24.9,24.9,24.9,0,CCP
2024-07-25,24.9,24.9,24.9,24.9,0,CCP
2024-08-01,28.5,28.5,28.5,28.5,100,CCP
2024-09-04,32.5,32.5,32.5,32.5,100,CCP
2025-02-25,45.5,45.5,45.5,45.5,100,CCP
2025-07-01,27.3,27.3,27.3,27.3,1000,CCP
2025-07-03,27.3,27.3,27.0,27.0,1400,CCP
2025-07-30,27.1,27.1,27.1,27.1,100,CCP
2025-08-11,24.0,26.9,24.0,26.9,200,CCP
2025-08-14,23.9,23.9,23.9,23.9,100,CCP
2025-08-15,23.8,23.8,23.8,23.8,100,CCP
2025-08-18,23.8,23.8,23.8,23.8,500,CCP
2025-08-25,20.4,20.4,20.4,20.4,600,CCP
2025-08-26,20.4,20.4,20.4,20.4,500,CCP
2025-09-10,17.5,17.5,17.5,17.5,300,CCP
2025-09-17,17.5,17.5,17.5,17.5,100,CCP
2025-09-19,15.0,15.2,15.0,15.1,1700,CCP
2025-09-22,15.1,15.1,15.1,15.1,500,CCP
2025-09-23,16.4,16.4,16.4,16.4,100,CCP
2025-09-24,16.2,16.2,16.2,16.2,100,CCP
2025-09-26,15.8,15.8,15.8,15.8,1000,CCP
