time,open,high,low,close,volume,symbol
2024-11-08,2.1,2.2,2.0,2.2,172100,CEN
2024-11-15,2.1,2.2,2.0,2.0,161000,CEN
2024-11-22,2.2,2.3,2.1,2.2,176200,CEN
2024-11-29,2.2,2.2,2.1,2.1,213000,CEN
2024-12-06,2.2,2.2,2.0,2.1,205800,CEN
2024-12-13,2.1,2.1,1.9,2.0,87700,CEN
2024-12-20,2.1,2.1,1.9,2.0,245300,CEN
2024-12-27,2.1,2.1,1.9,2.0,64200,CEN
2025-01-03,2.0,2.1,1.9,1.9,48400,CEN
2025-01-10,2.0,2.0,1.9,1.9,108500,CEN
2025-01-17,2.0,2.0,1.8,1.8,111700,CEN
2025-01-24,1.9,2.0,1.8,1.9,132000,CEN
2025-02-07,1.9,2.1,1.9,2.0,280900,CEN
2025-02-14,2.0,2.1,1.9,2.0,109500,CEN
2025-02-21,2.0,2.1,1.9,2.1,172600,CEN
2025-02-28,2.0,2.1,1.9,2.1,143600,CEN
2025-03-07,2.0,2.0,1.9,1.9,209100,CEN
2025-03-14,1.9,2.0,1.9,1.9,99800,CEN
2025-03-21,1.9,2.0,1.8,2.0,240600,CEN
2025-03-28,2.0,2.0,1.9,2.0,71400,CEN
2025-04-04,1.8,1.8,1.7,1.8,256400,CEN
2025-04-11,1.9,1.9,1.7,1.9,129200,CEN
2025-04-18,1.8,1.9,1.7,1.7,159600,CEN
2025-04-25,1.8,1.9,1.7,1.8,114400,CEN
2025-05-09,1.9,2.0,1.9,2.0,411500,CEN
2025-05-16,2.0,2.3,1.9,2.2,415900,CEN
2025-05-23,2.0,2.4,2.0,2.4,633000,CEN
2025-05-30,2.4,2.5,2.3,2.3,193100,CEN
2025-06-06,2.3,2.4,2.1,2.4,686800,CEN
2025-06-13,2.3,2.5,2.1,2.5,469900,CEN
2025-06-20,2.3,2.5,2.3,2.5,271700,CEN
2025-06-27,2.6,2.6,2.3,2.4,34400,CEN
2025-07-04,2.3,2.5,2.3,2.5,187100,CEN
2025-07-11,2.4,2.7,2.4,2.6,337300,CEN
2025-07-18,2.6,2.8,2.6,2.8,427100,CEN
2025-07-25,2.7,2.8,2.7,2.8,92500,CEN
2025-08-01,2.6,2.6,2.3,2.4,1681100,CEN
2025-08-08,2.4,2.4,2.3,2.4,243600,CEN
2025-08-15,2.3,2.5,2.3,2.4,532700,CEN
2025-08-22,2.4,2.4,2.3,2.4,450000,CEN
2025-08-29,2.5,2.5,2.3,2.5,227600,CEN
2025-09-05,2.4,2.5,2.3,2.3,85300,CEN
2025-09-12,2.3,2.5,2.3,2.3,23300,CEN
2025-09-19,2.3,2.5,2.3,2.5,410600,CEN
2025-09-26,2.4,2.6,2.3,2.6,331100,CEN
2025-10-03,2.4,2.6,2.4,2.5,102100,CEN
2025-10-10,2.6,2.7,2.4,2.5,551900,CEN
2025-10-17,2.4,2.6,2.2,2.4,549200,CEN
2025-10-24,2.4,2.4,2.2,2.3,46900,CEN
2025-10-31,2.4,2.4,2.4,2.4,118600,CEN
