time,open,high,low,close,volume,symbol
2025-08-21,10.1,10.1,9.9,9.9,11600,CIA
2025-08-22,9.9,9.9,9.8,9.8,7500,CIA
2025-08-25,9.8,9.8,9.8,9.8,1300,CIA
2025-08-26,10.0,10.0,9.8,9.8,5400,CIA
2025-08-27,9.8,10.0,9.8,10.0,1800,CIA
2025-08-28,10.0,10.0,9.9,10.0,2100,CIA
2025-08-29,9.9,10.1,9.9,9.9,5200,CIA
2025-09-03,9.9,10.1,9.9,10.0,5000,CIA
2025-09-04,9.9,10.0,9.9,10.0,6200,CIA
2025-09-05,10.0,10.1,9.9,10.0,52700,CIA
2025-09-08,9.9,10.0,9.9,10.0,7300,CIA
2025-09-09,10.0,10.0,9.9,9.9,19700,CIA
2025-09-10,9.9,9.9,9.9,9.9,3300,CIA
2025-09-11,9.7,10.0,9.6,10.0,5500,CIA
2025-09-12,9.8,10.0,9.7,9.9,2600,CIA
2025-09-15,10.0,10.1,9.9,10.0,21600,CIA
2025-09-16,10.1,10.1,10.0,10.0,13800,CIA
2025-09-17,10.0,10.1,10.0,10.0,5200,CIA
2025-09-18,9.9,10.0,9.9,10.0,1300,CIA
2025-09-19,9.9,10.0,9.9,10.0,400,CIA
2025-09-22,9.9,9.9,9.8,9.8,12200,CIA
2025-09-23,9.7,9.8,9.7,9.8,1900,CIA
2025-09-24,10.0,10.0,9.8,9.9,2900,CIA
2025-09-25,9.9,9.9,9.9,9.9,300,CIA
2025-09-26,10.0,10.0,10.0,10.0,100,CIA
2025-09-29,9.9,9.9,9.9,9.9,100,CIA
2025-09-30,9.9,10.0,9.6,9.7,14400,CIA
2025-10-01,9.9,9.9,9.7,9.7,1100,CIA
2025-10-02,9.7,9.7,9.7,9.7,4700,CIA
2025-10-03,9.9,9.9,9.7,9.7,3000,CIA
2025-10-06,9.7,9.7,9.7,9.7,2800,CIA
2025-10-07,9.7,9.7,9.6,9.7,14000,CIA
2025-10-08,9.8,9.9,9.6,9.7,3500,CIA
2025-10-09,9.7,9.8,9.7,9.8,1800,CIA
2025-10-10,9.8,9.8,9.6,9.8,3300,CIA
2025-10-13,9.7,9.7,9.6,9.6,9600,CIA
2025-10-14,9.7,9.7,9.5,9.6,10600,CIA
2025-10-15,9.6,9.6,9.5,9.6,1400,CIA
2025-10-16,9.4,9.4,9.4,9.4,500,CIA
2025-10-17,9.5,9.5,9.5,9.5,4600,CIA
2025-10-20,9.5,9.6,9.3,9.3,4700,CIA
2025-10-21,9.4,9.6,9.3,9.6,5300,CIA
2025-10-22,9.6,9.6,9.6,9.6,7300,CIA
2025-10-23,9.6,9.6,9.5,9.6,6600,CIA
2025-10-24,9.5,9.7,9.5,9.6,2800,CIA
2025-10-27,9.5,9.5,9.5,9.5,1000,CIA
2025-10-28,9.5,9.5,9.0,9.5,25500,CIA
2025-10-29,9.3,9.6,9.3,9.6,5000,CIA
2025-10-30,9.4,9.5,9.4,9.5,1700,CIA
2025-10-31,9.5,9.5,9.4,9.5,3100,CIA
