time,open,high,low,close,volume,symbol
2025-06-13,79.0,79.0,78.9,78.9,300,CLM
2025-06-17,76.0,78.2,76.0,78.2,700,CLM
2025-06-18,78.2,78.2,77.6,77.6,1100,CLM
2025-06-19,77.6,77.6,77.5,77.5,2900,CLM
2025-06-23,78.0,78.0,78.0,78.0,400,CLM
2025-06-24,78.0,78.0,78.0,78.0,200,CLM
2025-06-25,80.0,80.0,80.0,80.0,100,CLM
2025-07-03,72.7,72.7,72.7,72.7,500,CLM
2025-07-04,79.8,79.8,79.8,79.8,100,CLM
2025-07-08,78.0,78.0,77.8,77.8,600,CLM
2025-07-16,77.8,77.8,77.8,77.8,200,CLM
2025-07-17,77.8,77.8,77.8,77.8,400,CLM
2025-07-21,73.0,77.0,73.0,76.8,2900,CLM
2025-07-22,76.8,76.8,76.8,76.8,500,CLM
2025-07-23,76.7,76.7,76.7,76.7,300,CLM
2025-07-24,76.7,76.7,76.7,76.7,500,CLM
2025-07-25,76.7,76.7,76.7,76.7,100,CLM
2025-07-28,76.1,76.1,75.0,75.0,2000,CLM
2025-07-30,72.5,74.9,70.1,74.9,2400,CLM
2025-08-06,74.2,74.2,74.2,74.2,400,CLM
2025-08-07,73.9,73.9,73.9,73.9,1000,CLM
2025-08-11,73.9,73.9,73.9,73.9,600,CLM
2025-08-18,70.2,70.2,70.2,70.2,1000,CLM
2025-08-19,73.9,73.9,73.9,73.9,1000,CLM
2025-08-20,70.4,70.4,70.0,70.0,10200,CLM
2025-08-21,70.0,70.0,70.0,70.0,3600,CLM
2025-08-22,70.0,70.0,69.9,69.9,200,CLM
2025-08-27,70.0,70.5,70.0,70.0,3000,CLM
2025-08-28,72.4,72.4,72.4,72.4,100,CLM
2025-08-29,73.4,73.4,73.4,73.4,100,CLM
2025-09-04,70.0,70.0,70.0,70.0,1600,CLM
2025-09-05,70.0,70.0,70.0,70.0,200,CLM
2025-09-08,70.0,70.0,70.0,70.0,100,CLM
2025-09-09,69.0,69.0,69.0,69.0,1000,CLM
2025-09-11,69.0,69.0,68.5,68.5,1300,CLM
2025-09-12,71.0,71.0,71.0,71.0,3600,CLM
2025-09-15,70.0,70.0,69.5,69.5,200,CLM
2025-09-17,68.1,68.1,65.0,66.0,6400,CLM
2025-09-18,69.8,69.8,69.8,69.8,100,CLM
2025-09-22,67.6,67.6,67.6,67.6,100,CLM
2025-09-23,67.5,67.5,67.5,67.5,400,CLM
2025-09-25,67.9,67.9,67.9,67.9,200,CLM
2025-09-29,68.0,68.0,67.9,67.9,700,CLM
2025-10-02,68.0,68.0,68.0,68.0,1200,CLM
2025-10-03,67.7,67.7,67.6,67.6,1000,CLM
2025-10-10,68.0,68.0,68.0,68.0,600,CLM
2025-10-14,61.2,67.0,61.2,67.0,1500,CLM
2025-10-22,66.0,66.0,66.0,66.0,200,CLM
2025-10-23,68.0,68.0,68.0,68.0,100,CLM
2025-10-31,68.0,68.0,68.0,68.0,200,CLM
