time,open,high,low,close,volume,symbol
2025-08-06,7.98,8.05,7.98,8.05,2800,CMV
2025-08-07,8.05,8.05,8.05,8.05,800,CMV
2025-08-08,8.0,8.1,8.0,8.05,1600,CMV
2025-08-11,8.05,8.05,8.05,8.05,800,CMV
2025-08-12,8.0,8.0,8.0,8.0,300,CMV
2025-08-13,8.0,8.05,7.98,8.01,3500,CMV
2025-08-14,8.05,8.05,8.02,8.03,700,CMV
2025-08-15,8.0,8.0,8.0,8.0,800,CMV
2025-08-18,8.0,8.0,8.0,8.0,300,CMV
2025-08-19,8.0,8.0,8.0,8.0,300,CMV
2025-08-20,8.0,8.4,8.0,8.4,200,CMV
2025-08-22,8.24,8.24,8.24,8.24,100,CMV
2025-08-25,8.23,8.23,8.23,8.23,100,CMV
2025-08-26,7.8,8.16,7.8,8.16,500,CMV
2025-08-27,8.15,8.15,8.15,8.15,900,CMV
2025-08-29,7.8,8.1,7.7,8.1,400,CMV
2025-09-04,8.1,8.1,8.1,8.1,300,CMV
2025-09-05,8.0,8.05,8.0,8.05,4300,CMV
2025-09-10,8.0,8.0,8.0,8.0,400,CMV
2025-09-11,8.0,8.0,8.0,8.0,200,CMV
2025-09-16,8.39,8.56,8.39,8.56,25400,CMV
2025-09-17,9.15,9.15,9.0,9.0,23600,CMV
2025-09-18,9.1,9.4,8.37,9.3,23900,CMV
2025-09-19,9.25,9.25,8.65,8.65,4200,CMV
2025-09-22,8.15,8.61,8.15,8.61,20600,CMV
2025-09-23,8.6,8.6,8.02,8.53,20600,CMV
2025-09-24,8.1,8.1,8.09,8.09,2700,CMV
2025-09-25,8.09,8.47,8.09,8.47,3200,CMV
2025-09-26,8.11,8.2,8.1,8.2,1400,CMV
2025-09-29,8.19,8.19,8.1,8.1,1700,CMV
2025-09-30,8.06,8.11,8.0,8.11,7300,CMV
2025-10-01,8.12,8.12,8.12,8.12,1100,CMV
2025-10-02,8.12,8.12,8.12,8.12,100,CMV
2025-10-03,8.12,8.12,8.12,8.12,100,CMV
2025-10-07,8.2,8.2,8.2,8.2,100,CMV
2025-10-08,8.19,8.19,8.19,8.19,100,CMV
2025-10-09,8.18,8.18,8.07,8.07,1300,CMV
2025-10-10,8.08,8.09,8.08,8.09,600,CMV
2025-10-14,8.08,8.08,8.08,8.08,2400,CMV
2025-10-15,8.2,8.2,8.2,8.2,100,CMV
2025-10-20,7.71,8.17,7.63,8.17,6000,CMV
2025-10-21,8.12,8.12,8.12,8.12,100,CMV
2025-10-22,8.16,8.16,7.7,7.94,2100,CMV
2025-10-23,7.93,8.0,7.93,8.0,1400,CMV
2025-10-24,7.5,8.0,7.44,8.0,900,CMV
2025-10-27,7.5,8.15,7.5,8.1,2500,CMV
2025-10-28,8.2,8.2,8.1,8.1,1400,CMV
2025-10-29,8.03,8.05,7.9,8.02,500,CMV
2025-10-30,8.0,8.2,7.9,8.2,1900,CMV
2025-10-31,8.14,8.3,8.1,8.24,9500,CMV
