time,open,high,low,close,volume,symbol
2025-08-21,29.4,30.0,29.4,29.9,12200,CSI
2025-08-22,29.8,29.8,27.0,29.0,40000,CSI
2025-08-25,28.8,29.3,28.8,29.0,20300,CSI
2025-08-26,29.0,29.5,28.8,29.4,8900,CSI
2025-08-27,29.7,29.8,29.3,29.6,10300,CSI
2025-08-28,29.5,30.0,28.8,30.0,21500,CSI
2025-08-29,30.0,30.5,30.0,30.4,28700,CSI
2025-09-03,30.3,31.0,30.0,30.3,20000,CSI
2025-09-04,30.3,30.6,30.0,30.6,14200,CSI
2025-09-05,31.0,31.0,29.8,30.0,23700,CSI
2025-09-08,30.0,30.1,28.8,29.0,17700,CSI
2025-09-09,29.2,30.0,29.2,29.8,10700,CSI
2025-09-10,30.0,30.0,29.2,30.0,13900,CSI
2025-09-11,29.8,30.0,28.5,29.3,39500,CSI
2025-09-12,29.0,29.4,28.6,28.8,32300,CSI
2025-09-15,29.0,29.0,28.3,28.8,17100,CSI
2025-09-16,28.6,29.0,28.2,28.6,20700,CSI
2025-09-17,28.6,29.0,28.0,28.0,22200,CSI
2025-09-18,28.4,28.4,28.0,28.1,7400,CSI
2025-09-19,28.5,29.0,28.5,28.9,6900,CSI
2025-09-22,28.6,29.0,28.0,28.0,15800,CSI
2025-09-23,28.0,28.8,28.0,28.4,9000,CSI
2025-09-24,28.4,28.6,28.0,28.6,10600,CSI
2025-09-25,28.6,28.7,28.0,28.0,7200,CSI
2025-09-26,28.3,28.5,28.0,28.3,13300,CSI
2025-09-29,28.2,28.3,28.1,28.2,11200,CSI
2025-09-30,28.1,28.1,27.8,27.8,18300,CSI
2025-10-01,27.9,28.0,27.9,28.0,3600,CSI
2025-10-02,28.0,28.1,28.0,28.0,6000,CSI
2025-10-03,28.0,28.0,27.9,28.0,5100,CSI
2025-10-06,28.0,29.0,27.9,29.0,27500,CSI
2025-10-07,28.8,29.0,28.4,28.4,6000,CSI
2025-10-08,29.0,29.0,28.3,29.0,27700,CSI
2025-10-09,28.8,29.0,28.4,28.4,5000,CSI
2025-10-10,28.6,28.7,28.4,28.7,4200,CSI
2025-10-13,28.5,28.5,28.3,28.3,13700,CSI
2025-10-14,28.4,28.4,28.2,28.2,10400,CSI
2025-10-15,28.3,28.3,28.2,28.3,4400,CSI
2025-10-16,28.3,28.3,28.2,28.2,3500,CSI
2025-10-17,28.1,28.2,28.0,28.0,11300,CSI
2025-10-20,28.0,28.1,27.9,28.0,6200,CSI
2025-10-21,28.0,28.1,27.5,27.7,7400,CSI
2025-10-22,28.0,28.0,27.7,27.7,2900,CSI
2025-10-23,27.8,27.8,27.8,27.8,1700,CSI
2025-10-24,27.8,28.0,27.7,27.7,4600,CSI
2025-10-27,27.8,27.8,27.7,27.8,1500,CSI
2025-10-28,28.0,28.0,27.5,27.5,3900,CSI
2025-10-29,27.0,27.8,27.0,27.5,3600,CSI
2025-10-30,27.8,27.8,27.5,27.5,2500,CSI
2025-10-31,27.6,27.8,27.5,27.5,2700,CSI
