time,open,high,low,close,volume,symbol
2025-08-21,40.55,41.6,40.05,40.4,4496900,DCM
2025-08-22,39.5,40.2,37.65,38.2,10833700,DCM
2025-08-25,38.8,39.45,37.5,37.6,4603100,DCM
2025-08-26,37.6,39.8,37.6,39.8,3247900,DCM
2025-08-27,39.95,39.95,38.65,38.7,3722000,DCM
2025-08-28,39.15,39.35,38.75,39.05,2130900,DCM
2025-08-29,39.2,40.35,38.8,39.6,5331900,DCM
2025-09-03,39.4,40.05,39.0,39.65,3327900,DCM
2025-09-04,39.9,39.9,39.1,39.4,3391300,DCM
2025-09-05,39.5,40.9,39.5,39.5,6314700,DCM
2025-09-08,39.1,39.5,37.7,37.7,5176200,DCM
2025-09-09,37.7,38.0,36.95,37.5,3440400,DCM
2025-09-10,37.85,38.3,37.6,37.85,2539200,DCM
2025-09-11,37.85,38.55,37.2,38.55,2865500,DCM
2025-09-12,38.95,39.35,38.4,38.85,2696400,DCM
2025-09-15,39.4,39.7,38.9,39.7,2832000,DCM
2025-09-16,39.9,39.95,38.7,38.8,3631500,DCM
2025-09-17,38.8,39.4,38.4,38.45,2324700,DCM
2025-09-18,38.5,38.65,37.9,38.2,1748300,DCM
2025-09-19,38.3,38.65,37.7,37.7,2299400,DCM
2025-09-22,37.75,38.05,36.6,36.6,3283700,DCM
2025-09-23,37.05,37.35,36.85,36.9,2016300,DCM
2025-09-24,36.9,37.5,36.65,37.5,1077000,DCM
2025-09-25,37.55,37.85,37.5,37.7,1260000,DCM
2025-09-26,37.65,37.85,37.45,37.5,1618800,DCM
2025-09-29,37.55,37.9,37.4,37.7,1460800,DCM
2025-09-30,37.75,38.2,36.55,37.15,2373900,DCM
2025-10-01,37.15,37.25,36.55,36.6,2895000,DCM
2025-10-02,36.7,36.95,35.65,35.7,3050100,DCM
2025-10-03,35.7,36.2,34.75,34.9,3166200,DCM
2025-10-06,35.1,36.45,35.0,36.35,2754000,DCM
2025-10-07,36.5,36.55,35.6,35.6,2349700,DCM
2025-10-08,35.85,36.25,35.6,36.05,2330100,DCM
2025-10-09,36.55,36.85,36.1,36.7,2098600,DCM
2025-10-10,37.0,37.05,36.5,36.5,2550900,DCM
2025-10-13,35.9,36.3,35.55,35.65,4498600,DCM
2025-10-14,35.7,35.9,34.9,34.9,5473700,DCM
2025-10-15,34.9,35.5,33.85,34.0,5370100,DCM
2025-10-16,34.3,34.6,34.0,34.6,2552800,DCM
2025-10-17,34.8,34.9,33.8,33.8,3321100,DCM
2025-10-20,33.8,34.55,32.0,32.0,4925700,DCM
2025-10-21,32.9,33.8,32.4,33.8,4679700,DCM
2025-10-22,34.0,34.45,33.6,34.45,2723400,DCM
2025-10-23,34.5,34.6,34.1,34.2,2160200,DCM
2025-10-24,34.4,34.5,33.8,34.0,2039300,DCM
2025-10-27,34.05,34.8,33.7,34.4,3102100,DCM
2025-10-28,34.5,34.95,34.15,34.8,1818500,DCM
2025-10-29,34.95,35.55,34.7,35.2,3987200,DCM
2025-10-30,35.4,35.5,34.95,35.3,1709600,DCM
2025-10-31,35.35,35.85,35.0,35.0,2155700,DCM
