time,open,high,low,close,volume,symbol
2025-08-21,43.05,43.45,41.05,41.5,5161200,DGW
2025-08-22,41.5,42.4,40.3,42.0,2946400,DGW
2025-08-25,42.8,42.8,40.5,40.5,1689900,DGW
2025-08-26,40.1,42.6,40.1,42.6,1548900,DGW
2025-08-27,42.65,42.8,41.55,41.55,2734700,DGW
2025-08-28,41.7,42.45,41.6,42.1,1474900,DGW
2025-08-29,41.7,42.45,41.2,42.0,3454700,DGW
2025-09-03,42.0,43.2,41.7,43.15,2958400,DGW
2025-09-04,43.6,44.0,43.2,44.0,2595200,DGW
2025-09-05,44.75,44.75,43.1,43.1,2950000,DGW
2025-09-08,42.75,42.95,41.2,41.3,2236000,DGW
2025-09-09,41.4,41.9,41.1,41.75,967600,DGW
2025-09-10,42.05,42.75,41.85,42.6,1702100,DGW
2025-09-11,42.65,43.85,40.55,43.75,2977500,DGW
2025-09-12,44.0,45.35,43.75,45.2,4335600,DGW
2025-09-15,45.5,45.8,45.05,45.5,2345000,DGW
2025-09-16,45.5,46.2,45.05,45.35,3713200,DGW
2025-09-17,45.35,46.25,45.0,45.0,2870000,DGW
2025-09-18,45.2,45.25,43.5,43.5,2664900,DGW
2025-09-19,43.9,44.0,43.0,43.2,1190900,DGW
2025-09-22,43.55,43.55,41.5,41.75,2593200,DGW
2025-09-23,41.75,42.5,41.55,41.9,778600,DGW
2025-09-24,41.75,43.0,41.2,42.95,1376600,DGW
2025-09-25,42.95,43.05,42.3,42.4,936800,DGW
2025-09-26,42.5,42.8,41.45,41.5,1957300,DGW
2025-09-29,41.55,41.6,41.0,41.0,996900,DGW
2025-09-30,41.2,41.5,40.5,41.2,1098000,DGW
2025-10-01,41.3,41.8,41.3,41.65,385800,DGW
2025-10-02,42.0,42.0,40.7,40.85,614000,DGW
2025-10-03,40.6,41.0,39.95,40.0,1063500,DGW
2025-10-06,40.05,41.8,40.05,41.75,745100,DGW
2025-10-07,42.0,42.0,41.0,41.05,683800,DGW
2025-10-08,41.5,42.3,41.0,41.25,2047600,DGW
2025-10-09,42.0,42.0,40.9,40.9,1734400,DGW
2025-10-10,41.0,42.0,40.95,41.1,1716100,DGW
2025-10-13,40.4,40.8,39.9,40.05,2623400,DGW
2025-10-14,40.2,40.35,38.2,40.0,5151900,DGW
2025-10-15,40.0,41.0,39.5,40.9,1872100,DGW
2025-10-16,41.15,41.9,40.65,40.8,1354300,DGW
2025-10-17,41.1,41.1,40.2,40.2,1324700,DGW
2025-10-20,40.3,40.7,37.4,37.4,2284700,DGW
2025-10-21,37.0,38.0,36.5,37.55,1529300,DGW
2025-10-22,38.3,39.0,37.7,39.0,1231400,DGW
2025-10-23,38.55,39.45,38.55,39.0,683900,DGW
2025-10-24,38.7,39.85,38.7,39.6,1114600,DGW
2025-10-27,39.7,40.0,39.0,39.05,617800,DGW
2025-10-28,39.05,40.1,38.45,40.05,1185800,DGW
2025-10-29,40.4,40.5,39.8,39.8,797100,DGW
2025-10-30,40.0,40.7,39.55,40.65,1287600,DGW
2025-10-31,40.9,41.3,39.8,39.85,947100,DGW
