time,open,high,low,close,volume,symbol
2025-08-19,53.98,53.98,53.98,53.98,157,DNC
2025-08-20,53.98,54.08,53.98,54.08,200,DNC
2025-08-21,54.08,54.08,54.08,54.08,0,DNC
2025-08-22,54.08,54.08,54.08,54.08,0,DNC
2025-08-25,53.98,53.98,53.98,53.98,400,DNC
2025-08-26,53.98,53.98,53.98,53.98,0,DNC
2025-08-27,53.98,53.98,53.98,53.98,100,DNC
2025-08-28,53.98,53.98,53.98,53.98,0,DNC
2025-08-29,53.49,53.49,53.49,53.49,102,DNC
2025-09-03,53.49,53.49,53.49,53.49,0,DNC
2025-09-04,53.49,53.49,53.49,53.49,0,DNC
2025-09-05,53.0,53.0,53.0,53.0,103,DNC
2025-09-08,53.0,53.0,53.0,53.0,0,DNC
2025-09-09,53.0,53.0,53.0,53.0,0,DNC
2025-09-10,53.0,53.0,53.0,53.0,100,DNC
2025-09-11,53.0,53.0,53.0,53.0,0,DNC
2025-09-12,53.98,53.98,53.98,53.98,2000,DNC
2025-09-15,59.38,59.38,59.38,59.38,100,DNC
2025-09-16,59.38,59.38,59.38,59.38,0,DNC
2025-09-17,55.45,55.45,54.96,54.96,2150,DNC
2025-09-18,60.46,60.46,60.46,60.46,101,DNC
2025-09-19,54.57,54.57,54.57,54.57,611,DNC
2025-09-22,54.57,54.57,54.57,54.57,100,DNC
2025-09-23,53.98,53.98,53.98,53.98,800,DNC
2025-09-24,53.0,53.0,53.0,53.0,400,DNC
2025-09-25,53.0,53.0,53.0,53.0,2101,DNC
2025-09-26,53.0,53.0,53.0,53.0,69,DNC
2025-09-29,53.98,53.98,53.0,53.0,600,DNC
2025-09-30,53.0,53.0,53.0,53.0,36,DNC
2025-10-01,50.06,50.06,50.06,50.06,200,DNC
2025-10-02,50.06,50.06,50.06,50.06,16,DNC
2025-10-03,50.06,50.06,50.06,50.06,23,DNC
2025-10-06,49.08,49.08,49.08,49.08,663,DNC
2025-10-07,53.88,53.88,53.88,53.88,180,DNC
2025-10-08,53.0,53.0,53.0,53.0,141,DNC
2025-10-09,52.0,52.0,52.0,52.0,500,DNC
2025-10-10,52.0,52.0,52.0,52.0,0,DNC
2025-10-13,52.0,52.0,52.0,52.0,1,DNC
2025-10-14,52.0,52.0,52.0,52.0,11,DNC
2025-10-15,57.2,57.2,51.0,51.0,300,DNC
2025-10-16,51.0,51.0,51.0,51.0,1019,DNC
2025-10-17,51.0,51.0,51.0,51.0,0,DNC
2025-10-20,51.0,51.0,51.0,51.0,0,DNC
2025-10-21,51.0,51.0,51.0,51.0,0,DNC
2025-10-22,54.9,54.9,51.0,51.0,500,DNC
2025-10-24,51.0,51.0,51.0,51.0,100,DNC
2025-10-27,49.0,50.0,49.0,50.0,1600,DNC
2025-10-29,50.0,50.0,50.0,50.0,100,DNC
2025-10-30,50.0,50.0,50.0,50.0,200,DNC
2025-10-31,51.0,51.0,50.0,50.0,700,DNC
