time,open,high,low,close,volume,symbol
2025-08-21,55.0,55.0,54.81,55.0,2142,DRL
2025-08-22,55.0,55.0,54.81,54.9,10000,DRL
2025-08-25,54.9,55.0,54.71,54.81,5510,DRL
2025-08-26,54.81,55.0,54.81,54.9,2011,DRL
2025-08-27,54.71,55.0,54.71,55.0,2715,DRL
2025-08-28,54.9,55.0,54.9,54.9,4311,DRL
2025-08-29,54.81,55.1,54.81,55.1,3542,DRL
2025-09-03,55.1,55.1,54.71,55.0,4422,DRL
2025-09-04,55.0,55.0,54.9,55.0,4606,DRL
2025-09-05,55.8,55.8,54.3,54.6,7227,DRL
2025-09-08,54.6,54.6,54.3,54.3,5000,DRL
2025-09-09,54.3,54.3,53.7,53.7,3900,DRL
2025-09-10,56.2,56.2,54.0,54.0,8100,DRL
2025-09-11,53.5,53.8,53.5,53.8,1907,DRL
2025-09-12,53.8,53.8,53.5,53.5,1709,DRL
2025-09-15,54.9,54.9,53.8,53.8,3065,DRL
2025-09-16,53.6,53.6,53.0,53.4,12650,DRL
2025-09-17,53.4,53.4,53.1,53.3,6485,DRL
2025-09-18,53.3,53.3,53.0,53.3,6100,DRL
2025-09-19,52.4,52.8,52.4,52.8,9400,DRL
2025-09-22,52.8,52.8,52.8,52.8,500,DRL
2025-09-23,52.8,52.8,52.5,52.6,9200,DRL
2025-09-24,52.6,52.6,52.5,52.6,5000,DRL
2025-09-25,53.2,53.2,52.7,52.8,3100,DRL
2025-09-26,53.3,53.3,53.0,53.1,2200,DRL
2025-09-29,53.1,53.1,52.6,52.6,5100,DRL
2025-09-30,52.6,52.6,52.5,52.5,3000,DRL
2025-10-01,52.5,52.9,52.5,52.8,5700,DRL
2025-10-02,52.8,52.8,52.7,52.7,2500,DRL
2025-10-03,52.5,52.5,52.5,52.5,3000,DRL
2025-10-06,52.5,52.5,52.4,52.5,8500,DRL
2025-10-07,52.5,52.5,52.3,52.3,5000,DRL
2025-10-08,52.3,52.3,52.0,52.3,9300,DRL
2025-10-09,52.3,52.4,52.0,52.4,9800,DRL
2025-10-10,52.3,52.3,52.3,52.3,5900,DRL
2025-10-13,52.3,52.7,52.3,52.6,4700,DRL
2025-10-14,52.4,52.4,51.8,52.3,5400,DRL
2025-10-15,52.3,52.3,52.3,52.3,3500,DRL
2025-10-16,52.3,52.3,52.1,52.3,3500,DRL
2025-10-17,51.0,52.2,51.0,52.2,3300,DRL
2025-10-20,52.5,52.5,51.6,51.6,5200,DRL
2025-10-21,51.6,51.7,50.6,51.5,2400,DRL
2025-10-22,51.0,51.3,50.8,51.2,8500,DRL
2025-10-23,51.2,51.2,51.0,51.0,4200,DRL
2025-10-24,51.1,51.1,50.0,50.8,14900,DRL
2025-10-27,50.8,51.0,50.6,50.6,2600,DRL
2025-10-28,50.7,50.7,50.2,50.4,5900,DRL
2025-10-29,50.4,50.5,50.4,50.5,5300,DRL
2025-10-30,51.0,51.0,50.4,50.4,3000,DRL
2025-10-31,50.4,50.4,50.0,50.2,13700,DRL
