time,open,high,low,close,volume,symbol
2024-11-08,1.3,1.3,1.2,1.3,456500,DVG
2024-11-15,1.3,1.3,1.2,1.3,338900,DVG
2024-11-22,1.3,1.3,1.2,1.2,92500,DVG
2024-11-29,1.2,1.3,1.2,1.3,102100,DVG
2024-12-06,1.3,1.3,1.2,1.3,437200,DVG
2024-12-13,1.2,1.3,1.2,1.2,58600,DVG
2024-12-20,1.2,1.3,1.2,1.3,124200,DVG
2024-12-27,1.3,1.3,1.2,1.2,74900,DVG
2025-01-03,1.3,1.3,1.2,1.3,33500,DVG
2025-01-10,1.3,1.3,1.2,1.3,628700,DVG
2025-01-17,1.3,1.4,1.3,1.4,257600,DVG
2025-01-24,1.3,1.4,1.2,1.3,380300,DVG
2025-02-07,1.3,1.4,1.3,1.4,215700,DVG
2025-02-14,1.5,1.6,1.4,1.6,469500,DVG
2025-02-21,1.6,1.8,1.6,1.8,961000,DVG
2025-02-28,1.9,2.0,1.8,2.0,651100,DVG
2025-03-07,2.0,2.1,1.8,1.9,177800,DVG
2025-03-14,1.8,1.9,1.7,1.8,242000,DVG
2025-03-21,1.7,1.8,1.6,1.8,132800,DVG
2025-03-28,1.7,1.7,1.5,1.5,192400,DVG
2025-04-04,1.4,1.4,1.4,1.4,73600,DVG
2025-04-11,1.4,1.4,1.2,1.3,275600,DVG
2025-04-18,1.4,1.4,1.3,1.4,142500,DVG
2025-04-25,1.3,1.4,1.2,1.3,86600,DVG
2025-05-09,1.3,1.4,1.2,1.3,102100,DVG
2025-05-16,1.3,1.4,1.2,1.2,751200,DVG
2025-05-23,1.2,1.2,1.1,1.1,554300,DVG
2025-05-30,1.1,1.2,1.1,1.1,202300,DVG
2025-06-06,1.1,1.2,1.1,1.2,125400,DVG
2025-06-13,1.1,1.2,1.0,1.2,156400,DVG
2025-06-20,1.2,1.2,1.1,1.2,606000,DVG
2025-06-27,1.3,1.3,1.2,1.3,332200,DVG
2025-07-04,1.4,1.4,1.3,1.4,468200,DVG
2025-07-11,1.4,1.5,1.2,1.2,665100,DVG
2025-07-18,1.3,1.4,1.3,1.4,387600,DVG
2025-07-25,1.3,1.4,1.2,1.4,718000,DVG
2025-08-01,1.3,1.4,1.2,1.3,504300,DVG
2025-08-08,1.3,1.4,1.2,1.3,423000,DVG
2025-08-15,1.3,1.4,1.2,1.3,150100,DVG
2025-08-22,1.3,1.4,1.2,1.3,186600,DVG
2025-08-29,1.2,1.3,1.2,1.2,216200,DVG
2025-09-05,1.2,1.3,1.2,1.3,52700,DVG
2025-09-12,1.2,1.3,1.2,1.3,162000,DVG
2025-09-19,1.2,1.3,1.1,1.2,377100,DVG
2025-09-26,1.2,1.3,1.1,1.3,969600,DVG
2025-10-03,1.3,1.4,1.3,1.4,447600,DVG
2025-10-10,1.4,1.6,1.4,1.6,421300,DVG
2025-10-17,1.7,1.8,1.7,1.8,1134700,DVG
2025-10-24,1.8,2.0,1.8,2.0,829200,DVG
2025-10-31,2.0,2.0,1.8,1.9,408800,DVG
