time,open,high,low,close,volume,symbol
2025-08-21,97.7,102.9,97.7,101.7,12624800,FPT
2025-08-22,101.6,101.6,98.8,99.0,7212000,FPT
2025-08-25,102.0,102.0,98.8,98.8,6736000,FPT
2025-08-26,98.8,100.0,97.9,100.0,5812500,FPT
2025-08-27,101.4,105.1,101.2,105.0,19436400,FPT
2025-08-28,105.1,105.1,102.8,104.5,6280200,FPT
2025-08-29,105.0,105.0,101.6,101.6,11090200,FPT
2025-09-03,102.0,103.3,100.0,103.2,9744200,FPT
2025-09-04,103.3,105.5,103.2,105.0,11033600,FPT
2025-09-05,105.2,105.5,103.4,103.4,8807800,FPT
2025-09-08,103.0,103.9,101.9,101.9,10600300,FPT
2025-09-09,102.0,103.0,101.0,102.1,6460700,FPT
2025-09-10,102.1,102.9,101.1,101.2,5498500,FPT
2025-09-11,101.2,102.9,100.5,102.0,7414200,FPT
2025-09-12,102.0,102.9,101.1,101.6,7447000,FPT
2025-09-15,101.9,103.5,101.5,101.9,14123100,FPT
2025-09-16,102.7,104.8,102.0,103.5,17531600,FPT
2025-09-17,104.0,107.8,104.0,105.5,20018000,FPT
2025-09-18,106.0,106.3,103.0,103.0,8198400,FPT
2025-09-19,103.8,103.8,100.5,103.0,23514300,FPT
2025-09-22,102.5,102.7,99.6,99.7,16280200,FPT
2025-09-23,100.0,100.0,97.5,98.0,18291200,FPT
2025-09-24,98.1,99.5,97.4,99.5,7421100,FPT
2025-09-25,99.5,99.5,97.9,98.0,8627700,FPT
2025-09-26,98.2,99.3,97.4,97.5,8080800,FPT
2025-09-29,97.8,97.8,95.5,95.5,10430900,FPT
2025-09-30,95.5,95.8,92.8,93.0,12018800,FPT
2025-10-01,93.2,94.5,91.4,93.4,7405100,FPT
2025-10-02,92.9,93.4,92.0,92.1,7933800,FPT
2025-10-03,92.2,94.0,92.1,93.4,7681300,FPT
2025-10-06,94.3,95.9,93.5,95.5,6580000,FPT
2025-10-07,96.0,96.3,95.2,95.5,5997500,FPT
2025-10-08,95.5,96.9,94.5,94.5,5132100,FPT
2025-10-09,95.0,95.0,93.5,94.2,5716300,FPT
2025-10-10,94.2,96.5,93.8,96.1,8587700,FPT
2025-10-13,94.9,94.9,93.7,94.0,7915000,FPT
2025-10-14,94.1,94.5,92.4,92.4,12659600,FPT
2025-10-15,92.6,93.1,89.5,89.6,18738600,FPT
2025-10-16,89.8,91.5,89.6,89.8,7928500,FPT
2025-10-17,90.1,91.5,88.1,88.1,8374400,FPT
2025-10-20,88.3,91.8,87.0,87.0,14580300,FPT
2025-10-21,89.0,93.0,88.5,93.0,19520200,FPT
2025-10-22,95.2,99.0,95.0,97.0,18311100,FPT
2025-10-23,97.2,97.3,94.0,95.0,6647600,FPT
2025-10-24,95.0,97.7,94.7,97.7,13759100,FPT
2025-10-27,99.0,99.7,96.3,98.0,12897800,FPT
2025-10-28,98.6,102.2,98.6,102.2,20912700,FPT
2025-10-29,102.4,103.2,101.1,101.7,9302800,FPT
2025-10-30,102.1,103.5,101.6,102.7,9730600,FPT
2025-10-31,102.6,103.9,101.0,103.9,14827100,FPT
