time,open,high,low,close,volume,symbol
2025-08-21,131.0,134.4,128.4,128.5,902900,FRT
2025-08-22,130.0,132.9,129.0,130.6,569300,FRT
2025-08-25,132.1,132.8,128.7,128.9,372900,FRT
2025-08-26,127.0,132.4,125.6,132.4,522900,FRT
2025-08-27,132.4,134.5,130.1,131.0,511500,FRT
2025-08-28,132.4,133.5,130.6,132.1,332400,FRT
2025-08-29,131.0,131.7,130.0,130.6,737000,FRT
2025-09-03,130.5,130.5,128.0,128.1,640500,FRT
2025-09-04,128.1,131.0,128.0,129.8,552500,FRT
2025-09-05,130.1,133.3,130.1,131.8,946000,FRT
2025-09-08,132.6,132.6,128.5,130.0,470400,FRT
2025-09-09,130.0,130.0,127.6,128.2,398900,FRT
2025-09-10,128.0,129.0,126.9,128.5,570200,FRT
2025-09-11,127.3,128.9,123.0,128.9,392100,FRT
2025-09-12,127.7,131.0,127.7,131.0,370900,FRT
2025-09-15,132.0,133.8,131.5,133.2,655900,FRT
2025-09-16,133.3,139.5,133.2,136.0,1215300,FRT
2025-09-17,138.0,138.3,133.4,133.5,632100,FRT
2025-09-18,134.6,134.6,132.0,132.5,485600,FRT
2025-09-19,132.8,132.8,128.9,131.0,718400,FRT
2025-09-22,132.0,132.0,128.6,130.9,478400,FRT
2025-09-23,130.5,131.3,129.0,129.0,369700,FRT
2025-09-24,128.5,131.8,127.0,131.8,451900,FRT
2025-09-25,131.5,131.5,129.0,131.2,450400,FRT
2025-09-26,130.1,130.3,129.3,130.0,265400,FRT
2025-09-29,129.9,129.9,128.0,128.9,407700,FRT
2025-09-30,128.0,129.2,125.4,128.0,732000,FRT
2025-10-01,128.3,128.4,126.3,126.3,201400,FRT
2025-10-02,125.6,127.4,124.0,124.0,335200,FRT
2025-10-03,123.5,125.5,122.1,123.0,194400,FRT
2025-10-06,125.0,126.3,123.0,125.2,318600,FRT
2025-10-07,127.7,132.0,126.5,130.5,862200,FRT
2025-10-08,132.8,133.9,129.9,133.6,567600,FRT
2025-10-09,134.0,137.8,133.7,137.3,934400,FRT
2025-10-10,138.6,145.2,137.7,143.6,1813000,FRT
2025-10-13,142.5,143.0,140.3,142.2,520400,FRT
2025-10-14,142.2,142.2,137.2,142.2,1094100,FRT
2025-10-15,141.9,143.5,139.3,142.0,585800,FRT
2025-10-16,142.3,143.0,139.4,139.5,244100,FRT
2025-10-17,139.4,140.0,136.5,138.9,640000,FRT
2025-10-20,136.0,138.9,129.2,129.2,450700,FRT
2025-10-21,129.3,138.2,129.3,138.2,1254700,FRT
2025-10-22,142.1,144.4,140.0,144.4,944400,FRT
2025-10-23,145.3,147.7,142.5,142.5,436400,FRT
2025-10-24,143.6,147.8,143.6,147.5,883500,FRT
2025-10-27,147.5,149.1,144.5,146.3,611600,FRT
2025-10-28,147.7,148.5,142.9,148.0,538900,FRT
2025-10-29,150.4,150.4,145.0,145.0,575200,FRT
2025-10-30,147.5,148.5,144.5,148.1,1027600,FRT
2025-10-31,148.1,148.4,145.7,148.4,649900,FRT
