time,open,high,low,close,volume,symbol
2025-08-21,129.9,134.2,124.9,125.1,702926,GEE
2025-08-22,125.7,125.7,117.0,122.9,394887,GEE
2025-08-25,120.3,123.3,115.8,115.8,329883,GEE
2025-08-26,116.8,120.0,114.8,117.8,358749,GEE
2025-08-27,119.9,119.9,115.6,117.0,308218,GEE
2025-08-28,117.0,117.5,115.6,117.0,217167,GEE
2025-08-29,117.2,117.4,112.7,116.0,648017,GEE
2025-09-03,116.0,116.0,113.8,115.5,206741,GEE
2025-09-04,116.5,118.5,114.1,116.0,355400,GEE
2025-09-05,116.7,116.7,113.1,113.2,331300,GEE
2025-09-08,113.8,113.8,105.6,105.6,697100,GEE
2025-09-09,106.8,106.8,100.0,103.8,424000,GEE
2025-09-10,104.0,105.2,101.2,103.6,216800,GEE
2025-09-11,102.2,104.0,100.2,104.0,326100,GEE
2025-09-12,104.1,107.9,104.0,106.5,339800,GEE
2025-09-15,109.0,113.8,108.0,113.8,738500,GEE
2025-09-16,116.5,116.5,112.4,113.9,626400,GEE
2025-09-17,114.0,114.0,110.8,112.0,368300,GEE
2025-09-18,112.7,113.0,107.1,109.0,229000,GEE
2025-09-19,110.8,116.6,106.8,116.6,1305500,GEE
2025-09-22,114.0,114.0,109.0,111.0,319800,GEE
2025-09-23,110.5,111.0,108.0,108.6,131800,GEE
2025-09-24,109.0,109.0,104.6,108.5,259000,GEE
2025-09-25,106.5,112.0,106.5,110.2,272200,GEE
2025-09-26,108.5,111.9,108.4,111.0,211200,GEE
2025-09-29,116.9,118.7,111.4,118.7,1869900,GEE
2025-09-30,126.0,127.0,121.5,127.0,2197500,GEE
2025-10-01,132.0,132.0,125.2,128.0,685500,GEE
2025-10-02,130.5,130.5,122.0,123.7,363500,GEE
2025-10-03,123.7,123.7,116.1,119.2,427100,GEE
2025-10-06,122.8,123.0,118.2,119.0,365700,GEE
2025-10-07,119.1,119.1,117.3,117.5,193300,GEE
2025-10-08,125.7,125.7,124.3,125.7,1551300,GEE
2025-10-09,134.4,134.4,125.7,134.4,2795700,GEE
2025-10-10,143.0,143.8,139.0,143.8,1251100,GEE
2025-10-13,153.0,153.0,137.1,144.9,826900,GEE
2025-10-14,144.0,155.0,143.5,155.0,2001300,GEE
2025-10-15,165.6,165.8,159.0,165.8,1858000,GEE
2025-10-16,173.0,177.4,168.8,177.4,1653800,GEE
2025-10-17,186.0,187.2,177.5,182.0,750900,GEE
2025-10-20,186.6,186.6,169.3,169.3,911200,GEE
2025-10-21,167.5,181.1,157.5,181.1,1453600,GEE
2025-10-22,192.0,192.0,181.8,181.8,559900,GEE
2025-10-23,182.8,185.0,179.3,182.1,499100,GEE
2025-10-24,181.8,181.8,170.0,177.9,406800,GEE
2025-10-27,178.8,181.5,173.0,177.9,451700,GEE
2025-10-28,177.0,180.4,174.0,180.0,324000,GEE
2025-10-29,181.5,185.7,178.8,181.0,322000,GEE
2025-10-30,182.0,182.5,171.3,177.0,421700,GEE
2025-10-31,177.5,178.3,172.0,176.2,228800,GEE
