time,open,high,low,close,volume,symbol
2025-08-21,56.12,56.12,53.26,54.15,12396931,GEX
2025-08-22,54.15,54.44,51.19,53.06,10647054,GEX
2025-08-25,54.15,54.15,51.88,52.18,7215392,GEX
2025-08-26,52.18,54.25,51.69,54.25,5733464,GEX
2025-08-27,54.74,55.33,52.97,53.16,9784139,GEX
2025-08-28,54.15,56.02,53.66,54.94,11458682,GEX
2025-08-29,56.02,56.02,53.66,53.66,8645751,GEX
2025-09-03,54.64,55.23,53.36,54.54,7149063,GEX
2025-09-04,55.13,55.23,53.16,53.66,9770113,GEX
2025-09-05,53.85,55.23,53.06,53.06,11770024,GEX
2025-09-08,53.16,53.16,49.42,49.42,14411816,GEX
2025-09-09,49.72,51.59,48.44,50.9,6800213,GEX
2025-09-10,52.0,52.7,51.4,52.5,4430270,GEX
2025-09-11,52.5,53.2,50.0,52.9,11819987,GEX
2025-09-12,53.7,55.9,53.0,55.0,16817318,GEX
2025-09-15,55.5,55.8,54.8,55.4,8787897,GEX
2025-09-16,56.1,56.2,54.0,54.0,6368584,GEX
2025-09-17,54.2,54.9,53.8,54.4,4959290,GEX
2025-09-18,54.8,54.9,53.8,54.6,5172742,GEX
2025-09-19,55.0,56.7,54.7,55.0,9798355,GEX
2025-09-22,55.4,55.4,51.8,54.8,9503737,GEX
2025-09-23,54.8,54.9,52.8,52.8,4364100,GEX
2025-09-24,52.8,53.0,51.0,52.5,4725600,GEX
2025-09-25,52.8,54.4,52.6,53.5,3823100,GEX
2025-09-26,53.8,53.8,52.4,53.0,3227800,GEX
2025-09-29,53.1,55.5,53.0,55.4,10053200,GEX
2025-09-30,55.8,55.8,54.0,55.5,6886000,GEX
2025-10-01,56.2,58.0,55.7,56.0,13224600,GEX
2025-10-02,56.6,56.6,53.3,54.2,7935000,GEX
2025-10-03,54.1,54.1,52.0,52.5,8382500,GEX
2025-10-06,53.3,55.2,52.6,55.2,6685200,GEX
2025-10-07,55.8,55.8,53.2,54.6,7742900,GEX
2025-10-08,55.0,55.2,53.7,55.2,14070200,GEX
2025-10-09,55.9,57.3,55.2,55.5,19735000,GEX
2025-10-10,55.7,56.9,55.0,55.9,21396500,GEX
2025-10-13,55.2,55.4,54.2,55.0,13304100,GEX
2025-10-14,55.5,58.8,55.0,58.8,50224700,GEX
2025-10-15,60.9,62.9,59.9,62.9,29554100,GEX
2025-10-16,64.3,65.7,62.6,65.4,29485800,GEX
2025-10-17,65.7,65.7,61.5,61.5,26960500,GEX
2025-10-20,61.6,62.7,57.2,57.2,34359700,GEX
2025-10-21,56.2,56.7,53.2,56.0,33939300,GEX
2025-10-22,56.6,56.6,52.3,55.5,15675800,GEX
2025-10-23,55.4,56.7,53.5,53.5,14561100,GEX
2025-10-24,52.8,53.4,50.8,51.6,19050900,GEX
2025-10-27,51.6,51.6,48.0,48.0,28387800,GEX
2025-10-28,47.3,51.0,46.0,51.0,22852000,GEX
2025-10-29,51.5,51.5,49.5,50.9,10846000,GEX
2025-10-30,50.9,50.9,47.35,47.35,17555600,GEX
2025-10-31,47.0,47.25,44.05,44.05,27848100,GEX
