time,open,high,low,close,volume,symbol
2025-01-07,5.46,5.9,5.45,5.45,64400,GMC
2025-01-08,5.1,5.3,5.07,5.07,109600,GMC
2025-01-09,4.72,5.2,4.72,5.2,78900,GMC
2025-01-10,5.1,5.2,5.0,5.0,50300,GMC
2025-01-13,4.74,4.8,4.65,4.77,178700,GMC
2025-01-14,4.75,4.85,4.53,4.6,24100,GMC
2025-01-15,4.32,4.92,4.32,4.92,58600,GMC
2025-01-16,4.93,5.0,4.6,4.9,86100,GMC
2025-01-17,4.8,4.8,4.6,4.65,31400,GMC
2025-01-20,4.34,4.83,4.34,4.6,43800,GMC
2025-01-21,4.8,4.8,4.57,4.71,11000,GMC
2025-01-22,4.65,4.71,4.56,4.69,31600,GMC
2025-01-23,4.65,4.75,4.65,4.75,18700,GMC
2025-02-14,4.7,5.7,4.7,5.2,61000,GMC
2025-02-21,5.1,5.5,5.0,5.2,59800,GMC
2025-02-28,5.3,5.6,5.2,5.4,100300,GMC
2025-03-07,5.6,5.6,5.2,5.4,26600,GMC
2025-03-14,5.3,6.0,5.3,5.4,60200,GMC
2025-03-21,5.4,5.4,5.3,5.4,14800,GMC
2025-03-28,5.0,5.3,5.0,5.3,7000,GMC
2025-04-04,4.4,4.5,4.4,4.4,36800,GMC
2025-04-11,4.5,4.9,4.3,4.9,47100,GMC
2025-04-18,4.5,5.1,4.5,4.5,39100,GMC
2025-04-25,4.6,4.6,4.5,4.6,14000,GMC
2025-05-09,4.8,4.8,4.5,4.6,8700,GMC
2025-05-16,4.4,4.5,4.4,4.5,6800,GMC
2025-05-23,4.4,4.6,4.2,4.2,14900,GMC
2025-05-30,4.9,4.9,4.0,4.1,32500,GMC
2025-06-06,4.3,4.3,3.9,4.0,35100,GMC
2025-06-13,4.1,4.2,4.1,4.2,7600,GMC
2025-06-20,4.1,4.4,4.1,4.2,15200,GMC
2025-06-27,4.2,4.2,4.1,4.1,13700,GMC
2025-07-04,4.3,4.8,4.0,4.8,8500,GMC
2025-07-11,4.6,4.6,4.3,4.6,2200,GMC
2025-07-18,4.4,4.7,4.3,4.7,2900,GMC
2025-07-25,4.1,4.6,4.1,4.4,2100,GMC
2025-08-01,4.4,4.4,4.1,4.3,5700,GMC
2025-08-08,4.1,4.6,4.1,4.6,15700,GMC
2025-08-15,4.2,4.6,4.2,4.2,4900,GMC
2025-08-22,4.2,4.3,3.9,4.2,12800,GMC
2025-08-29,4.2,4.3,4.2,4.2,14100,GMC
2025-09-05,4.3,4.4,4.3,4.3,37000,GMC
2025-09-12,4.4,4.6,4.3,4.6,5100,GMC
2025-09-19,4.4,4.4,4.3,4.3,8300,GMC
2025-09-26,4.3,4.5,4.3,4.5,2600,GMC
2025-10-03,4.7,4.8,4.1,4.3,3300,GMC
2025-10-10,5.1,5.1,4.7,5.1,152700,GMC
2025-10-17,5.6,5.6,5.2,5.6,24400,GMC
2025-10-24,5.2,5.5,5.2,5.5,1800,GMC
2025-10-31,5.5,5.5,5.3,5.3,25100,GMC
