time,open,high,low,close,volume,symbol
2025-08-15,8.5,8.5,8.35,8.4,20600,GMH
2025-08-18,8.4,8.4,8.4,8.4,8100,GMH
2025-08-19,8.4,8.5,8.39,8.5,15000,GMH
2025-08-20,8.33,8.45,8.33,8.45,13000,GMH
2025-08-21,8.59,8.59,8.44,8.58,8000,GMH
2025-08-22,8.41,8.41,8.4,8.4,6600,GMH
2025-08-25,8.4,8.4,8.39,8.4,1300,GMH
2025-08-26,8.19,8.4,8.19,8.4,300,GMH
2025-08-27,8.4,8.4,8.4,8.4,2700,GMH
2025-08-28,8.5,8.5,8.5,8.5,400,GMH
2025-08-29,8.22,8.5,8.22,8.24,300,GMH
2025-09-03,8.22,8.4,8.22,8.4,1700,GMH
2025-09-04,8.26,8.5,8.26,8.39,2300,GMH
2025-09-05,8.31,8.5,8.31,8.5,6500,GMH
2025-09-09,8.3,8.4,8.15,8.4,8400,GMH
2025-09-10,8.18,8.49,8.18,8.49,1300,GMH
2025-09-11,8.21,8.5,8.21,8.5,200,GMH
2025-09-12,9.0,9.0,8.69,8.69,600,GMH
2025-09-15,8.43,8.79,8.43,8.79,500,GMH
2025-09-16,8.9,8.9,8.9,8.9,100,GMH
2025-09-17,8.5,8.9,8.45,8.9,3800,GMH
2025-09-18,9.39,9.39,8.9,8.9,600,GMH
2025-09-22,8.9,8.9,8.37,8.6,5100,GMH
2025-09-23,8.6,8.6,8.59,8.59,500,GMH
2025-09-24,8.41,8.65,8.4,8.6,2600,GMH
2025-09-25,8.6,8.6,8.6,8.6,200,GMH
2025-09-29,8.7,8.7,8.6,8.65,700,GMH
2025-09-30,8.41,8.67,8.41,8.65,900,GMH
2025-10-01,8.7,8.8,8.7,8.8,3300,GMH
2025-10-02,8.45,8.69,8.45,8.69,1300,GMH
2025-10-03,8.51,8.58,8.41,8.58,7200,GMH
2025-10-06,8.7,8.78,8.7,8.7,1000,GMH
2025-10-08,8.7,8.7,8.5,8.65,1400,GMH
2025-10-09,8.5,8.5,8.5,8.5,100,GMH
2025-10-10,8.46,8.7,8.46,8.6,2500,GMH
2025-10-13,8.45,8.45,8.45,8.45,1900,GMH
2025-10-14,8.45,8.5,8.45,8.5,800,GMH
2025-10-15,8.5,8.6,8.5,8.6,4500,GMH
2025-10-16,8.5,8.6,8.5,8.6,800,GMH
2025-10-17,8.55,8.65,8.5,8.65,3500,GMH
2025-10-20,8.65,8.75,8.65,8.7,1900,GMH
2025-10-21,8.7,8.7,8.21,8.7,500,GMH
2025-10-22,8.8,8.8,8.8,8.8,1500,GMH
2025-10-23,8.9,8.9,8.9,8.9,100,GMH
2025-10-24,8.42,8.8,8.42,8.8,400,GMH
2025-10-27,8.41,8.75,8.41,8.74,4300,GMH
2025-10-28,8.5,8.6,8.4,8.6,1200,GMH
2025-10-29,8.6,8.6,8.32,8.49,1000,GMH
2025-10-30,8.5,8.5,8.5,8.5,6300,GMH
2025-10-31,8.15,8.5,8.15,8.5,500,GMH
