time,open,high,low,close,volume,symbol
2025-08-21,32.14,32.98,31.2,31.25,6931240,GVR
2025-08-22,31.01,31.01,29.08,29.08,9186133,GVR
2025-08-25,29.48,29.58,27.95,28.0,4993563,GVR
2025-08-26,28.1,28.84,27.85,28.79,3731531,GVR
2025-08-27,28.99,29.18,28.59,28.74,2713848,GVR
2025-08-28,29.03,29.03,28.64,28.79,2644341,GVR
2025-08-29,28.84,28.94,28.59,28.64,3349784,GVR
2025-09-03,28.64,29.28,28.59,28.89,2777263,GVR
2025-09-04,29.08,29.28,28.89,29.08,3338736,GVR
2025-09-05,29.38,30.37,29.28,29.38,7749949,GVR
2025-09-08,29.87,29.87,28.39,28.39,4602371,GVR
2025-09-09,28.39,28.59,28.0,28.2,2426075,GVR
2025-09-10,28.49,28.49,27.85,27.9,2813349,GVR
2025-09-11,28.2,28.39,27.61,28.34,2592523,GVR
2025-09-12,28.49,29.28,28.39,28.94,2262559,GVR
2025-09-15,29.08,29.58,28.94,29.43,2737645,GVR
2025-09-16,29.72,29.72,29.03,29.03,2092016,GVR
2025-09-17,29.08,29.18,28.49,28.49,2607586,GVR
2025-09-18,28.59,28.59,28.2,28.39,1616087,GVR
2025-09-19,28.69,28.69,28.2,28.2,1524770,GVR
2025-09-22,28.3,28.44,27.85,27.9,1377972,GVR
2025-09-23,28.3,28.3,27.7,27.7,842945,GVR
2025-09-24,27.75,28.2,27.61,28.2,1005832,GVR
2025-09-25,28.39,28.59,28.2,28.39,1188315,GVR
2025-09-26,28.54,28.59,28.1,28.1,1301884,GVR
2025-09-29,28.2,28.3,27.85,27.85,828205,GVR
2025-09-30,27.85,27.9,27.06,27.31,2053621,GVR
2025-10-01,27.36,27.61,27.36,27.46,691290,GVR
2025-10-02,27.51,27.65,26.77,26.92,1754714,GVR
2025-10-03,27.11,27.11,26.27,26.32,2385244,GVR
2025-10-06,26.92,27.16,26.52,27.16,2310467,GVR
2025-10-07,27.26,27.51,26.92,26.96,991213,GVR
2025-10-08,27.31,27.46,26.92,27.06,1031132,GVR
2025-10-09,27.11,28.15,26.77,27.61,3677523,GVR
2025-10-10,28.05,28.1,27.61,27.65,2164959,GVR
2025-10-13,27.51,28.54,27.46,28.1,3582796,GVR
2025-10-14,28.34,28.34,27.41,27.46,2469085,GVR
2025-10-15,27.46,27.65,26.87,27.06,2562074,GVR
2025-10-16,27.21,27.31,26.72,26.82,3630153,GVR
2025-10-17,27.01,27.26,26.72,26.72,2040568,GVR
2025-10-20,26.62,26.92,24.89,24.89,3353509,GVR
2025-10-21,24.65,25.53,24.15,25.04,3058754,GVR
2025-10-22,25.34,26.13,25.19,26.13,2129615,GVR
2025-10-23,26.32,26.37,25.73,25.73,873690,GVR
2025-10-24,25.83,26.62,25.63,26.18,1638175,GVR
2025-10-27,26.72,27.75,26.72,27.01,3943370,GVR
2025-10-28,27.11,27.21,26.37,27.16,1415432,GVR
2025-10-29,27.36,28.2,27.06,27.7,3916058,GVR
2025-10-30,27.9,28.15,27.21,27.95,3351034,GVR
2025-10-31,27.95,29.08,27.75,28.64,7007592,GVR
