time,open,high,low,close,volume,symbol
2025-07-30,12.2,12.5,12.2,12.5,200,HAC
2025-07-31,12.2,12.2,12.1,12.1,4300,HAC
2025-08-01,12.2,12.4,12.0,12.1,14900,HAC
2025-08-04,12.1,12.1,11.0,11.0,15300,HAC
2025-08-05,12.6,12.6,11.4,12.5,2500,HAC
2025-08-06,12.3,12.3,12.0,12.0,13700,HAC
2025-08-07,12.0,12.3,12.0,12.0,4100,HAC
2025-08-08,12.0,12.3,11.9,12.0,700,HAC
2025-08-11,12.1,12.2,12.1,12.2,1000,HAC
2025-08-12,12.2,12.3,11.1,12.3,900,HAC
2025-08-13,12.1,12.1,12.1,12.1,400,HAC
2025-08-14,12.1,12.4,12.1,12.3,21100,HAC
2025-08-15,12.3,12.3,12.2,12.2,2500,HAC
2025-08-18,11.7,12.3,11.6,11.8,500,HAC
2025-08-19,12.0,12.2,12.0,12.2,9800,HAC
2025-08-20,12.1,12.1,12.0,12.1,14200,HAC
2025-08-21,11.7,12.1,11.7,11.8,8300,HAC
2025-08-22,11.9,11.9,11.8,11.8,2100,HAC
2025-08-25,13.4,13.4,13.4,13.4,100,HAC
2025-08-27,12.0,12.3,12.0,12.3,800,HAC
2025-08-28,12.1,12.5,12.1,12.2,2000,HAC
2025-08-29,12.3,12.9,12.3,12.6,6400,HAC
2025-09-03,13.2,13.2,12.6,12.6,900,HAC
2025-09-04,12.4,12.4,12.0,12.0,1100,HAC
2025-09-05,13.2,14.0,12.7,13.6,39000,HAC
2025-09-08,11.9,13.2,11.9,13.2,400,HAC
2025-09-10,12.8,12.8,12.7,12.7,200,HAC
2025-09-11,14.0,14.3,12.7,12.8,4300,HAC
2025-09-12,12.1,13.1,12.1,12.7,5300,HAC
2025-09-15,12.9,12.9,12.9,12.9,200,HAC
2025-09-17,12.8,12.9,12.8,12.8,10100,HAC
2025-09-23,12.5,12.5,12.5,12.5,9100,HAC
2025-09-25,12.5,12.5,12.3,12.5,800,HAC
2025-09-26,11.5,12.4,11.5,12.4,700,HAC
2025-09-29,12.4,12.4,12.4,12.4,100,HAC
2025-10-01,12.4,14.2,12.4,13.0,2100,HAC
2025-10-02,13.4,13.4,12.5,12.5,3500,HAC
2025-10-03,13.0,13.0,11.7,11.9,1200,HAC
2025-10-06,13.0,13.0,13.0,13.0,100,HAC
2025-10-07,12.5,12.5,12.5,12.5,800,HAC
2025-10-08,12.5,12.5,12.5,12.5,100,HAC
2025-10-10,12.5,12.5,12.5,12.5,500,HAC
2025-10-13,12.0,12.0,12.0,12.0,800,HAC
2025-10-14,12.0,12.1,12.0,12.1,3500,HAC
2025-10-17,12.0,12.0,12.0,12.0,300,HAC
2025-10-23,10.5,10.6,10.2,10.2,1800,HAC
2025-10-24,10.6,10.6,10.6,10.6,200,HAC
2025-10-28,10.6,10.6,10.6,10.6,200,HAC
2025-10-29,10.8,10.8,10.8,10.8,1000,HAC
2025-10-31,9.4,9.4,9.2,9.2,9100,HAC
