time,open,high,low,close,volume,symbol
2025-08-21,5.97,5.97,5.7,5.7,3815800,HAR
2025-08-22,5.6,6.09,5.4,6.07,3208100,HAR
2025-08-25,6.4,6.4,5.65,5.65,2193700,HAR
2025-08-26,5.29,5.65,5.26,5.65,3114500,HAR
2025-08-27,5.65,5.7,5.3,5.36,1069200,HAR
2025-08-28,5.31,5.36,5.19,5.24,1185700,HAR
2025-08-29,5.27,5.49,5.27,5.31,812500,HAR
2025-09-03,5.31,5.55,5.21,5.46,851200,HAR
2025-09-04,5.58,5.58,5.3,5.39,1424300,HAR
2025-09-05,5.41,5.7,5.33,5.49,1322400,HAR
2025-09-08,5.39,5.39,5.11,5.11,1352900,HAR
2025-09-09,5.07,5.14,4.96,5.08,673000,HAR
2025-09-10,5.13,5.13,4.87,4.94,1055100,HAR
2025-09-11,4.94,4.94,4.69,4.89,1851600,HAR
2025-09-12,4.98,5.0,4.87,4.91,516700,HAR
2025-09-15,4.99,4.99,4.88,4.96,580300,HAR
2025-09-16,5.0,5.18,5.0,5.05,1270700,HAR
2025-09-17,5.05,5.35,5.01,5.1,1081200,HAR
2025-09-18,5.23,5.23,5.0,5.0,931500,HAR
2025-09-19,5.03,5.06,4.92,5.0,459700,HAR
2025-09-22,5.0,5.0,4.83,4.9,780000,HAR
2025-09-23,4.9,4.98,4.83,4.91,188600,HAR
2025-09-24,4.88,5.0,4.83,5.0,268100,HAR
2025-09-25,5.04,5.17,5.02,5.15,672700,HAR
2025-09-26,5.16,5.2,5.01,5.06,334700,HAR
2025-09-29,5.06,5.06,4.9,4.91,478600,HAR
2025-09-30,4.9,4.99,4.78,4.91,694600,HAR
2025-10-01,4.95,4.95,4.86,4.94,178400,HAR
2025-10-02,4.88,4.95,4.85,4.87,168900,HAR
2025-10-03,4.88,4.88,4.6,4.66,462400,HAR
2025-10-06,4.61,4.89,4.61,4.85,234500,HAR
2025-10-07,4.85,4.87,4.7,4.76,229900,HAR
2025-10-08,4.78,4.84,4.65,4.7,596700,HAR
2025-10-09,4.75,4.75,4.57,4.62,624400,HAR
2025-10-10,4.69,4.7,4.5,4.62,407100,HAR
2025-10-13,4.51,4.63,4.51,4.62,573400,HAR
2025-10-14,4.62,4.66,4.49,4.49,532100,HAR
2025-10-15,4.5,4.59,4.28,4.32,824200,HAR
2025-10-16,4.32,4.43,4.24,4.32,883100,HAR
2025-10-17,4.32,4.43,4.25,4.25,438600,HAR
2025-10-20,4.25,4.31,3.96,3.96,842200,HAR
2025-10-21,3.86,4.08,3.84,3.96,528500,HAR
2025-10-22,3.98,4.14,3.96,4.05,199000,HAR
2025-10-23,4.08,4.08,4.0,4.02,111100,HAR
2025-10-24,4.02,4.03,3.86,3.9,377900,HAR
2025-10-27,4.01,4.01,3.85,3.9,139300,HAR
2025-10-28,3.83,3.9,3.78,3.85,281000,HAR
2025-10-29,3.89,4.11,3.87,4.11,683400,HAR
2025-10-30,4.39,4.39,4.26,4.26,667400,HAR
2025-10-31,4.23,4.35,4.2,4.21,526100,HAR
