time,open,high,low,close,volume,symbol
2025-08-01,7.5,7.6,7.3,7.4,45700,HBS
2025-08-04,7.4,7.4,7.1,7.3,113200,HBS
2025-08-05,7.3,7.7,7.3,7.4,118800,HBS
2025-08-06,7.5,7.6,7.3,7.5,41200,HBS
2025-08-07,7.5,7.6,7.2,7.4,192200,HBS
2025-08-08,7.4,7.5,7.1,7.3,291500,HBS
2025-08-11,7.2,7.5,7.2,7.3,107800,HBS
2025-08-12,7.3,7.4,7.2,7.3,150700,HBS
2025-08-13,7.3,7.4,7.2,7.2,105600,HBS
2025-08-14,7.3,7.5,7.3,7.4,173500,HBS
2025-08-15,7.4,7.6,7.4,7.4,183300,HBS
2025-08-18,7.5,8.0,7.4,7.9,234500,HBS
2025-08-19,7.9,8.0,7.7,7.8,113600,HBS
2025-08-20,7.9,7.9,7.2,7.5,184700,HBS
2025-08-21,7.5,7.6,7.3,7.5,97800,HBS
2025-08-22,7.7,7.7,7.1,7.3,97900,HBS
2025-08-25,7.3,7.4,7.0,7.0,67800,HBS
2025-08-26,7.1,7.4,7.1,7.4,33400,HBS
2025-08-27,7.4,7.9,7.3,7.9,270800,HBS
2025-08-28,8.0,8.3,7.8,8.1,296300,HBS
2025-08-29,8.1,8.9,8.1,8.5,459900,HBS
2025-09-03,8.5,8.6,8.1,8.2,150400,HBS
2025-09-04,8.2,8.2,7.9,8.1,138000,HBS
2025-09-05,8.1,8.7,7.9,7.9,119200,HBS
2025-09-08,7.9,7.9,7.3,7.3,220900,HBS
2025-09-09,7.3,7.5,7.3,7.5,44400,HBS
2025-09-10,7.7,7.8,7.4,7.6,37900,HBS
2025-09-11,7.6,7.6,7.3,7.5,61200,HBS
2025-09-12,7.5,7.6,7.4,7.6,33200,HBS
2025-09-15,7.6,7.7,7.6,7.7,65700,HBS
2025-09-16,7.7,7.8,7.5,7.5,39100,HBS
2025-09-17,7.5,7.8,7.0,7.6,90200,HBS
2025-09-18,7.6,7.7,7.5,7.5,30800,HBS
2025-09-19,7.4,7.4,7.3,7.4,31800,HBS
2025-09-22,7.2,7.4,7.1,7.3,59200,HBS
2025-09-23,7.2,7.6,7.2,7.5,29800,HBS
2025-09-24,7.5,7.6,7.2,7.5,24200,HBS
2025-09-25,7.3,7.6,7.1,7.1,120500,HBS
2025-09-26,7.4,7.6,7.2,7.4,23600,HBS
2025-09-29,7.4,7.6,7.4,7.4,112100,HBS
2025-09-30,7.4,8.1,7.4,8.0,471200,HBS
2025-10-01,8.1,8.8,8.1,8.8,384100,HBS
2025-10-02,9.4,9.6,8.5,9.0,427800,HBS
2025-10-03,8.8,8.8,8.1,8.5,215000,HBS
2025-10-06,8.0,8.9,7.7,8.3,531300,HBS
2025-10-07,8.0,8.1,7.7,7.7,175200,HBS
2025-10-10,7.0,7.3,7.0,7.0,332700,HBS
2025-10-17,6.3,6.8,6.3,6.5,716800,HBS
2025-10-24,6.5,6.5,5.9,6.1,82900,HBS
2025-10-31,5.7,6.0,5.5,5.5,388000,HBS
