time,open,high,low,close,volume,symbol
2025-05-27,27.0,27.0,27.0,27.0,0,HC3
2025-05-28,27.0,27.0,27.0,27.0,0,HC3
2025-05-29,27.0,27.0,27.0,27.0,0,HC3
2025-05-30,27.0,27.0,27.0,27.0,0,HC3
2025-06-02,27.0,27.0,27.0,27.0,0,HC3
2025-06-03,27.0,27.0,27.0,27.0,0,HC3
2025-06-04,27.0,27.0,27.0,27.0,0,HC3
2025-06-05,27.0,27.0,27.0,27.0,0,HC3
2025-06-06,27.0,27.0,27.0,27.0,0,HC3
2025-06-13,27.2,27.2,27.2,27.2,100,HC3
2025-06-19,27.0,27.0,27.0,27.0,300,HC3
2025-06-20,27.0,27.0,27.0,27.0,100,HC3
2025-07-16,23.5,23.5,23.5,23.5,15000,HC3
2025-07-21,27.0,27.0,27.0,27.0,100,HC3
2025-07-23,27.0,27.0,27.0,27.0,1300,HC3
2025-07-24,27.0,27.0,27.0,27.0,3100,HC3
2025-07-25,27.0,27.0,27.0,27.0,2000,HC3
2025-07-28,27.1,27.1,27.1,27.1,1000,HC3
2025-07-29,27.0,27.1,27.0,27.1,2200,HC3
2025-07-30,27.1,27.1,27.1,27.1,1000,HC3
2025-07-31,27.1,27.1,27.1,27.1,1200,HC3
2025-08-01,27.1,27.1,27.1,27.1,7000,HC3
2025-08-04,27.1,27.1,27.1,27.1,3400,HC3
2025-08-05,27.0,27.1,25.0,27.1,12300,HC3
2025-08-14,27.0,27.0,27.0,27.0,200,HC3
2025-08-21,26.5,26.5,26.5,26.5,2800,HC3
2025-08-22,26.5,26.5,26.4,26.5,8000,HC3
2025-08-25,26.5,26.5,26.5,26.5,1800,HC3
2025-08-27,26.5,26.5,26.5,26.5,500,HC3
2025-08-29,26.5,26.5,26.5,26.5,900,HC3
2025-09-03,26.5,26.5,26.5,26.5,1000,HC3
2025-09-04,26.5,26.5,26.5,26.5,1000,HC3
2025-09-05,26.5,26.5,26.5,26.5,1800,HC3
2025-09-08,27.0,27.0,27.0,27.0,1500,HC3
2025-09-09,26.5,26.5,26.5,26.5,4000,HC3
2025-09-11,26.5,26.5,26.5,26.5,2200,HC3
2025-09-26,27.0,27.0,27.0,27.0,100,HC3
2025-09-29,26.0,26.0,26.0,26.0,300,HC3
2025-09-30,26.0,26.0,26.0,26.0,200,HC3
2025-10-06,26.5,26.5,26.5,26.5,1800,HC3
2025-10-07,26.5,26.5,26.5,26.5,1400,HC3
2025-10-08,26.5,26.5,26.5,26.5,1000,HC3
2025-10-09,26.5,26.5,26.5,26.5,1800,HC3
2025-10-13,26.6,26.6,26.6,26.6,3200,HC3
2025-10-14,26.6,26.6,26.5,26.5,800,HC3
2025-10-15,25.0,25.0,25.0,25.0,100,HC3
2025-10-17,26.0,26.0,26.0,26.0,100,HC3
2025-10-22,26.5,26.5,26.5,26.5,800,HC3
2025-10-24,26.5,26.5,26.5,26.5,600,HC3
2025-10-28,26.6,26.6,26.5,26.5,500,HC3
