time,open,high,low,close,volume,symbol
2025-08-21,295.57,309.26,295.57,301.38,5100,HGM
2025-08-22,299.31,299.31,293.5,295.57,9906,HGM
2025-08-25,299.41,299.41,294.49,295.47,4000,HGM
2025-08-26,295.47,295.47,292.71,293.6,2950,HGM
2025-08-27,295.0,296.0,292.9,295.1,4404,HGM
2025-08-28,290.0,295.2,290.0,294.0,3416,HGM
2025-08-29,294.0,294.0,286.0,286.0,4825,HGM
2025-09-03,286.1,295.6,286.0,292.1,8298,HGM
2025-09-04,298.0,305.0,295.2,297.7,8169,HGM
2025-09-05,303.9,304.2,299.0,300.1,6506,HGM
2025-09-08,299.9,309.0,294.0,308.0,16447,HGM
2025-09-09,300.3,302.4,300.3,302.1,5223,HGM
2025-09-10,305.0,306.3,300.4,300.4,9503,HGM
2025-09-11,305.0,305.0,299.6,300.0,3300,HGM
2025-09-12,300.7,301.0,300.0,300.2,8000,HGM
2025-09-15,306.0,307.1,300.2,300.7,10600,HGM
2025-09-16,304.5,305.5,303.5,303.5,3200,HGM
2025-09-17,303.6,309.1,303.6,305.3,5800,HGM
2025-09-18,306.0,312.0,305.5,312.0,4000,HGM
2025-09-19,306.7,310.0,305.0,309.0,2300,HGM
2025-09-22,309.5,310.0,303.0,309.4,8400,HGM
2025-09-23,309.3,310.0,307.0,309.0,4000,HGM
2025-09-24,310.0,312.0,309.0,312.0,5600,HGM
2025-09-25,309.0,310.0,306.5,310.0,600,HGM
2025-09-26,311.0,324.0,311.0,319.8,12600,HGM
2025-09-29,313.5,315.0,310.0,315.0,1900,HGM
2025-09-30,314.7,314.7,304.0,305.5,5700,HGM
2025-10-01,305.5,305.8,304.6,305.5,5100,HGM
2025-10-02,305.5,305.5,296.6,302.5,5600,HGM
2025-10-03,302.5,302.5,302.5,302.5,200,HGM
2025-10-06,302.5,305.0,302.0,305.0,700,HGM
2025-10-07,319.4,319.5,300.2,306.9,1200,HGM
2025-10-08,305.0,305.5,301.0,302.1,6600,HGM
2025-10-09,303.2,303.2,299.6,302.0,7300,HGM
2025-10-10,298.1,304.0,298.0,299.9,6900,HGM
2025-10-13,305.5,319.2,305.0,311.0,10700,HGM
2025-10-14,316.0,316.0,310.9,310.9,4000,HGM
2025-10-15,303.3,303.3,302.0,302.0,3800,HGM
2025-10-16,302.2,312.0,302.2,312.0,4100,HGM
2025-10-17,312.0,312.0,305.0,310.0,1200,HGM
2025-10-20,309.0,319.0,302.1,302.1,6900,HGM
2025-10-21,302.1,305.0,293.0,299.9,20100,HGM
2025-10-22,295.6,299.0,292.0,299.0,6600,HGM
2025-10-23,299.0,299.0,289.0,298.6,9600,HGM
2025-10-24,299.0,299.0,289.0,289.0,8300,HGM
2025-10-27,284.1,289.0,281.1,281.1,10800,HGM
2025-10-28,280.0,281.0,269.0,281.0,25200,HGM
2025-10-29,284.0,293.0,284.0,284.4,3900,HGM
2025-10-30,286.0,286.0,280.0,280.1,12400,HGM
2025-10-31,279.0,279.0,268.0,268.1,8100,HGM
