time,open,high,low,close,volume,symbol
2025-08-21,27.45,27.8,27.3,27.4,69981700,HPG
2025-08-22,26.95,27.1,26.0,26.0,132314200,HPG
2025-08-25,26.5,26.75,25.85,25.95,68320100,HPG
2025-08-26,26.1,27.2,26.1,27.2,51986200,HPG
2025-08-27,27.25,27.25,26.75,26.75,85992500,HPG
2025-08-28,26.95,27.5,26.85,27.1,63166300,HPG
2025-08-29,27.2,27.85,27.05,27.5,81735200,HPG
2025-09-03,27.4,29.0,27.25,28.15,119138500,HPG
2025-09-04,28.45,29.9,28.35,29.85,141435100,HPG
2025-09-05,30.0,30.1,28.8,28.8,95256400,HPG
2025-09-08,28.7,29.75,28.65,28.9,141768400,HPG
2025-09-09,29.2,29.25,28.2,28.85,73861200,HPG
2025-09-10,28.85,29.2,28.4,28.85,52455800,HPG
2025-09-11,28.7,29.2,28.0,29.15,71781900,HPG
2025-09-12,29.2,30.1,29.15,30.0,104621000,HPG
2025-09-15,30.25,30.85,30.1,30.35,88920500,HPG
2025-09-16,30.55,30.55,29.75,29.95,66855600,HPG
2025-09-17,29.9,30.25,29.2,29.2,124424600,HPG
2025-09-18,29.35,29.4,28.6,29.15,75687000,HPG
2025-09-19,29.3,29.4,28.8,29.25,45024800,HPG
2025-09-22,29.25,29.25,28.3,28.4,66073800,HPG
2025-09-23,28.55,28.85,28.45,28.65,24900000,HPG
2025-09-24,28.65,29.05,28.25,29.05,30738900,HPG
2025-09-25,29.15,29.3,28.75,28.8,34435400,HPG
2025-09-26,28.85,29.2,28.55,28.55,38128900,HPG
2025-09-29,28.55,28.9,28.4,28.6,38831200,HPG
2025-09-30,28.55,28.6,27.9,28.15,53737200,HPG
2025-10-01,28.3,28.5,28.1,28.3,29848500,HPG
2025-10-02,28.35,28.65,28.05,28.1,30165900,HPG
2025-10-03,28.1,28.1,27.35,27.65,58123500,HPG
2025-10-06,28.1,29.2,28.1,29.2,71269500,HPG
2025-10-07,29.2,29.35,29.0,29.0,41398600,HPG
2025-10-08,29.25,29.4,28.75,29.2,59953000,HPG
2025-10-09,29.4,29.4,28.85,28.95,42551700,HPG
2025-10-10,29.0,29.75,28.9,29.6,62702300,HPG
2025-10-13,29.05,29.25,28.85,29.0,80237700,HPG
2025-10-14,29.05,29.25,28.3,28.35,84307900,HPG
2025-10-15,28.4,28.7,28.2,28.25,34623200,HPG
2025-10-16,28.25,28.8,28.0,28.25,44715300,HPG
2025-10-17,28.3,28.65,28.0,28.0,46508200,HPG
2025-10-20,27.9,28.25,26.05,26.05,102963100,HPG
2025-10-21,26.3,27.0,26.0,26.8,74275800,HPG
2025-10-22,26.9,26.9,26.15,26.7,37268800,HPG
2025-10-23,26.75,27.0,26.5,26.5,23443400,HPG
2025-10-24,26.5,26.7,26.1,26.4,30587700,HPG
2025-10-27,26.75,26.85,26.25,26.25,27390800,HPG
2025-10-28,26.35,26.8,26.15,26.8,28512100,HPG
2025-10-29,26.9,27.55,26.9,27.25,39448900,HPG
2025-10-30,27.4,27.4,26.9,26.9,23693500,HPG
2025-10-31,26.9,27.1,26.7,26.7,19779100,HPG
