time,open,high,low,close,volume,symbol
2025-08-21,18.9,18.95,18.35,18.8,10658300,HSG
2025-08-22,18.6,18.7,18.1,18.4,12260500,HSG
2025-08-25,18.55,18.65,17.9,18.0,8292100,HSG
2025-08-26,18.0,18.5,18.0,18.45,5785800,HSG
2025-08-27,18.8,18.8,18.3,18.3,5994000,HSG
2025-08-28,18.45,18.7,18.3,18.35,4214600,HSG
2025-08-29,18.35,18.8,18.3,18.35,8390800,HSG
2025-09-03,18.5,19.6,18.4,19.6,23544600,HSG
2025-09-04,19.8,20.95,19.55,20.95,28845500,HSG
2025-09-05,20.95,21.1,20.25,20.25,17541800,HSG
2025-09-08,20.25,20.8,20.0,20.0,22153100,HSG
2025-09-09,20.0,20.25,19.1,19.9,13794800,HSG
2025-09-10,19.95,20.05,19.25,19.45,6878900,HSG
2025-09-11,19.45,20.0,18.6,20.0,12864900,HSG
2025-09-12,20.35,20.9,20.2,20.5,16958900,HSG
2025-09-15,20.75,21.2,20.55,20.7,13733500,HSG
2025-09-16,20.85,20.85,20.2,20.2,10929500,HSG
2025-09-17,20.2,20.7,19.65,19.65,9506200,HSG
2025-09-18,19.8,19.95,19.5,19.7,5874000,HSG
2025-09-19,20.0,20.0,19.3,19.3,5838700,HSG
2025-09-22,19.75,19.75,18.7,18.95,10936200,HSG
2025-09-23,19.0,19.3,18.9,18.9,4312400,HSG
2025-09-24,19.0,19.4,18.75,19.4,6478200,HSG
2025-09-25,19.6,19.9,19.4,19.4,6547200,HSG
2025-09-26,19.5,19.85,19.3,19.35,6046300,HSG
2025-09-29,19.4,19.55,19.05,19.05,3960200,HSG
2025-09-30,19.2,19.2,18.5,19.0,7670500,HSG
2025-10-01,18.9,19.1,18.85,19.0,2323600,HSG
2025-10-02,19.0,19.1,18.5,18.5,4197800,HSG
2025-10-03,18.6,18.6,18.05,18.05,5984600,HSG
2025-10-06,18.3,19.0,18.15,18.8,4100400,HSG
2025-10-07,18.95,18.95,18.5,18.5,2598400,HSG
2025-10-08,18.9,18.95,18.5,18.8,3554400,HSG
2025-10-09,18.95,19.1,18.7,18.85,2626900,HSG
2025-10-10,19.0,19.15,18.9,19.0,4125800,HSG
2025-10-13,18.5,18.8,18.45,18.7,7214100,HSG
2025-10-14,18.8,19.0,18.35,18.35,9187000,HSG
2025-10-15,18.35,18.6,18.1,18.45,5286200,HSG
2025-10-16,18.5,18.75,18.2,18.5,5514600,HSG
2025-10-17,18.55,18.8,18.2,18.25,11245900,HSG
2025-10-20,18.25,18.35,17.0,17.0,13306100,HSG
2025-10-21,17.0,17.1,16.2,16.6,9564900,HSG
2025-10-22,16.8,16.8,16.25,16.55,5323900,HSG
2025-10-23,16.75,16.8,16.4,16.5,4087600,HSG
2025-10-24,16.5,16.6,16.05,16.3,4410200,HSG
2025-10-27,16.6,16.85,16.4,16.6,3969600,HSG
2025-10-28,16.6,16.85,16.5,16.85,3034700,HSG
2025-10-29,17.0,17.15,16.85,17.0,3123500,HSG
2025-10-30,16.95,17.0,16.6,16.65,5176600,HSG
2025-10-31,16.7,17.05,16.65,16.75,3457200,HSG
