time,open,high,low,close,volume,symbol
2025-08-21,33.0,33.0,32.0,32.05,1386000,HVN
2025-08-22,32.0,32.0,30.55,30.85,1234700,HVN
2025-08-25,31.05,31.25,30.3,30.4,1003500,HVN
2025-08-26,30.3,30.9,30.3,30.65,535000,HVN
2025-08-27,31.0,31.0,30.6,30.9,832000,HVN
2025-08-28,32.25,32.25,31.0,31.3,1469600,HVN
2025-08-29,31.25,31.25,30.8,31.0,1010400,HVN
2025-09-03,31.0,31.0,30.8,31.0,776900,HVN
2025-09-04,31.05,31.1,30.75,31.05,1094400,HVN
2025-09-05,31.0,31.05,30.8,30.95,1153800,HVN
2025-09-08,30.8,31.0,30.65,30.8,1214300,HVN
2025-09-09,30.7,31.5,30.7,31.5,877600,HVN
2025-09-10,32.0,32.4,31.5,32.0,1741700,HVN
2025-09-11,32.05,32.95,31.8,32.9,2859400,HVN
2025-09-12,33.2,33.95,32.8,33.95,4132500,HVN
2025-09-15,35.0,36.3,35.0,36.3,3659100,HVN
2025-09-16,38.0,38.45,37.5,38.25,6827400,HVN
2025-09-17,38.2,38.2,37.0,37.45,2045600,HVN
2025-09-18,37.8,38.0,37.45,37.9,2453800,HVN
2025-09-19,38.05,38.05,35.8,35.8,5583700,HVN
2025-09-22,36.0,37.5,36.0,37.5,3500600,HVN
2025-09-23,38.3,38.3,36.6,38.0,1579000,HVN
2025-09-24,37.9,38.2,36.6,38.2,1949700,HVN
2025-09-25,37.45,37.95,37.4,37.4,607000,HVN
2025-09-26,37.05,37.05,36.5,36.5,903300,HVN
2025-09-29,36.7,36.8,35.0,35.0,1355400,HVN
2025-09-30,34.2,35.3,34.2,35.0,1312500,HVN
2025-10-01,35.0,35.1,34.95,34.95,1023700,HVN
2025-10-02,35.0,35.0,34.9,34.9,1078500,HVN
2025-10-03,34.5,34.65,34.15,34.15,1022900,HVN
2025-10-06,34.2,35.0,34.2,35.0,623000,HVN
2025-10-07,35.05,35.05,34.2,34.3,969900,HVN
2025-10-08,34.95,34.95,34.7,34.9,523500,HVN
2025-10-09,35.0,35.2,34.45,34.7,1056500,HVN
2025-10-10,34.8,36.2,34.8,36.2,1039900,HVN
2025-10-13,35.4,36.0,35.4,35.7,655100,HVN
2025-10-14,35.8,35.95,35.2,35.2,1016200,HVN
2025-10-15,35.65,35.7,35.0,35.1,727200,HVN
2025-10-16,35.7,35.75,35.5,35.6,559200,HVN
2025-10-17,35.6,35.6,35.0,35.0,588100,HVN
2025-10-20,35.0,36.25,32.6,32.6,1402300,HVN
2025-10-21,34.0,34.5,33.5,34.5,1271700,HVN
2025-10-22,35.0,35.0,34.0,34.45,691500,HVN
2025-10-23,34.45,34.45,33.6,33.75,1573600,HVN
2025-10-24,34.0,34.6,33.05,33.1,1213700,HVN
2025-10-27,33.7,34.2,33.0,33.0,981200,HVN
2025-10-28,33.0,33.1,32.05,33.1,1411500,HVN
2025-10-29,33.45,33.45,32.5,32.5,1262700,HVN
2025-10-30,32.9,33.45,32.5,33.0,580900,HVN
2025-10-31,33.0,33.0,31.5,31.6,2582100,HVN
