time,open,high,low,close,volume,symbol
2025-08-21,10.8,11.2,10.7,10.9,1016500,IVS
2025-08-22,10.9,10.9,10.2,10.3,1095300,IVS
2025-08-25,10.4,10.6,10.2,10.3,602800,IVS
2025-08-26,10.3,10.6,10.3,10.6,604800,IVS
2025-08-27,10.7,10.8,10.4,10.5,842500,IVS
2025-08-28,10.5,11.5,10.5,11.1,1851500,IVS
2025-08-29,11.4,12.1,11.3,11.6,2940500,IVS
2025-09-03,11.6,11.9,11.3,11.4,992500,IVS
2025-09-04,11.4,11.5,11.2,11.4,733300,IVS
2025-09-05,11.5,11.7,11.1,11.3,1528400,IVS
2025-09-08,11.3,11.3,10.6,10.6,1383600,IVS
2025-09-09,10.7,11.0,10.6,10.9,660700,IVS
2025-09-10,10.7,11.2,10.5,10.9,213300,IVS
2025-09-11,10.9,10.9,10.4,10.9,539700,IVS
2025-09-12,10.9,11.0,10.8,10.8,266600,IVS
2025-09-15,11.0,11.0,10.7,10.8,292200,IVS
2025-09-16,10.8,11.0,10.7,10.7,319900,IVS
2025-09-17,10.7,10.7,10.5,10.6,462900,IVS
2025-09-18,10.4,10.6,10.3,10.4,351600,IVS
2025-09-19,10.5,10.6,10.3,10.4,186700,IVS
2025-09-22,10.4,10.4,10.1,10.3,512800,IVS
2025-09-23,10.3,10.4,10.2,10.3,141200,IVS
2025-09-24,10.3,10.4,10.2,10.4,191400,IVS
2025-09-25,10.4,10.5,10.2,10.4,331200,IVS
2025-09-26,10.5,10.5,10.2,10.2,270100,IVS
2025-09-29,10.2,10.3,10.0,10.1,290100,IVS
2025-09-30,10.1,10.2,9.9,10.1,276000,IVS
2025-10-01,10.2,10.3,10.0,10.2,139500,IVS
2025-10-02,10.2,10.3,9.9,10.0,124700,IVS
2025-10-03,10.0,10.0,9.7,10.0,214800,IVS
2025-10-06,9.9,10.4,9.9,10.4,411200,IVS
2025-10-07,10.4,10.4,10.0,10.0,160600,IVS
2025-10-08,10.3,10.4,10.0,10.1,239100,IVS
2025-10-09,10.2,10.2,10.1,10.2,124500,IVS
2025-10-10,10.2,10.2,10.0,10.1,131000,IVS
2025-10-13,10.0,10.0,9.9,9.9,287300,IVS
2025-10-14,9.9,10.1,9.7,9.7,444700,IVS
2025-10-15,9.9,9.9,9.5,9.5,262800,IVS
2025-10-16,9.5,9.6,9.2,9.3,313500,IVS
2025-10-17,9.3,9.4,9.2,9.4,185100,IVS
2025-10-20,9.4,9.4,8.5,8.5,510900,IVS
2025-10-21,8.5,8.8,8.3,8.6,412000,IVS
2025-10-22,8.6,8.7,8.5,8.6,151100,IVS
2025-10-23,8.7,8.9,8.6,8.6,92100,IVS
2025-10-24,8.5,8.7,8.5,8.6,100100,IVS
2025-10-27,8.6,8.8,8.6,8.7,50400,IVS
2025-10-28,8.7,8.9,8.6,8.9,87600,IVS
2025-10-29,8.9,8.9,8.7,8.8,90000,IVS
2025-10-30,8.8,8.8,8.5,8.7,67500,IVS
2025-10-31,8.7,8.8,8.6,8.6,165200,IVS
