time,open,high,low,close,volume,symbol
2024-07-18,2.5,2.5,2.5,2.5,0,LM7
2024-07-19,2.8,2.8,2.5,2.5,3700,LM7
2024-07-22,2.5,2.5,2.5,2.5,0,LM7
2024-07-23,2.5,2.5,2.5,2.5,0,LM7
2024-07-24,2.5,2.5,2.5,2.5,0,LM7
2024-07-25,2.5,2.5,2.5,2.5,0,LM7
2024-07-26,2.5,2.5,2.4,2.4,200,LM7
2024-08-09,2.4,2.4,2.4,2.4,200,LM7
2024-08-16,2.7,2.7,2.1,2.7,400,LM7
2024-08-30,2.4,2.4,2.4,2.4,300,LM7
2024-09-06,2.4,2.4,2.4,2.4,200,LM7
2024-09-27,2.5,2.5,2.5,2.5,200,LM7
2024-11-01,2.2,2.2,2.2,2.2,1900,LM7
2024-11-29,2.5,2.5,2.5,2.5,100,LM7
2024-12-06,2.2,2.2,2.2,2.2,300,LM7
2025-01-17,1.9,1.9,1.9,1.9,2100,LM7
2025-01-24,1.7,1.7,1.7,1.7,100,LM7
2025-02-07,1.9,1.9,1.9,1.9,100,LM7
2025-02-14,2.1,2.1,2.1,2.1,200,LM7
2025-02-21,2.4,2.4,2.4,2.4,100,LM7
2025-02-28,2.7,2.7,2.7,2.7,2200,LM7
2025-03-07,3.1,3.1,3.0,3.0,2200,LM7
2025-03-14,3.2,3.2,3.2,3.2,100,LM7
2025-03-21,2.9,2.9,2.9,2.9,100,LM7
2025-03-28,3.3,3.3,2.8,2.8,300,LM7
2025-04-04,3.5,3.5,2.8,2.8,2100,LM7
2025-04-11,3.2,3.2,3.2,3.2,100,LM7
2025-05-09,3.6,3.6,3.6,3.6,100,LM7
2025-05-16,3.1,3.1,3.1,3.1,3500,LM7
2025-05-23,2.7,2.7,2.7,2.7,500,LM7
2025-05-30,2.3,2.7,2.3,2.3,900,LM7
2025-06-06,2.0,2.5,2.0,2.5,300,LM7
2025-06-13,2.5,2.5,2.5,2.5,100,LM7
2025-06-20,2.8,2.8,2.8,2.8,100,LM7
2025-06-27,3.1,3.1,3.1,3.1,100,LM7
2025-07-04,2.7,2.7,2.7,2.7,400,LM7
2025-07-11,2.3,3.1,2.3,3.1,3800,LM7
2025-07-18,2.4,2.7,2.4,2.7,200,LM7
2025-07-25,2.5,2.5,2.4,2.4,1300,LM7
2025-08-01,2.7,2.7,2.6,2.7,2600,LM7
2025-08-08,2.7,2.9,2.7,2.9,300,LM7
2025-08-15,3.2,3.2,2.8,2.8,200,LM7
2025-08-29,3.4,3.4,2.6,2.6,500,LM7
2025-09-05,2.9,2.9,2.4,2.4,400,LM7
2025-09-12,2.8,2.8,2.8,2.8,100,LM7
2025-09-19,3.2,3.2,2.7,2.7,400,LM7
2025-09-26,3.2,3.2,2.6,2.6,2600,LM7
2025-10-10,2.3,2.6,2.3,2.3,1400,LM7
2025-10-17,2.6,2.6,2.2,2.2,1000,LM7
2025-10-24,2.6,2.6,2.0,2.5,400,LM7
