time,open,high,low,close,volume,symbol
2025-08-21,114.5,116.2,114.5,116.2,749700,MCH
2025-08-22,116.2,119.8,115.8,118.0,492300,MCH
2025-08-25,118.0,119.0,116.9,118.6,328600,MCH
2025-08-26,118.5,119.3,117.0,119.0,355000,MCH
2025-08-27,119.5,122.1,119.5,122.0,474900,MCH
2025-08-28,122.0,128.6,122.0,128.0,713100,MCH
2025-08-29,128.5,131.5,128.5,130.2,639200,MCH
2025-09-03,130.2,132.2,129.0,130.3,430200,MCH
2025-09-04,130.3,132.0,130.3,131.7,278500,MCH
2025-09-05,131.9,132.2,130.3,130.5,478600,MCH
2025-09-08,130.4,131.5,128.0,129.0,379600,MCH
2025-09-09,129.0,129.5,128.0,129.1,331900,MCH
2025-09-10,129.5,129.7,128.0,129.4,242900,MCH
2025-09-11,129.5,129.5,126.0,127.2,391000,MCH
2025-09-12,128.0,128.8,127.2,128.8,186800,MCH
2025-09-15,128.4,129.3,128.4,128.7,190400,MCH
2025-09-16,128.9,129.5,127.0,128.9,458900,MCH
2025-09-17,128.9,128.9,127.2,128.1,211700,MCH
2025-09-18,128.0,128.4,127.1,128.0,168100,MCH
2025-09-19,128.0,130.5,127.4,129.5,246600,MCH
2025-09-22,129.8,129.8,127.4,128.0,127800,MCH
2025-09-23,128.2,129.0,127.8,128.0,173300,MCH
2025-09-24,128.4,129.7,127.6,129.5,152800,MCH
2025-09-25,128.5,129.5,127.7,129.5,181000,MCH
2025-09-26,129.0,131.0,129.0,130.1,204500,MCH
2025-09-29,130.1,131.0,130.1,130.4,162300,MCH
2025-09-30,130.2,130.2,127.6,129.2,188400,MCH
2025-10-01,129.0,129.6,128.3,128.8,49400,MCH
2025-10-02,128.0,129.0,128.0,128.1,171500,MCH
2025-10-03,128.0,128.5,126.5,128.0,194500,MCH
2025-10-06,128.7,130.0,127.8,129.7,148600,MCH
2025-10-07,129.7,135.0,129.4,132.5,248300,MCH
2025-10-08,133.5,134.0,131.4,131.8,65900,MCH
2025-10-09,132.5,134.2,132.5,134.2,265200,MCH
2025-10-10,134.2,146.0,134.0,144.1,885100,MCH
2025-10-13,144.1,153.0,141.0,151.8,713200,MCH
2025-10-14,151.8,154.0,147.0,149.1,498600,MCH
2025-10-15,149.6,149.9,146.1,148.9,412600,MCH
2025-10-16,148.9,150.9,147.0,147.8,662500,MCH
2025-10-17,148.8,149.3,143.5,145.6,229200,MCH
2025-10-20,144.6,144.6,138.0,138.5,645200,MCH
2025-10-21,125.0,141.5,125.0,140.7,316400,MCH
2025-10-22,139.7,144.8,139.7,143.0,186200,MCH
2025-10-23,143.7,144.5,143.0,143.5,201200,MCH
2025-10-24,144.0,145.9,143.0,145.0,354000,MCH
2025-10-27,130.0,150.0,130.0,148.9,451700,MCH
2025-10-28,148.5,151.0,148.5,149.9,485900,MCH
2025-10-29,149.8,156.0,149.8,154.9,593500,MCH
2025-10-30,154.4,163.0,154.4,159.4,726000,MCH
2025-10-31,162.0,163.0,158.0,159.5,343700,MCH
