time,open,high,low,close,volume,symbol
2025-08-21,83.9,84.8,83.3,84.3,9701000,MSN
2025-08-22,83.0,83.4,79.7,81.0,18642000,MSN
2025-08-25,81.3,81.8,78.3,79.5,10287200,MSN
2025-08-26,78.7,81.1,78.2,81.1,8579900,MSN
2025-08-27,81.3,82.8,81.2,82.2,8098600,MSN
2025-08-28,82.5,83.3,81.9,83.1,6539900,MSN
2025-08-29,83.2,83.6,82.2,83.0,7420100,MSN
2025-09-03,83.5,85.3,82.9,83.0,9531800,MSN
2025-09-04,83.5,85.3,82.0,84.8,13228500,MSN
2025-09-05,86.3,87.4,83.0,83.0,12005700,MSN
2025-09-08,82.6,83.3,80.0,81.0,13945500,MSN
2025-09-09,81.0,81.3,79.8,81.0,6003800,MSN
2025-09-10,81.4,81.4,80.0,81.0,4256100,MSN
2025-09-11,80.8,82.3,79.1,82.0,10202400,MSN
2025-09-12,82.3,86.9,81.6,86.0,21808200,MSN
2025-09-15,86.8,89.0,86.3,88.5,16596700,MSN
2025-09-16,89.0,89.0,86.8,86.8,13155500,MSN
2025-09-17,86.6,86.9,84.2,84.2,11516500,MSN
2025-09-18,84.4,85.2,83.5,84.0,6725200,MSN
2025-09-19,84.6,84.7,83.3,83.9,10383000,MSN
2025-09-22,83.9,84.0,81.0,81.9,8824400,MSN
2025-09-23,81.9,82.6,81.5,81.9,3808100,MSN
2025-09-24,82.0,83.7,81.1,82.9,5235500,MSN
2025-09-25,83.5,83.6,82.2,82.2,4585800,MSN
2025-09-26,82.2,83.5,82.0,82.2,6728100,MSN
2025-09-29,82.2,82.5,81.3,81.8,4298200,MSN
2025-09-30,82.0,82.0,80.5,81.0,4726100,MSN
2025-10-01,81.1,82.3,81.1,81.3,3192800,MSN
2025-10-02,81.5,82.1,81.0,81.5,3777300,MSN
2025-10-03,81.2,81.2,79.4,80.0,6475000,MSN
2025-10-06,81.4,83.3,81.0,83.0,8979600,MSN
2025-10-07,83.3,83.4,82.5,82.5,5203300,MSN
2025-10-08,83.7,84.4,82.6,82.6,11323000,MSN
2025-10-09,82.9,84.2,82.7,83.1,7329600,MSN
2025-10-10,83.5,84.2,83.0,84.1,13452100,MSN
2025-10-13,83.6,85.8,83.6,85.0,12632300,MSN
2025-10-14,85.6,85.6,82.5,82.5,12780300,MSN
2025-10-15,83.0,83.7,82.5,82.5,6589100,MSN
2025-10-16,85.0,88.2,84.8,88.2,17212400,MSN
2025-10-17,91.4,94.0,88.0,88.0,32812700,MSN
2025-10-20,87.0,88.8,81.9,81.9,31684600,MSN
2025-10-21,79.9,80.0,76.2,78.0,28573200,MSN
2025-10-22,79.9,80.6,77.4,79.0,13805300,MSN
2025-10-23,79.6,80.0,77.6,78.2,9732300,MSN
2025-10-24,77.9,79.5,75.7,79.3,13522400,MSN
2025-10-27,79.6,79.8,77.4,78.5,7509000,MSN
2025-10-28,78.6,79.0,76.2,79.0,7889400,MSN
2025-10-29,79.1,80.6,78.5,79.2,8381100,MSN
2025-10-30,79.7,80.6,79.3,79.3,6826300,MSN
2025-10-31,79.4,80.8,79.0,79.6,6477800,MSN
