time,open,high,low,close,volume,symbol
2025-06-12,8.5,8.5,8.5,8.5,1000,MTS
2025-06-13,8.5,8.5,8.5,8.5,4200,MTS
2025-06-16,8.6,8.6,8.6,8.6,5200,MTS
2025-06-18,8.6,8.6,8.6,8.6,200,MTS
2025-06-19,8.6,8.6,8.6,8.6,400,MTS
2025-06-23,8.6,8.7,8.6,8.6,2200,MTS
2025-06-24,8.6,8.6,8.6,8.6,1000,MTS
2025-06-25,8.6,8.6,8.6,8.6,4200,MTS
2025-06-26,8.6,8.6,8.6,8.6,15500,MTS
2025-06-27,8.6,8.6,8.6,8.6,5000,MTS
2025-06-30,8.6,8.6,8.6,8.6,500,MTS
2025-07-01,8.6,8.6,8.6,8.6,500,MTS
2025-07-03,8.5,8.5,8.5,8.5,4000,MTS
2025-07-04,8.5,8.5,8.5,8.5,1100,MTS
2025-07-10,8.4,8.4,8.4,8.4,13500,MTS
2025-07-11,8.5,8.5,8.4,8.4,20400,MTS
2025-07-14,8.3,8.3,8.3,8.3,300,MTS
2025-07-18,8.3,8.5,8.3,8.5,9700,MTS
2025-07-21,8.5,8.6,8.5,8.6,5500,MTS
2025-07-24,8.6,8.6,8.6,8.6,2700,MTS
2025-07-25,8.6,8.6,8.6,8.6,15000,MTS
2025-07-31,8.7,8.7,8.6,8.7,9200,MTS
2025-08-04,8.6,8.6,8.6,8.6,8100,MTS
2025-08-05,8.5,8.5,8.4,8.4,16800,MTS
2025-08-06,8.5,8.5,8.5,8.5,700,MTS
2025-08-07,8.5,8.5,8.5,8.5,9800,MTS
2025-08-08,8.5,8.5,8.5,8.5,300,MTS
2025-08-11,8.5,8.6,8.5,8.6,4500,MTS
2025-08-12,8.7,8.7,8.7,8.7,3000,MTS
2025-08-14,8.8,9.5,8.8,9.0,4800,MTS
2025-08-15,9.0,9.0,8.8,8.8,2900,MTS
2025-08-18,9.0,9.5,9.0,9.5,1500,MTS
2025-08-19,9.5,9.5,9.5,9.5,400,MTS
2025-08-26,9.0,9.0,9.0,9.0,2000,MTS
2025-08-27,9.1,9.1,9.0,9.0,12100,MTS
2025-08-28,9.0,9.0,9.0,9.0,600,MTS
2025-09-03,9.0,9.0,9.0,9.0,400,MTS
2025-09-04,9.0,9.0,9.0,9.0,1100,MTS
2025-09-10,9.0,9.0,9.0,9.0,700,MTS
2025-09-11,9.0,9.0,8.8,9.0,9000,MTS
2025-09-15,9.1,9.1,9.1,9.1,1900,MTS
2025-09-16,9.1,9.1,9.1,9.1,1800,MTS
2025-09-19,9.1,9.1,9.0,9.0,1800,MTS
2025-09-22,9.0,9.0,9.0,9.0,3300,MTS
2025-09-26,9.0,9.0,9.0,9.0,4500,MTS
2025-09-30,9.4,9.4,9.4,9.4,100,MTS
2025-10-09,9.2,9.2,9.2,9.2,2900,MTS
2025-10-21,9.2,9.2,9.2,9.2,2800,MTS
2025-10-24,9.2,9.2,9.2,9.2,1200,MTS
2025-10-29,9.2,9.2,9.2,9.2,2800,MTS
