time,open,high,low,close,volume,symbol
2025-08-21,69.4,71.6,69.2,71.0,12495000,MWG
2025-08-22,69.9,70.6,68.4,70.3,10901700,MWG
2025-08-25,70.3,70.6,68.6,68.8,6387100,MWG
2025-08-26,69.0,73.6,68.6,73.6,16810900,MWG
2025-08-27,75.0,76.6,74.6,75.0,12565000,MWG
2025-08-28,75.0,77.3,74.5,77.3,11875600,MWG
2025-08-29,78.0,78.2,76.6,78.0,9402500,MWG
2025-09-03,76.9,77.6,75.7,75.8,8068800,MWG
2025-09-04,76.0,77.5,73.9,77.5,12031500,MWG
2025-09-05,78.0,78.3,75.0,75.0,9769500,MWG
2025-09-08,74.5,76.8,74.0,74.0,13715000,MWG
2025-09-09,74.6,76.0,73.7,76.0,6933700,MWG
2025-09-10,75.6,76.3,74.5,75.5,7770800,MWG
2025-09-11,75.4,79.4,74.0,78.8,18120100,MWG
2025-09-12,78.8,79.4,77.8,79.0,7900100,MWG
2025-09-15,79.0,79.6,78.1,79.5,8395500,MWG
2025-09-16,79.6,81.4,78.9,80.3,8925100,MWG
2025-09-17,79.8,81.1,78.0,78.0,8298600,MWG
2025-09-18,78.0,78.5,76.7,78.5,8718800,MWG
2025-09-19,78.5,78.9,77.4,78.6,4279300,MWG
2025-09-22,77.9,77.9,76.0,76.5,8126100,MWG
2025-09-23,76.8,78.2,76.3,77.8,4466900,MWG
2025-09-24,77.7,79.2,77.1,79.2,4391900,MWG
2025-09-25,78.8,79.0,78.1,79.0,5302400,MWG
2025-09-26,78.3,79.1,77.9,77.9,4081700,MWG
2025-09-29,77.9,77.9,76.6,77.0,6021900,MWG
2025-09-30,76.8,77.8,76.2,77.7,7817600,MWG
2025-10-01,77.5,78.3,77.2,77.7,4989600,MWG
2025-10-02,77.8,78.5,76.9,77.1,4725900,MWG
2025-10-03,77.0,77.4,75.4,77.0,9671700,MWG
2025-10-06,78.4,78.7,77.2,77.6,9452100,MWG
2025-10-07,78.0,79.5,77.5,78.0,7199900,MWG
2025-10-08,79.0,81.3,78.5,80.8,17337700,MWG
2025-10-09,80.8,81.9,80.5,81.5,7782900,MWG
2025-10-10,81.4,82.0,80.6,82.0,7593200,MWG
2025-10-13,81.2,83.0,81.0,83.0,7962500,MWG
2025-10-14,83.9,85.0,82.4,84.2,12093100,MWG
2025-10-15,84.0,84.7,83.0,83.3,5687400,MWG
2025-10-16,83.3,84.8,83.0,84.5,6629400,MWG
2025-10-17,84.8,85.9,83.8,84.5,9880500,MWG
2025-10-20,87.0,87.9,79.8,80.9,14226400,MWG
2025-10-21,82.3,83.0,80.5,83.0,12062300,MWG
2025-10-22,83.0,84.5,81.6,84.5,8203100,MWG
2025-10-23,86.0,86.8,84.6,85.7,9156600,MWG
2025-10-24,85.5,85.9,82.8,85.7,9652900,MWG
2025-10-27,85.7,85.7,81.0,81.0,9884200,MWG
2025-10-28,80.9,84.4,80.4,84.2,8277300,MWG
2025-10-29,83.0,84.4,83.0,84.1,5076100,MWG
2025-10-30,84.2,84.4,83.5,83.9,5652200,MWG
2025-10-31,83.9,84.0,82.0,82.6,6453200,MWG
