time,open,high,low,close,volume,symbol
2025-08-15,17.7,18.85,17.7,18.37,9738,NAV
2025-08-18,19.14,19.14,18.37,18.37,5682,NAV
2025-08-19,19.14,19.14,18.75,18.9,10624,NAV
2025-08-20,19.14,19.14,18.85,18.85,10729,NAV
2025-08-21,18.85,18.94,17.56,17.7,3017,NAV
2025-08-22,17.6,17.7,17.0,17.0,3314,NAV
2025-08-25,16.85,17.5,16.85,17.0,2406,NAV
2025-08-26,17.2,18.15,17.2,18.15,11856,NAV
2025-08-27,18.15,19.3,18.15,18.2,2507,NAV
2025-08-28,18.2,18.2,18.2,18.2,3100,NAV
2025-08-29,18.2,18.5,18.2,18.2,3705,NAV
2025-09-03,18.2,18.2,17.5,18.1,969,NAV
2025-09-04,18.1,18.1,17.0,18.05,18617,NAV
2025-09-05,18.0,18.05,17.95,18.05,4809,NAV
2025-09-08,17.1,17.6,17.1,17.6,6500,NAV
2025-09-09,17.6,17.6,17.35,17.35,6000,NAV
2025-09-10,17.6,18.0,17.6,17.8,10400,NAV
2025-09-11,17.3,17.35,17.3,17.35,3900,NAV
2025-09-12,17.45,17.45,17.45,17.45,100,NAV
2025-09-15,17.6,17.9,17.6,17.9,800,NAV
2025-09-17,18.45,18.5,18.45,18.5,1900,NAV
2025-09-18,17.35,18.1,17.35,18.1,700,NAV
2025-09-19,18.05,18.05,17.55,17.55,300,NAV
2025-09-22,17.55,17.55,17.55,17.55,100,NAV
2025-09-23,18.0,18.0,18.0,18.0,400,NAV
2025-09-24,18.0,18.0,18.0,18.0,400,NAV
2025-09-25,18.25,18.25,18.2,18.2,1400,NAV
2025-09-26,18.2,18.2,18.2,18.2,4000,NAV
2025-09-29,18.2,18.4,18.2,18.4,1400,NAV
2025-09-30,18.4,18.4,18.4,18.4,2700,NAV
2025-10-01,18.6,18.7,18.6,18.7,3100,NAV
2025-10-02,18.7,18.7,18.65,18.65,900,NAV
2025-10-07,18.65,18.65,18.65,18.65,1200,NAV
2025-10-08,18.5,18.5,18.5,18.5,1200,NAV
2025-10-09,17.55,17.55,17.5,17.5,700,NAV
2025-10-10,17.6,17.6,17.5,17.5,4300,NAV
2025-10-13,17.5,17.5,17.5,17.5,5500,NAV
2025-10-14,18.4,18.4,18.3,18.3,700,NAV
2025-10-15,18.3,18.3,17.5,17.5,1500,NAV
2025-10-16,18.35,18.35,18.0,18.35,400,NAV
2025-10-17,18.35,18.35,17.55,17.55,5800,NAV
2025-10-20,17.55,18.25,17.55,18.25,1300,NAV
2025-10-21,18.0,18.0,17.95,17.95,600,NAV
2025-10-22,17.95,17.95,17.95,17.95,200,NAV
2025-10-23,17.9,17.9,17.9,17.9,200,NAV
2025-10-24,18.45,18.45,16.65,17.9,6500,NAV
2025-10-27,17.1,17.85,17.1,17.85,2100,NAV
2025-10-29,17.7,17.7,17.65,17.65,200,NAV
2025-10-30,17.3,17.55,17.3,17.55,3200,NAV
2025-10-31,17.5,17.5,17.2,17.3,1200,NAV
