time,open,high,low,close,volume,symbol
2025-08-21,102.26,102.26,101.33,101.33,7515,NCT
2025-08-22,101.33,101.33,99.48,100.41,24500,NCT
2025-08-25,100.87,101.05,99.57,99.57,5441,NCT
2025-08-26,99.2,99.3,98.83,98.93,27681,NCT
2025-08-27,99.67,99.94,98.37,98.56,26308,NCT
2025-08-28,101.24,101.24,98.74,99.85,14796,NCT
2025-08-29,99.85,99.85,99.48,99.48,1910,NCT
2025-09-03,99.48,99.94,99.02,99.02,12107,NCT
2025-09-04,99.11,99.48,98.74,99.02,24646,NCT
2025-09-05,99.02,99.2,98.93,98.93,11937,NCT
2025-09-08,98.65,99.02,98.18,98.37,10096,NCT
2025-09-09,98.37,98.56,98.37,98.37,3501,NCT
2025-09-10,98.46,98.46,98.09,98.09,11500,NCT
2025-09-11,97.35,97.35,96.15,97.07,16000,NCT
2025-09-12,97.17,98.56,97.17,97.17,21308,NCT
2025-09-15,98.93,98.93,97.63,98.0,7307,NCT
2025-09-16,98.09,98.56,97.81,98.0,13007,NCT
2025-09-17,98.09,98.09,97.63,97.63,10510,NCT
2025-09-18,97.72,97.72,97.44,97.54,11831,NCT
2025-09-19,98.0,98.0,97.07,97.07,9537,NCT
2025-09-22,96.24,96.98,96.24,96.98,16909,NCT
2025-09-23,96.98,97.17,96.98,97.17,3323,NCT
2025-09-24,98.0,98.0,97.07,97.17,3278,NCT
2025-09-25,97.17,97.26,97.17,97.17,2452,NCT
2025-09-26,97.72,99.02,97.54,97.54,5713,NCT
2025-09-29,97.54,97.54,97.44,97.54,6653,NCT
2025-09-30,97.81,98.0,96.43,96.89,8607,NCT
2025-10-01,97.17,97.17,96.24,96.52,14284,NCT
2025-10-02,96.52,96.52,96.24,96.52,7001,NCT
2025-10-03,96.24,97.17,96.24,96.33,8121,NCT
2025-10-06,96.43,97.44,96.43,96.8,7200,NCT
2025-10-07,96.61,96.89,96.61,96.8,12101,NCT
2025-10-08,97.07,98.09,96.89,97.17,6610,NCT
2025-10-09,97.17,98.0,97.17,97.26,10408,NCT
2025-10-10,97.26,97.63,97.26,97.44,5732,NCT
2025-10-13,97.44,97.63,97.17,97.17,31950,NCT
2025-10-14,97.17,98.09,96.98,97.07,11751,NCT
2025-10-15,97.26,97.26,96.98,96.98,12451,NCT
2025-10-16,97.44,97.44,97.17,97.26,1642,NCT
2025-10-17,97.35,98.09,97.35,97.81,12794,NCT
2025-10-20,97.72,99.76,95.78,96.61,14355,NCT
2025-10-21,98.28,99.57,97.72,99.57,48842,NCT
2025-10-22,99.57,99.85,99.2,99.2,3407,NCT
2025-10-23,99.94,102.35,99.94,102.26,61909,NCT
2025-10-24,102.53,102.53,100.87,101.98,19944,NCT
2025-10-27,102.72,102.72,101.79,102.35,16951,NCT
2025-10-28,102.07,102.26,101.15,101.7,21505,NCT
2025-10-29,102.63,102.63,101.79,102.16,19346,NCT
2025-10-30,102.16,102.16,101.52,102.16,6900,NCT
2025-10-31,101.79,102.63,101.61,102.44,33012,NCT
