time,open,high,low,close,volume,symbol
2025-08-21,21.25,21.4,20.5,20.5,2597400,NTL
2025-08-22,20.0,20.35,19.1,19.25,4305600,NTL
2025-08-25,19.3,19.6,18.55,18.65,2348500,NTL
2025-08-26,18.4,19.4,18.4,19.4,1530900,NTL
2025-08-27,19.6,19.9,19.3,19.5,1546200,NTL
2025-08-28,19.5,19.6,19.2,19.35,844400,NTL
2025-08-29,19.45,20.05,19.35,19.4,1885700,NTL
2025-09-03,19.5,20.0,19.45,20.0,1349300,NTL
2025-09-04,20.15,20.7,20.05,20.1,1847200,NTL
2025-09-05,20.2,20.6,19.0,19.0,3021800,NTL
2025-09-08,19.4,19.65,19.05,19.1,2169900,NTL
2025-09-09,19.25,19.55,18.9,19.35,1490900,NTL
2025-09-10,19.35,19.35,18.8,18.85,1154000,NTL
2025-09-11,18.85,18.95,18.05,18.9,1834000,NTL
2025-09-12,19.0,19.3,18.95,19.05,939000,NTL
2025-09-15,19.05,19.3,18.9,19.1,1128900,NTL
2025-09-16,19.15,19.3,18.85,18.85,1233600,NTL
2025-09-17,18.9,19.15,18.45,18.65,997900,NTL
2025-09-18,18.35,18.7,18.0,18.15,2273800,NTL
2025-09-19,18.25,18.65,18.25,18.45,875200,NTL
2025-09-22,18.6,19.05,18.45,18.55,1682900,NTL
2025-09-23,18.55,18.75,18.25,18.25,714100,NTL
2025-09-24,18.15,18.7,18.0,18.7,1096900,NTL
2025-09-25,19.0,19.1,18.6,18.65,1311000,NTL
2025-09-26,18.65,19.0,18.45,18.7,1743400,NTL
2025-09-29,18.9,19.05,18.35,18.45,1097200,NTL
2025-09-30,18.45,18.7,18.0,18.6,1332800,NTL
2025-10-01,18.7,18.75,18.5,18.7,544300,NTL
2025-10-02,18.7,18.75,18.3,18.3,561800,NTL
2025-10-03,18.3,18.45,18.0,18.05,1001400,NTL
2025-10-06,18.1,18.95,18.1,18.8,1075400,NTL
2025-10-07,18.8,18.9,18.55,18.55,802100,NTL
2025-10-08,18.6,19.0,18.35,19.0,1112400,NTL
2025-10-09,19.05,19.3,18.8,18.8,742200,NTL
2025-10-10,19.05,19.1,18.75,18.75,1348400,NTL
2025-10-13,18.65,19.15,18.55,19.0,2200900,NTL
2025-10-14,19.2,19.2,18.45,18.55,1864200,NTL
2025-10-15,18.65,18.9,18.35,18.4,1047700,NTL
2025-10-16,18.4,19.15,18.4,19.0,1566000,NTL
2025-10-17,19.2,20.3,18.95,20.3,6890100,NTL
2025-10-20,20.35,21.5,18.9,18.9,4444900,NTL
2025-10-21,19.5,19.75,18.55,19.3,3345100,NTL
2025-10-22,19.45,19.65,18.45,19.55,2874800,NTL
2025-10-23,19.7,20.3,19.35,19.35,4162000,NTL
2025-10-24,19.25,19.35,18.6,18.7,1903200,NTL
2025-10-27,18.8,18.9,18.0,18.0,3267600,NTL
2025-10-28,17.9,18.1,17.1,18.05,2385300,NTL
2025-10-29,18.9,19.0,18.4,18.5,1523800,NTL
2025-10-30,18.65,18.8,18.35,18.4,858100,NTL
2025-10-31,18.4,18.8,18.3,18.3,908900,NTL
