time,open,high,low,close,volume,symbol
2025-08-21,12.5,12.6,12.1,12.2,1274889,OIL
2025-08-22,12.3,12.3,11.7,11.8,2667922,OIL
2025-08-25,11.9,12.1,11.5,11.7,1348149,OIL
2025-08-26,11.6,11.8,11.4,11.7,1031970,OIL
2025-08-27,11.7,11.8,11.4,11.5,1718519,OIL
2025-08-28,11.5,12.0,11.3,11.9,1603218,OIL
2025-08-29,11.9,12.7,11.9,12.1,2762717,OIL
2025-09-03,12.1,12.6,12.1,12.3,2558427,OIL
2025-09-04,12.3,12.5,12.1,12.3,2468840,OIL
2025-09-05,12.3,12.4,12.0,12.1,1667700,OIL
2025-09-08,12.1,12.1,11.6,11.7,1794100,OIL
2025-09-09,11.6,11.7,11.3,11.6,1358000,OIL
2025-09-10,11.7,11.8,11.5,11.6,1192000,OIL
2025-09-11,11.4,11.6,11.0,11.5,1581400,OIL
2025-09-12,11.6,12.1,11.6,11.9,2061700,OIL
2025-09-15,12.0,12.2,11.7,11.9,1454100,OIL
2025-09-16,10.2,12.0,10.2,11.8,1499300,OIL
2025-09-17,11.8,12.0,11.7,11.8,1008000,OIL
2025-09-18,11.9,11.9,11.5,11.6,840000,OIL
2025-09-19,11.7,11.7,11.5,11.6,757200,OIL
2025-09-22,11.5,11.6,11.3,11.4,722500,OIL
2025-09-23,11.5,11.6,11.4,11.4,224900,OIL
2025-09-24,11.5,11.6,11.4,11.6,757600,OIL
2025-09-25,11.5,11.7,11.4,11.6,604900,OIL
2025-09-26,11.6,11.8,11.3,11.5,1518300,OIL
2025-09-29,11.5,11.5,11.2,11.4,1172600,OIL
2025-09-30,11.3,11.4,10.9,11.2,1310200,OIL
2025-10-01,11.2,11.3,11.1,11.2,198900,OIL
2025-10-02,11.2,11.3,11.0,11.1,469200,OIL
2025-10-03,11.1,11.1,10.9,11.0,474100,OIL
2025-10-06,11.0,11.2,11.0,11.2,683300,OIL
2025-10-07,11.2,11.3,11.0,11.1,424300,OIL
2025-10-08,11.1,11.3,11.0,11.2,601500,OIL
2025-10-09,11.1,11.3,11.0,11.3,1488600,OIL
2025-10-10,11.3,11.4,11.1,11.2,387100,OIL
2025-10-13,11.0,11.1,10.9,11.0,1139600,OIL
2025-10-14,10.9,11.0,10.8,10.9,887300,OIL
2025-10-15,10.8,10.9,10.5,10.7,1049000,OIL
2025-10-16,10.7,10.7,10.5,10.7,441600,OIL
2025-10-17,10.7,10.7,10.4,10.5,721000,OIL
2025-10-20,10.5,10.5,10.0,10.1,1252700,OIL
2025-10-21,10.1,10.3,10.0,10.2,718700,OIL
2025-10-22,10.2,10.4,10.1,10.4,494800,OIL
2025-10-23,10.4,10.7,10.4,10.7,698100,OIL
2025-10-24,10.7,11.1,10.6,10.8,792700,OIL
2025-10-27,11.0,11.0,10.5,10.6,385600,OIL
2025-10-28,10.6,10.7,10.3,10.5,466200,OIL
2025-10-29,10.6,10.7,10.5,10.6,419500,OIL
2025-10-30,10.6,10.7,10.5,10.5,435700,OIL
2025-10-31,10.6,11.1,10.5,10.9,1530600,OIL
