time,open,high,low,close,volume,symbol
2025-08-20,23.11,23.56,22.84,23.56,36908,PCE
2025-08-21,23.74,23.92,23.29,23.56,23076,PCE
2025-08-22,23.56,23.56,22.84,23.11,12504,PCE
2025-08-25,23.29,23.29,21.3,22.84,36253,PCE
2025-08-26,22.84,23.47,22.84,23.02,49844,PCE
2025-08-27,23.11,23.38,22.84,23.2,48345,PCE
2025-08-28,25.0,25.0,21.5,21.6,28300,PCE
2025-08-29,21.6,23.0,19.5,21.0,48951,PCE
2025-09-03,21.0,22.0,20.0,21.9,19321,PCE
2025-09-04,21.0,21.0,20.3,20.6,28501,PCE
2025-09-05,20.6,21.0,20.3,20.6,7300,PCE
2025-09-08,20.3,20.3,20.0,20.1,14700,PCE
2025-09-09,20.0,20.1,20.0,20.1,2000,PCE
2025-09-10,20.3,20.4,20.3,20.3,4627,PCE
2025-09-11,20.3,21.0,20.2,21.0,9900,PCE
2025-09-12,21.0,21.0,20.3,20.9,11000,PCE
2025-09-15,20.7,20.7,20.5,20.5,9000,PCE
2025-09-16,20.4,20.7,20.4,20.4,7900,PCE
2025-09-17,20.5,20.5,20.5,20.5,18000,PCE
2025-09-18,20.5,20.5,20.4,20.4,1700,PCE
2025-09-19,20.4,20.7,20.4,20.4,1400,PCE
2025-09-22,20.5,20.5,20.2,20.2,7000,PCE
2025-09-23,20.4,20.4,19.9,20.0,11500,PCE
2025-09-24,20.0,20.1,20.0,20.0,2000,PCE
2025-09-25,20.0,20.0,20.0,20.0,3100,PCE
2025-09-26,20.1,20.2,20.1,20.2,3400,PCE
2025-09-29,20.4,20.6,20.4,20.5,6500,PCE
2025-09-30,20.4,20.4,20.4,20.4,1200,PCE
2025-10-01,20.6,20.6,20.5,20.5,1000,PCE
2025-10-02,20.5,20.5,20.1,20.1,1300,PCE
2025-10-03,20.1,20.1,20.0,20.1,5100,PCE
2025-10-06,20.2,20.8,20.1,20.8,1000,PCE
2025-10-07,20.1,20.2,20.1,20.2,1100,PCE
2025-10-08,20.2,20.6,20.1,20.1,9700,PCE
2025-10-09,20.5,20.5,20.2,20.2,5900,PCE
2025-10-10,20.1,20.5,20.1,20.5,2400,PCE
2025-10-13,20.5,20.5,20.5,20.5,1200,PCE
2025-10-14,20.2,20.2,20.0,20.1,4900,PCE
2025-10-15,20.1,20.1,20.1,20.1,2500,PCE
2025-10-16,20.1,20.1,20.1,20.1,2300,PCE
2025-10-17,20.3,20.3,20.0,20.0,3500,PCE
2025-10-20,20.5,20.5,20.0,20.0,3800,PCE
2025-10-21,19.8,20.0,19.8,20.0,300,PCE
2025-10-22,20.0,20.0,19.5,19.8,7900,PCE
2025-10-23,19.8,19.8,19.4,19.4,4800,PCE
2025-10-27,19.7,19.8,19.7,19.8,800,PCE
2025-10-28,19.8,19.8,19.7,19.8,800,PCE
2025-10-29,19.0,19.8,19.0,19.8,200,PCE
2025-10-30,19.8,19.8,19.8,19.8,100,PCE
2025-10-31,19.8,19.8,19.6,19.6,2400,PCE
