time,open,high,low,close,volume,symbol
2025-05-15,26.7,26.7,26.7,26.7,4903,PJC
2025-05-16,26.7,26.7,26.7,26.7,0,PJC
2025-05-19,26.7,26.7,26.7,26.7,0,PJC
2025-05-20,26.7,26.7,26.0,26.1,800,PJC
2025-05-21,28.0,28.0,26.1,26.1,200,PJC
2025-05-22,26.1,26.1,26.1,26.1,13,PJC
2025-05-23,26.1,26.1,26.1,26.1,1,PJC
2025-05-26,27.8,28.0,27.8,28.0,2463,PJC
2025-05-27,28.0,28.0,27.9,27.9,453,PJC
2025-05-28,27.9,28.1,26.2,26.2,5000,PJC
2025-05-29,26.2,26.2,26.2,26.2,0,PJC
2025-05-30,27.0,27.0,27.0,27.0,400,PJC
2025-06-02,25.7,25.7,25.0,25.0,7900,PJC
2025-06-04,27.5,27.5,27.5,27.5,100,PJC
2025-06-05,28.1,28.5,28.1,28.5,400,PJC
2025-06-12,28.0,28.0,28.0,28.0,100,PJC
2025-07-01,28.9,28.9,28.9,28.9,3000,PJC
2025-07-14,26.5,26.5,26.5,26.5,300,PJC
2025-07-22,28.0,28.0,28.0,28.0,100,PJC
2025-07-24,28.0,28.0,28.0,28.0,1300,PJC
2025-07-25,28.0,28.0,28.0,28.0,100,PJC
2025-07-28,28.0,28.0,28.0,28.0,100,PJC
2025-08-04,28.0,28.0,28.0,28.0,700,PJC
2025-08-07,28.9,29.4,27.1,27.1,2200,PJC
2025-08-08,24.6,29.8,24.6,29.8,1400,PJC
2025-08-11,29.8,29.8,27.2,27.2,200,PJC
2025-08-13,25.2,25.2,25.2,25.2,100,PJC
2025-08-14,27.7,27.7,27.7,27.7,1400,PJC
2025-08-15,26.1,26.1,26.1,26.1,100,PJC
2025-08-18,28.7,28.7,26.2,26.2,2600,PJC
2025-08-19,24.2,24.2,24.2,24.2,100,PJC
2025-08-20,26.6,26.6,26.6,26.6,200,PJC
2025-08-25,26.7,29.1,26.6,26.6,2000,PJC
2025-08-26,24.0,24.0,24.0,24.0,100,PJC
2025-08-27,26.4,26.4,26.4,26.4,100,PJC
2025-08-29,26.0,29.0,26.0,26.1,1100,PJC
2025-09-16,26.0,26.0,26.0,26.0,700,PJC
2025-09-22,26.0,26.0,26.0,26.0,2900,PJC
2025-09-25,24.3,24.3,24.3,24.3,100,PJC
2025-09-26,26.7,26.7,26.7,26.7,200,PJC
2025-09-29,24.7,24.7,24.7,24.7,100,PJC
2025-09-30,27.1,27.1,24.9,27.1,800,PJC
2025-10-01,25.1,29.0,25.1,25.5,1600,PJC
2025-10-02,28.0,28.0,26.1,26.3,1300,PJC
2025-10-13,26.4,26.4,26.4,26.4,400,PJC
2025-10-14,28.5,28.5,25.3,25.3,600,PJC
2025-10-15,27.8,27.8,27.8,27.8,100,PJC
2025-10-16,25.3,25.3,25.2,25.2,600,PJC
2025-10-20,27.7,27.7,23.8,27.4,700,PJC
2025-10-31,29.3,29.3,29.3,29.3,600,PJC
