time,open,high,low,close,volume,symbol
2025-08-21,37.0,37.4,36.7,36.9,2486700,PLX
2025-08-22,36.7,36.85,35.85,35.95,3927900,PLX
2025-08-25,36.1,36.5,35.75,35.85,2063900,PLX
2025-08-26,36.0,36.4,35.9,36.35,1245400,PLX
2025-08-27,36.35,36.85,36.15,36.4,1392400,PLX
2025-08-28,36.45,36.8,36.1,36.15,1883600,PLX
2025-08-29,36.5,36.5,36.05,36.1,1694600,PLX
2025-09-03,36.4,36.95,36.3,36.55,1410600,PLX
2025-09-04,36.6,37.0,36.5,36.65,1443500,PLX
2025-09-05,36.8,37.2,36.6,36.6,2740600,PLX
2025-09-08,36.5,36.6,35.5,35.5,3117400,PLX
2025-09-09,35.55,35.7,35.15,35.45,1657600,PLX
2025-09-10,35.6,35.85,35.25,35.4,951800,PLX
2025-09-11,35.6,35.7,34.85,35.35,2030600,PLX
2025-09-12,35.4,36.0,35.25,35.6,1759700,PLX
2025-09-15,36.0,36.05,35.6,35.75,1254400,PLX
2025-09-16,36.0,36.3,35.8,35.95,2344000,PLX
2025-09-17,36.15,36.65,36.0,36.1,1910400,PLX
2025-09-18,36.1,36.15,35.55,35.6,1609700,PLX
2025-09-19,35.55,35.75,35.3,35.35,2152000,PLX
2025-09-22,35.4,35.55,34.85,34.85,1866700,PLX
2025-09-23,35.0,35.2,34.75,34.75,1169300,PLX
2025-09-24,34.8,35.05,34.6,35.0,1194300,PLX
2025-09-25,35.15,35.3,35.05,35.05,1032600,PLX
2025-09-26,35.3,35.3,34.8,34.8,804600,PLX
2025-09-29,35.2,35.3,34.65,34.75,1020300,PLX
2025-09-30,34.75,34.8,34.0,34.2,1610600,PLX
2025-10-01,34.2,34.45,34.15,34.15,696000,PLX
2025-10-02,34.15,34.35,34.0,34.0,1039500,PLX
2025-10-03,34.15,34.15,33.3,33.45,2004500,PLX
2025-10-06,34.0,34.15,33.7,34.15,921500,PLX
2025-10-07,34.3,34.35,33.9,33.9,891600,PLX
2025-10-08,34.3,34.4,33.9,33.95,1039400,PLX
2025-10-09,34.0,34.4,33.85,34.1,1216800,PLX
2025-10-10,34.15,34.25,33.95,34.05,1171100,PLX
2025-10-13,33.7,34.05,33.55,34.05,1238600,PLX
2025-10-14,34.05,34.3,33.5,33.6,1916500,PLX
2025-10-15,33.6,33.9,33.55,33.7,1660100,PLX
2025-10-16,33.7,33.9,33.4,33.7,1735700,PLX
2025-10-17,33.7,33.75,33.45,33.55,1940900,PLX
2025-10-20,33.5,33.5,32.5,32.7,2222300,PLX
2025-10-21,32.8,33.5,32.8,33.35,1522900,PLX
2025-10-22,33.5,34.5,33.4,34.25,2047700,PLX
2025-10-23,34.6,34.95,34.25,34.25,1270200,PLX
2025-10-24,34.8,34.85,34.25,34.3,1108600,PLX
2025-10-27,34.8,34.8,34.15,34.15,776900,PLX
2025-10-28,34.15,34.3,33.85,34.05,641700,PLX
2025-10-29,34.1,34.5,34.0,34.5,1345200,PLX
2025-10-30,34.6,34.8,34.4,34.55,793900,PLX
2025-10-31,34.55,35.5,34.55,34.55,2937600,PLX
