time,open,high,low,close,volume,symbol
2024-11-08,2.8,2.8,2.6,2.7,329700,POM
2024-11-15,2.7,2.7,2.5,2.6,639200,POM
2024-11-22,2.5,2.6,2.3,2.5,1221100,POM
2024-11-29,2.4,2.5,2.3,2.5,1002900,POM
2024-12-06,2.4,2.5,2.3,2.4,1030200,POM
2024-12-13,2.4,2.4,2.3,2.4,592800,POM
2024-12-20,2.3,2.3,2.0,2.2,1755200,POM
2024-12-27,2.1,2.3,2.1,2.2,714200,POM
2025-01-03,2.3,2.3,2.1,2.2,439600,POM
2025-01-10,2.2,2.3,2.1,2.1,648300,POM
2025-01-17,2.2,2.3,2.1,2.2,1501300,POM
2025-01-24,2.3,2.3,2.0,2.2,1176800,POM
2025-02-07,2.1,2.2,2.0,2.2,1006700,POM
2025-02-14,2.1,2.2,2.1,2.1,539600,POM
2025-02-21,2.1,2.2,2.1,2.1,1161600,POM
2025-02-28,2.2,2.4,2.1,2.4,3928100,POM
2025-03-07,2.4,2.4,2.1,2.2,1844300,POM
2025-03-14,2.2,2.2,2.0,2.1,906400,POM
2025-03-21,2.0,2.1,2.0,2.1,731400,POM
2025-03-28,2.1,2.1,1.9,2.0,604000,POM
2025-04-04,1.7,1.8,1.7,1.7,1991200,POM
2025-04-11,1.9,1.9,1.5,1.6,2131300,POM
2025-04-18,1.6,1.6,1.4,1.5,1481100,POM
2025-04-25,1.4,1.6,1.4,1.5,771000,POM
2025-05-09,1.4,1.5,1.4,1.5,577600,POM
2025-05-16,1.4,1.6,1.4,1.6,1709900,POM
2025-05-23,1.5,1.5,1.4,1.5,651100,POM
2025-05-30,1.5,1.6,1.4,1.4,951800,POM
2025-06-06,1.5,1.6,1.4,1.6,1107200,POM
2025-06-13,1.5,1.6,1.4,1.6,887000,POM
2025-06-20,1.6,1.7,1.5,1.6,1763800,POM
2025-06-27,1.6,1.7,1.5,1.6,1488000,POM
2025-07-04,1.5,1.6,1.5,1.6,564800,POM
2025-07-11,1.5,1.7,1.5,1.7,3895100,POM
2025-07-18,1.8,1.9,1.7,1.9,1630900,POM
2025-07-25,2.1,2.1,2.0,2.1,1903600,POM
2025-08-01,2.2,2.4,2.2,2.3,4374500,POM
2025-08-08,2.4,2.6,2.4,2.6,3550200,POM
2025-08-15,2.7,2.8,2.3,2.4,3846700,POM
2025-08-22,2.4,2.4,2.2,2.2,2430600,POM
2025-08-29,2.2,2.3,1.9,2.1,1216400,POM
2025-09-05,2.0,2.3,2.0,2.3,1651400,POM
2025-09-12,2.1,2.4,2.1,2.3,574700,POM
2025-09-19,2.2,2.3,1.9,2.0,2273100,POM
2025-09-26,2.0,2.0,1.8,1.9,1237600,POM
2025-10-03,1.8,1.9,1.7,1.7,732200,POM
2025-10-10,1.8,2.0,1.8,2.0,1403400,POM
2025-10-17,2.0,2.1,1.9,2.0,563300,POM
2025-10-24,2.1,2.1,1.9,2.0,767800,POM
2025-10-31,2.1,2.1,1.8,2.0,1344400,POM
