time,open,high,low,close,volume,symbol
2025-08-07,7.7,7.7,7.7,7.7,6000,POV
2025-08-08,7.7,7.7,7.7,7.7,800,POV
2025-08-11,7.7,7.7,7.7,7.7,25,POV
2025-08-12,7.7,7.79,7.7,7.79,2000,POV
2025-08-13,7.79,7.79,7.79,7.79,14124,POV
2025-08-14,7.89,7.89,7.89,7.89,360,POV
2025-08-15,7.89,7.89,7.89,7.89,5,POV
2025-08-18,7.7,7.7,7.6,7.6,2648,POV
2025-08-19,7.89,7.89,7.89,7.89,1309,POV
2025-08-20,7.89,7.89,7.89,7.89,500,POV
2025-08-21,7.99,7.99,7.99,7.99,100,POV
2025-08-22,7.99,7.99,7.99,7.99,141,POV
2025-08-25,7.99,7.99,7.99,7.99,20,POV
2025-08-26,7.99,7.99,7.99,7.99,10,POV
2025-08-27,7.99,7.99,7.99,7.99,0,POV
2025-08-28,7.99,7.99,7.99,7.99,41,POV
2025-08-29,7.99,7.99,7.99,7.99,0,POV
2025-09-03,7.99,7.99,7.99,7.99,1,POV
2025-09-04,7.41,7.7,7.41,7.7,2600,POV
2025-09-05,7.6,7.6,7.31,7.41,5600,POV
2025-09-08,7.41,7.41,7.41,7.41,500,POV
2025-09-09,7.7,7.7,7.7,7.7,300,POV
2025-09-10,7.79,7.79,7.79,7.79,300,POV
2025-09-11,7.79,7.79,7.79,7.79,0,POV
2025-09-12,7.22,7.7,7.22,7.7,900,POV
2025-09-15,7.7,8.08,7.7,7.89,501,POV
2025-09-16,7.99,7.99,7.99,7.99,0,POV
2025-09-17,7.99,7.99,7.99,7.99,17,POV
2025-09-18,7.51,7.79,7.51,7.7,10000,POV
2025-09-19,7.6,7.6,7.6,7.6,2500,POV
2025-09-22,7.6,7.79,7.6,7.79,1106,POV
2025-09-23,7.79,7.79,7.79,7.79,403,POV
2025-09-24,7.41,7.7,7.41,7.7,20000,POV
2025-09-25,7.7,7.7,7.7,7.7,1860,POV
2025-09-26,7.7,7.7,7.7,7.7,2,POV
2025-09-29,7.9,7.9,7.9,7.9,100,POV
2025-09-30,7.9,7.9,7.9,7.9,100,POV
2025-10-01,7.9,7.9,7.9,7.9,0,POV
2025-10-02,7.9,7.9,7.9,7.9,0,POV
2025-10-03,7.9,7.9,7.9,7.9,0,POV
2025-10-06,7.9,7.9,7.9,7.9,151,POV
2025-10-07,7.9,7.9,7.9,7.9,6,POV
2025-10-09,7.7,7.7,7.7,7.7,100,POV
2025-10-13,7.9,7.9,7.9,7.9,500,POV
2025-10-15,7.9,7.9,7.9,7.9,1200,POV
2025-10-24,7.8,7.8,7.8,7.8,2500,POV
2025-10-28,7.6,7.6,7.0,7.1,2700,POV
2025-10-29,7.8,7.8,7.6,7.8,1500,POV
2025-10-30,7.8,7.8,7.6,7.6,1300,POV
2025-10-31,7.8,7.8,7.8,7.8,2300,POV
