time,open,high,low,close,volume,symbol
2025-08-21,16.15,16.5,15.85,16.1,13612700,POW
2025-08-22,15.95,17.0,15.6,16.5,32099900,POW
2025-08-25,16.7,16.7,15.55,15.9,12171400,POW
2025-08-26,15.7,16.15,15.6,16.15,12638000,POW
2025-08-27,16.2,16.85,15.85,16.4,22258500,POW
2025-08-28,16.5,16.6,16.25,16.45,10978000,POW
2025-08-29,16.6,16.85,16.35,16.45,13998300,POW
2025-09-03,16.6,16.8,16.4,16.55,8962600,POW
2025-09-04,16.8,17.45,16.65,16.75,26151100,POW
2025-09-05,16.9,17.05,16.15,16.15,16827800,POW
2025-09-08,16.2,16.3,15.2,15.2,21941300,POW
2025-09-09,15.35,15.55,14.95,15.2,12456900,POW
2025-09-10,15.25,15.25,15.0,15.1,6136700,POW
2025-09-11,15.05,15.25,14.7,15.15,9929600,POW
2025-09-12,15.3,15.55,15.2,15.45,16847400,POW
2025-09-15,15.5,15.75,15.4,15.65,26475400,POW
2025-09-16,15.75,15.85,15.3,15.45,18703900,POW
2025-09-17,15.45,15.55,15.2,15.25,9472900,POW
2025-09-18,15.35,15.45,15.15,15.35,6208500,POW
2025-09-19,15.4,15.75,15.25,15.3,12810800,POW
2025-09-22,15.3,15.35,14.9,15.05,11592900,POW
2025-09-23,15.1,15.2,14.95,14.95,5778200,POW
2025-09-24,15.05,15.1,14.75,15.1,7221500,POW
2025-09-25,15.2,15.4,15.15,15.2,7909100,POW
2025-09-26,15.25,15.3,14.95,14.95,8998500,POW
2025-09-29,15.0,15.1,14.7,14.75,6885100,POW
2025-09-30,14.8,14.9,14.25,14.35,11431900,POW
2025-10-01,14.4,14.55,14.35,14.4,5112300,POW
2025-10-02,14.45,14.55,14.2,14.2,4621000,POW
2025-10-03,14.25,14.25,13.95,14.05,7181300,POW
2025-10-06,14.1,14.45,14.1,14.45,5924100,POW
2025-10-07,14.65,14.65,14.3,14.3,5732300,POW
2025-10-08,14.5,14.55,14.25,14.35,5082900,POW
2025-10-09,14.4,14.6,14.2,14.6,6528500,POW
2025-10-10,14.7,14.7,14.55,14.6,5419000,POW
2025-10-13,14.4,14.45,14.2,14.35,6032900,POW
2025-10-14,14.45,14.65,14.3,14.35,7384000,POW
2025-10-15,14.5,14.55,14.25,14.3,6032300,POW
2025-10-16,14.3,14.45,14.25,14.35,6417600,POW
2025-10-17,14.4,14.5,14.15,14.15,7242900,POW
2025-10-20,14.15,14.25,13.2,13.2,14891800,POW
2025-10-21,13.15,13.4,12.9,13.35,10150100,POW
2025-10-22,13.5,13.65,13.35,13.55,5135900,POW
2025-10-23,13.6,13.65,13.45,13.55,3036300,POW
2025-10-24,13.55,13.6,13.15,13.4,6220200,POW
2025-10-27,13.45,13.85,13.45,13.85,8312700,POW
2025-10-28,13.9,13.9,13.5,13.85,4519700,POW
2025-10-29,13.9,14.4,13.8,14.3,11214600,POW
2025-10-30,14.35,14.35,14.0,14.2,4839800,POW
2025-10-31,14.35,14.65,14.35,14.35,10117100,POW
