time,open,high,low,close,volume,symbol
2025-08-21,13.7,14.0,13.7,14.0,193300,PPT
2025-08-22,14.0,14.0,13.7,13.8,189200,PPT
2025-08-25,13.8,13.9,13.8,13.9,180000,PPT
2025-08-26,13.9,14.1,13.8,14.1,222700,PPT
2025-08-27,14.1,14.3,14.0,14.3,322500,PPT
2025-08-28,14.3,14.6,14.3,14.4,225100,PPT
2025-08-29,14.4,14.5,14.0,14.2,164600,PPT
2025-09-03,14.2,14.3,14.0,14.2,287300,PPT
2025-09-04,14.2,14.3,13.9,14.1,158900,PPT
2025-09-05,14.1,14.2,13.9,14.1,302500,PPT
2025-09-08,14.0,14.1,13.9,14.1,176600,PPT
2025-09-09,14.1,14.2,14.0,14.1,252100,PPT
2025-09-10,14.0,14.3,14.0,14.0,250500,PPT
2025-09-11,14.0,14.3,14.0,14.1,162900,PPT
2025-09-12,14.1,14.2,14.0,14.2,205900,PPT
2025-09-15,14.2,14.3,14.0,14.2,228200,PPT
2025-09-16,14.2,14.3,14.1,14.2,250600,PPT
2025-09-17,14.1,14.2,14.1,14.2,197600,PPT
2025-09-18,14.1,14.5,14.1,14.3,194600,PPT
2025-09-19,14.3,14.4,14.1,14.3,180200,PPT
2025-09-22,14.3,14.4,14.0,14.2,327000,PPT
2025-09-23,14.2,14.3,14.0,14.3,193100,PPT
2025-09-24,14.2,14.3,14.0,14.1,221700,PPT
2025-09-25,14.1,14.2,13.9,14.0,217800,PPT
2025-09-26,14.0,14.1,13.7,13.9,129700,PPT
2025-09-29,13.9,14.0,13.6,13.7,159900,PPT
2025-09-30,13.7,13.7,13.5,13.6,146400,PPT
2025-10-01,13.6,13.7,13.4,13.5,176400,PPT
2025-10-02,13.5,13.6,13.2,13.4,127500,PPT
2025-10-03,13.4,13.5,13.2,13.4,135600,PPT
2025-10-06,13.4,13.7,13.4,13.7,283300,PPT
2025-10-07,13.6,13.8,13.6,13.7,248600,PPT
2025-10-08,13.7,13.8,13.7,13.8,234700,PPT
2025-10-09,13.8,13.9,13.7,13.8,216400,PPT
2025-10-10,13.7,13.8,13.6,13.8,209900,PPT
2025-10-13,13.7,13.9,13.7,13.7,263500,PPT
2025-10-14,13.7,13.8,13.6,13.7,315100,PPT
2025-10-15,13.7,13.7,13.6,13.7,310200,PPT
2025-10-16,13.7,13.7,13.6,13.6,205100,PPT
2025-10-17,13.7,13.7,13.5,13.6,179800,PPT
2025-10-20,13.6,13.8,13.6,13.8,208000,PPT
2025-10-21,13.8,13.9,13.7,13.9,253600,PPT
2025-10-22,13.9,14.0,13.9,14.0,277800,PPT
2025-10-23,13.9,14.0,13.8,14.0,208200,PPT
2025-10-24,14.0,14.2,14.0,14.2,216800,PPT
2025-10-27,14.2,14.5,14.1,14.4,296700,PPT
2025-10-28,14.3,14.7,14.2,14.7,308700,PPT
2025-10-29,14.6,14.7,14.2,14.7,184500,PPT
2025-10-30,14.7,14.8,14.5,14.7,349100,PPT
2025-10-31,14.7,15.0,14.7,15.0,139200,PPT
