time,open,high,low,close,volume,symbol
2025-06-24,9.0,9.0,9.0,9.0,600,PPY
2025-06-25,9.0,9.0,9.0,9.0,100,PPY
2025-06-27,9.1,9.1,9.1,9.1,100,PPY
2025-07-02,9.3,9.3,9.3,9.3,300,PPY
2025-07-08,9.2,9.2,9.2,9.2,200,PPY
2025-07-10,9.2,9.2,9.2,9.2,100,PPY
2025-07-14,9.3,9.4,9.3,9.4,2000,PPY
2025-07-16,9.0,9.0,9.0,9.0,2400,PPY
2025-07-17,8.9,8.9,8.9,8.9,3500,PPY
2025-07-18,8.9,8.9,8.9,8.9,500,PPY
2025-07-21,8.8,8.8,8.8,8.8,3100,PPY
2025-07-22,8.3,9.0,8.3,9.0,200,PPY
2025-07-23,9.1,9.1,8.7,8.7,800,PPY
2025-07-25,8.0,9.3,8.0,9.3,300,PPY
2025-07-28,9.3,9.3,9.3,9.3,500,PPY
2025-07-31,8.8,8.9,8.7,8.9,1600,PPY
2025-08-01,9.0,9.0,9.0,9.0,100,PPY
2025-08-05,9.1,9.1,9.0,9.0,2300,PPY
2025-08-06,8.9,8.9,8.9,8.9,5000,PPY
2025-08-07,9.0,9.0,9.0,9.0,1000,PPY
2025-08-08,9.0,9.0,8.9,9.0,2400,PPY
2025-08-11,8.9,8.9,8.9,8.9,100,PPY
2025-08-13,8.7,9.0,8.7,9.0,800,PPY
2025-08-14,9.0,9.0,9.0,9.0,200,PPY
2025-08-18,9.2,9.2,9.2,9.2,100,PPY
2025-08-21,9.2,9.2,9.2,9.2,500,PPY
2025-08-22,9.2,9.2,9.2,9.2,200,PPY
2025-08-26,9.2,9.2,9.1,9.1,300,PPY
2025-08-28,8.8,8.8,8.8,8.8,2000,PPY
2025-09-03,9.0,9.0,9.0,9.0,200,PPY
2025-09-05,9.0,9.2,9.0,9.1,2500,PPY
2025-09-09,8.9,8.9,8.8,8.8,2700,PPY
2025-09-10,8.8,8.8,8.8,8.8,1300,PPY
2025-09-15,8.8,8.8,8.8,8.8,10000,PPY
2025-09-16,8.8,8.8,8.8,8.8,1000,PPY
2025-09-17,8.7,8.7,8.7,8.7,100,PPY
2025-09-19,8.7,9.0,8.7,9.0,3300,PPY
2025-09-26,8.7,8.7,8.7,8.7,1000,PPY
2025-09-30,9.0,9.0,9.0,9.0,100,PPY
2025-10-07,8.9,8.9,8.9,8.9,100,PPY
2025-10-08,8.9,8.9,8.9,8.9,100,PPY
2025-10-17,8.4,8.5,8.4,8.5,1100,PPY
2025-10-20,9.2,9.2,9.2,9.2,100,PPY
2025-10-21,9.2,9.2,9.2,9.2,100,PPY
2025-10-24,8.8,9.1,8.6,9.1,700,PPY
2025-10-27,9.1,9.1,9.1,9.1,5000,PPY
2025-10-28,9.0,9.0,9.0,9.0,5000,PPY
2025-10-29,8.9,8.9,8.9,8.9,15100,PPY
2025-10-30,8.8,8.9,8.7,8.9,7100,PPY
2025-10-31,9.0,9.0,8.9,9.0,5100,PPY
