time,open,high,low,close,volume,symbol
2025-08-20,11.27,11.27,11.18,11.18,14700,PSE
2025-08-21,11.18,11.27,11.18,11.27,4401,PSE
2025-08-22,11.18,11.27,10.9,10.99,40300,PSE
2025-08-25,11.08,11.18,10.99,10.99,2301,PSE
2025-08-26,10.99,10.99,10.99,10.99,200,PSE
2025-08-27,10.99,11.08,10.99,11.08,2100,PSE
2025-08-28,11.08,11.08,11.08,11.08,0,PSE
2025-08-29,11.08,11.08,11.08,11.08,6300,PSE
2025-09-03,11.08,11.08,11.08,11.08,10004,PSE
2025-09-04,11.08,11.18,11.08,11.18,1002,PSE
2025-09-05,11.18,11.27,11.18,11.27,7500,PSE
2025-09-08,11.27,11.36,11.18,11.18,26700,PSE
2025-09-09,11.18,11.18,11.18,11.18,9700,PSE
2025-09-10,11.27,11.27,11.18,11.27,19800,PSE
2025-09-11,11.36,11.55,11.27,11.55,21407,PSE
2025-09-12,11.55,11.73,11.27,11.55,26800,PSE
2025-09-15,11.55,11.82,11.55,11.82,49813,PSE
2025-09-16,11.92,12.1,11.82,11.82,52613,PSE
2025-09-17,12.01,12.01,11.82,11.92,101900,PSE
2025-09-18,11.82,12.1,11.55,12.1,46000,PSE
2025-09-19,12.1,12.1,11.4,11.4,15600,PSE
2025-09-22,11.4,11.4,10.9,11.4,54231,PSE
2025-09-23,11.0,11.2,11.0,11.2,2300,PSE
2025-09-24,11.0,11.1,10.9,11.0,1100,PSE
2025-09-25,11.1,11.1,10.9,11.0,5400,PSE
2025-09-26,10.9,11.0,10.9,10.9,14800,PSE
2025-09-29,10.9,10.9,10.8,10.8,5500,PSE
2025-09-30,10.8,10.9,10.8,10.9,500,PSE
2025-10-01,10.9,11.0,10.9,11.0,2005,PSE
2025-10-02,10.9,10.9,10.9,10.9,100,PSE
2025-10-03,10.9,10.9,10.8,10.9,1700,PSE
2025-10-06,10.9,11.0,10.9,10.9,8800,PSE
2025-10-07,10.9,10.9,10.9,10.9,100,PSE
2025-10-08,11.0,11.0,10.9,10.9,1700,PSE
2025-10-09,11.0,11.0,10.9,10.9,3200,PSE
2025-10-10,10.9,11.0,10.9,11.0,2600,PSE
2025-10-13,11.0,11.0,10.8,11.0,1000,PSE
2025-10-14,11.0,11.0,10.9,11.0,3200,PSE
2025-10-15,10.9,10.9,10.9,10.9,1900,PSE
2025-10-16,10.8,10.8,10.8,10.8,1600,PSE
2025-10-17,10.8,10.8,10.7,10.7,5000,PSE
2025-10-20,10.7,10.7,10.5,10.5,8700,PSE
2025-10-21,10.6,10.6,10.5,10.6,4100,PSE
2025-10-22,10.5,10.6,10.4,10.6,2300,PSE
2025-10-23,10.6,10.6,10.6,10.6,600,PSE
2025-10-27,10.4,10.6,10.4,10.5,1700,PSE
2025-10-28,10.4,10.6,10.4,10.6,1700,PSE
2025-10-29,10.6,10.6,10.6,10.6,400,PSE
2025-10-30,10.6,10.6,10.4,10.4,15100,PSE
2025-10-31,10.5,10.5,10.5,10.5,700,PSE
