time,open,high,low,close,volume,symbol
2025-08-21,9.19,9.19,9.01,9.01,47200,PSW
2025-08-22,9.1,9.1,8.82,9.01,50240,PSW
2025-08-25,8.91,9.19,8.82,9.01,40717,PSW
2025-08-26,9.01,9.1,8.91,8.91,14500,PSW
2025-08-27,9.01,9.1,9.01,9.01,18744,PSW
2025-08-28,9.1,9.19,9.01,9.1,43900,PSW
2025-08-29,9.1,9.1,8.82,9.1,62100,PSW
2025-09-03,9.1,9.1,8.91,9.1,70694,PSW
2025-09-04,9.4,9.4,8.9,9.0,45450,PSW
2025-09-05,9.0,9.0,8.6,8.8,90710,PSW
2025-09-08,8.7,8.8,8.5,8.6,59100,PSW
2025-09-09,8.8,8.8,8.4,8.5,22106,PSW
2025-09-10,8.5,8.6,8.4,8.6,25100,PSW
2025-09-11,8.6,8.7,8.5,8.6,11137,PSW
2025-09-12,8.6,8.7,8.4,8.6,29120,PSW
2025-09-15,8.6,8.7,8.5,8.6,49300,PSW
2025-09-16,8.6,8.7,8.5,8.7,18406,PSW
2025-09-17,8.7,8.7,8.6,8.6,22700,PSW
2025-09-18,8.5,8.6,8.5,8.6,8700,PSW
2025-09-19,8.6,8.6,8.6,8.6,33600,PSW
2025-09-22,8.6,8.7,8.4,8.6,42000,PSW
2025-09-23,8.5,8.6,8.5,8.6,7500,PSW
2025-09-24,8.6,8.6,8.5,8.6,4700,PSW
2025-09-25,8.5,8.6,8.5,8.6,6500,PSW
2025-09-26,8.6,8.6,8.5,8.6,9200,PSW
2025-09-29,8.6,8.7,8.4,8.6,12000,PSW
2025-09-30,8.6,8.6,8.5,8.6,5700,PSW
2025-10-01,8.6,8.6,8.5,8.6,1400,PSW
2025-10-02,8.5,8.6,8.5,8.6,22100,PSW
2025-10-03,8.6,8.6,8.5,8.5,7500,PSW
2025-10-06,8.6,8.6,8.5,8.6,6500,PSW
2025-10-07,8.6,8.6,8.4,8.6,16100,PSW
2025-10-08,8.6,8.6,8.6,8.6,7400,PSW
2025-10-09,8.6,8.6,8.5,8.6,15700,PSW
2025-10-10,8.6,8.6,8.4,8.6,20100,PSW
2025-10-13,8.5,8.6,8.4,8.6,13000,PSW
2025-10-14,8.5,8.6,8.4,8.5,26700,PSW
2025-10-15,8.4,8.5,8.3,8.5,31600,PSW
2025-10-16,8.4,8.5,8.4,8.5,27400,PSW
2025-10-17,8.4,8.5,8.2,8.4,35100,PSW
2025-10-20,8.3,8.3,7.6,7.6,148700,PSW
2025-10-21,7.7,7.8,7.6,7.7,21100,PSW
2025-10-22,7.7,7.8,7.7,7.8,17400,PSW
2025-10-23,7.8,7.8,7.6,7.7,13400,PSW
2025-10-24,7.7,7.7,7.5,7.7,21200,PSW
2025-10-27,7.6,7.6,7.5,7.6,34700,PSW
2025-10-28,7.5,7.6,7.5,7.6,20800,PSW
2025-10-29,7.6,7.6,7.5,7.6,4000,PSW
2025-10-30,7.6,7.6,7.5,7.6,11400,PSW
2025-10-31,7.5,7.6,7.5,7.6,14600,PSW
