time,open,high,low,close,volume,symbol
2025-08-21,7.59,7.69,7.59,7.6,34200,PTC
2025-08-22,7.57,7.6,7.56,7.59,52500,PTC
2025-08-25,7.55,7.59,7.55,7.56,87600,PTC
2025-08-26,7.67,7.7,7.63,7.63,18300,PTC
2025-08-27,7.63,7.63,7.63,7.63,70700,PTC
2025-08-28,7.64,7.68,7.63,7.66,21900,PTC
2025-08-29,7.69,7.7,7.62,7.62,19300,PTC
2025-09-03,7.6,7.68,7.6,7.61,62800,PTC
2025-09-04,7.6,7.65,7.55,7.62,45000,PTC
2025-09-05,7.6,8.15,7.6,8.15,571800,PTC
2025-09-08,8.16,8.6,8.0,8.0,42500,PTC
2025-09-09,7.95,7.97,7.44,7.52,140100,PTC
2025-09-10,7.52,7.7,7.52,7.63,18800,PTC
2025-09-11,7.62,8.16,7.6,8.16,204700,PTC
2025-09-12,8.72,8.73,8.22,8.58,77400,PTC
2025-09-15,8.58,8.59,8.17,8.29,49700,PTC
2025-09-16,8.24,8.25,7.75,7.76,56400,PTC
2025-09-17,7.76,8.28,7.76,7.92,31200,PTC
2025-09-18,7.91,7.91,7.75,7.86,13000,PTC
2025-09-19,7.86,7.86,7.76,7.8,16300,PTC
2025-09-22,7.76,7.8,7.7,7.8,22500,PTC
2025-09-23,7.8,7.9,7.75,7.8,173400,PTC
2025-09-24,7.8,7.9,7.32,7.9,66400,PTC
2025-09-25,7.9,8.3,7.9,8.0,22100,PTC
2025-09-26,7.8,7.9,7.75,7.86,21200,PTC
2025-09-29,7.85,7.85,7.7,7.81,24400,PTC
2025-09-30,7.85,7.86,7.8,7.81,24700,PTC
2025-10-01,7.83,7.87,7.82,7.83,7100,PTC
2025-10-02,7.82,7.83,7.82,7.82,12100,PTC
2025-10-03,7.82,7.82,7.8,7.8,47500,PTC
2025-10-06,7.79,8.28,7.79,7.97,14200,PTC
2025-10-07,8.0,8.0,7.85,7.85,3000,PTC
2025-10-08,7.85,7.92,7.76,7.76,16600,PTC
2025-10-09,7.81,7.85,7.8,7.81,7300,PTC
2025-10-10,7.81,7.92,7.81,7.86,44100,PTC
2025-10-13,7.86,7.94,7.86,7.94,29500,PTC
2025-10-14,7.94,7.94,7.9,7.9,7200,PTC
2025-10-15,7.9,8.2,7.8,7.94,54500,PTC
2025-10-16,8.1,8.21,7.95,8.19,24200,PTC
2025-10-17,8.0,8.19,8.0,8.0,5800,PTC
2025-10-20,7.73,7.99,7.6,7.6,57600,PTC
2025-10-21,7.6,7.9,7.59,7.6,63800,PTC
2025-10-22,7.7,7.9,7.5,7.73,161500,PTC
2025-10-23,7.9,7.99,7.81,7.81,20700,PTC
2025-10-24,7.9,7.9,7.5,7.84,17400,PTC
2025-10-27,7.66,7.83,7.43,7.83,5700,PTC
2025-10-28,7.8,7.83,7.75,7.75,20400,PTC
2025-10-29,7.84,7.84,7.61,7.77,12200,PTC
2025-10-30,7.79,7.79,7.6,7.78,6200,PTC
2025-10-31,7.96,7.96,7.5,7.55,11000,PTC
