time,open,high,low,close,volume,symbol
2025-07-03,21.0,21.0,20.9,21.0,6900,PTX
2025-07-04,19.4,21.0,19.4,21.0,900,PTX
2025-07-07,22.4,22.4,20.1,20.1,200,PTX
2025-07-08,22.0,22.0,22.0,22.0,100,PTX
2025-07-09,21.8,22.0,20.6,22.0,8900,PTX
2025-07-10,22.0,22.0,20.1,20.6,800,PTX
2025-07-11,20.7,22.5,20.6,22.5,1500,PTX
2025-07-14,20.6,20.6,20.6,20.6,100,PTX
2025-07-15,20.0,21.0,19.1,20.1,1000,PTX
2025-07-16,20.1,20.2,20.1,20.1,1200,PTX
2025-07-17,20.9,20.9,20.9,20.9,100,PTX
2025-07-18,21.3,21.3,21.3,21.3,1600,PTX
2025-07-21,21.2,21.3,21.2,21.3,900,PTX
2025-07-22,21.3,22.5,21.0,22.5,500,PTX
2025-07-23,22.5,22.5,20.6,20.6,300,PTX
2025-07-24,20.6,22.0,19.6,19.6,1800,PTX
2025-07-25,21.0,21.5,21.0,21.1,1600,PTX
2025-07-28,21.1,22.0,20.0,20.0,300,PTX
2025-07-29,21.0,22.0,21.0,22.0,200,PTX
2025-07-30,21.5,21.5,21.5,21.5,100,PTX
2025-08-04,21.5,22.5,20.0,22.5,5400,PTX
2025-08-07,21.5,21.5,20.4,20.4,300,PTX
2025-08-08,20.4,20.4,20.4,20.4,200,PTX
2025-08-14,20.4,22.4,19.5,22.4,135700,PTX
2025-08-18,22.2,22.2,20.8,20.8,300,PTX
2025-08-19,19.4,22.0,19.4,22.0,300,PTX
2025-08-20,22.0,24.0,22.0,24.0,700,PTX
2025-08-21,25.6,25.6,24.0,25.5,300,PTX
2025-08-22,27.0,27.0,27.0,27.0,100,PTX
2025-08-29,28.0,28.0,28.0,28.0,100,PTX
2025-09-05,30.0,30.0,30.0,30.0,100,PTX
2025-09-11,27.0,27.0,27.0,27.0,100,PTX
2025-09-12,29.7,29.7,29.7,29.7,100,PTX
2025-09-16,29.9,29.9,29.9,29.9,100,PTX
2025-09-26,27.0,27.0,27.0,27.0,500,PTX
2025-09-30,24.3,26.9,24.3,26.9,1100,PTX
2025-10-01,24.3,24.3,24.3,24.3,100,PTX
2025-10-02,21.9,21.9,21.9,21.9,100,PTX
2025-10-03,20.0,24.0,20.0,24.0,2600,PTX
2025-10-06,21.7,21.7,21.7,21.7,100,PTX
2025-10-07,23.8,23.8,20.9,20.9,200,PTX
2025-10-08,22.9,22.9,22.9,22.9,100,PTX
2025-10-09,20.8,20.8,20.8,20.8,100,PTX
2025-10-14,22.7,22.7,22.7,22.7,500,PTX
2025-10-15,23.0,24.9,23.0,24.9,200,PTX
2025-10-17,27.0,27.0,27.0,27.0,100,PTX
2025-10-20,29.7,29.7,29.7,29.7,100,PTX
2025-10-21,31.8,31.8,31.8,31.8,100,PTX
2025-10-22,34.8,34.8,28.7,28.7,200,PTX
2025-10-31,27.0,27.0,27.0,27.0,100,PTX
