time,open,high,low,close,volume,symbol
2025-08-21,35.5,35.8,34.8,35.0,6646000,PVS
2025-08-22,35.0,35.9,33.9,34.2,8055100,PVS
2025-08-25,34.3,34.7,32.9,33.0,6012000,PVS
2025-08-26,33.0,33.8,32.7,33.7,4433100,PVS
2025-08-27,33.7,34.8,33.5,34.4,5185500,PVS
2025-08-28,34.3,34.6,33.8,34.0,3593200,PVS
2025-08-29,34.0,34.3,33.8,33.9,4788900,PVS
2025-09-03,34.1,35.3,34.1,35.1,4368600,PVS
2025-09-04,35.5,35.5,34.9,35.1,5283200,PVS
2025-09-05,35.1,36.1,34.8,35.1,7569400,PVS
2025-09-08,35.2,35.5,33.7,33.7,5565800,PVS
2025-09-09,33.7,34.1,33.6,33.8,2548900,PVS
2025-09-10,34.2,34.8,34.0,34.3,3514900,PVS
2025-09-11,34.6,34.9,33.9,34.2,3119800,PVS
2025-09-12,34.4,35.8,34.2,35.4,6643000,PVS
2025-09-15,35.4,36.0,35.1,35.4,3609000,PVS
2025-09-16,35.8,36.1,35.0,35.1,5054300,PVS
2025-09-17,35.6,36.2,35.2,35.4,6285900,PVS
2025-09-18,35.4,35.6,34.6,34.7,3205000,PVS
2025-09-19,34.7,35.1,34.5,34.5,2181300,PVS
2025-09-22,34.6,34.8,33.6,33.8,3661000,PVS
2025-09-23,33.8,34.3,33.8,33.8,1127000,PVS
2025-09-24,34.0,34.4,33.6,34.0,2343800,PVS
2025-09-25,34.2,34.7,34.2,34.4,2532500,PVS
2025-09-26,34.6,34.6,33.9,33.9,2657500,PVS
2025-09-29,33.7,34.3,33.7,33.7,1627500,PVS
2025-09-30,33.7,33.9,32.5,32.8,4914400,PVS
2025-10-01,32.8,33.1,32.7,32.8,1955700,PVS
2025-10-02,32.9,33.1,32.3,32.5,2063000,PVS
2025-10-03,32.5,32.6,31.4,31.5,4103800,PVS
2025-10-06,31.5,32.5,31.5,32.3,2519800,PVS
2025-10-07,32.5,32.9,32.0,32.0,2474900,PVS
2025-10-08,32.9,33.0,32.1,32.4,1738300,PVS
2025-10-09,32.6,33.5,32.1,33.4,4451600,PVS
2025-10-10,33.3,33.6,32.8,32.8,2405400,PVS
2025-10-13,32.8,32.8,31.8,31.9,5028100,PVS
2025-10-14,31.9,32.5,31.2,31.4,5934800,PVS
2025-10-15,31.5,31.6,30.4,30.5,6017300,PVS
2025-10-16,30.5,31.4,30.3,31.1,4263200,PVS
2025-10-17,31.2,31.2,30.4,30.4,2994400,PVS
2025-10-20,30.4,30.8,28.2,28.2,5477300,PVS
2025-10-21,28.2,29.4,28.2,29.0,5025100,PVS
2025-10-22,29.1,30.3,29.0,30.3,3748200,PVS
2025-10-23,30.7,31.6,30.5,30.7,3955000,PVS
2025-10-24,30.9,32.2,30.9,31.2,5940700,PVS
2025-10-27,31.5,32.4,30.8,31.0,2434700,PVS
2025-10-28,31.0,31.7,29.6,31.5,4388500,PVS
2025-10-29,31.5,32.3,31.5,31.9,3547100,PVS
2025-10-30,32.0,32.7,31.6,32.3,4537600,PVS
2025-10-31,32.3,34.2,32.1,32.8,8591200,PVS
