time,open,high,low,close,volume,symbol
2025-08-21,47.5,47.9,46.6,46.8,1046623,QNS
2025-08-22,46.9,47.4,46.7,47.0,405853,QNS
2025-08-25,47.5,47.5,46.9,47.0,80163,QNS
2025-08-26,47.0,47.2,47.0,47.2,87000,QNS
2025-08-27,47.3,47.4,47.2,47.2,72000,QNS
2025-08-28,47.3,47.4,47.3,47.3,68000,QNS
2025-08-29,47.3,47.6,47.1,47.6,222200,QNS
2025-09-03,47.2,47.6,47.2,47.5,89000,QNS
2025-09-04,47.4,47.6,47.4,47.6,143300,QNS
2025-09-05,47.6,47.8,47.2,47.2,116500,QNS
2025-09-08,47.3,47.6,47.3,47.3,209300,QNS
2025-09-09,47.3,47.5,47.3,47.4,116100,QNS
2025-09-10,47.4,47.6,47.0,47.0,145800,QNS
2025-09-11,47.3,47.3,47.0,47.3,104900,QNS
2025-09-12,47.6,47.6,47.3,47.3,45300,QNS
2025-09-15,47.3,47.6,47.3,47.5,78100,QNS
2025-09-16,47.6,47.8,47.5,47.8,155400,QNS
2025-09-17,47.8,47.9,47.4,47.4,118500,QNS
2025-09-18,47.7,47.9,47.3,47.8,112600,QNS
2025-09-19,47.7,47.7,47.5,47.5,18600,QNS
2025-09-22,47.6,47.7,47.2,47.5,71700,QNS
2025-09-23,47.5,47.6,47.2,47.2,63800,QNS
2025-09-24,47.3,47.4,47.2,47.3,31100,QNS
2025-09-25,47.3,47.6,47.3,47.5,83700,QNS
2025-09-26,47.5,47.5,47.2,47.2,102700,QNS
2025-09-29,47.3,47.7,47.3,47.5,82000,QNS
2025-09-30,47.5,47.6,47.3,47.6,89300,QNS
2025-10-01,47.4,47.5,47.3,47.5,47100,QNS
2025-10-02,47.4,47.6,47.3,47.4,54400,QNS
2025-10-03,47.5,47.5,47.3,47.4,43400,QNS
2025-10-06,47.4,47.5,47.2,47.4,36000,QNS
2025-10-07,47.5,47.5,47.3,47.4,68200,QNS
2025-10-08,47.4,47.7,47.4,47.5,54400,QNS
2025-10-09,47.5,47.7,47.4,47.5,91700,QNS
2025-10-10,47.5,47.6,47.3,47.5,83400,QNS
2025-10-13,47.5,47.5,46.6,46.7,470500,QNS
2025-10-14,47.1,47.2,46.8,47.1,101700,QNS
2025-10-15,47.0,47.1,46.5,46.7,213800,QNS
2025-10-16,46.7,47.1,46.6,46.9,93500,QNS
2025-10-17,47.0,47.0,46.6,46.9,231700,QNS
2025-10-20,46.9,47.1,45.6,46.0,211500,QNS
2025-10-21,46.0,46.9,46.0,46.6,293900,QNS
2025-10-22,46.6,47.3,46.6,46.8,502500,QNS
2025-10-23,46.8,47.0,46.3,46.5,354700,QNS
2025-10-24,46.6,46.6,46.3,46.4,102300,QNS
2025-10-27,46.4,46.9,46.3,46.3,87500,QNS
2025-10-28,46.3,46.3,45.9,46.1,100400,QNS
2025-10-29,46.3,46.3,45.1,45.2,255600,QNS
2025-10-30,45.6,45.7,45.0,45.2,196300,QNS
2025-10-31,45.2,45.4,44.9,45.1,94100,QNS
