time,open,high,low,close,volume,symbol
2025-08-21,46.55,46.9,46.3,46.6,1406200,SAB
2025-08-22,46.5,46.6,45.7,45.8,1847600,SAB
2025-08-25,45.8,46.0,45.5,45.6,990900,SAB
2025-08-26,45.6,45.9,45.45,45.9,696900,SAB
2025-08-27,46.1,46.3,45.85,46.0,1209900,SAB
2025-08-28,46.0,46.65,46.0,46.55,545500,SAB
2025-08-29,46.8,46.9,46.55,46.55,788100,SAB
2025-09-03,46.6,46.6,46.25,46.35,558900,SAB
2025-09-04,46.5,47.2,46.35,47.1,1013000,SAB
2025-09-05,47.25,47.5,47.1,47.3,1242400,SAB
2025-09-08,47.5,47.55,46.75,46.8,869100,SAB
2025-09-09,46.75,46.8,46.2,46.3,858200,SAB
2025-09-10,46.5,46.6,46.15,46.25,506700,SAB
2025-09-11,46.4,46.5,45.7,46.4,705600,SAB
2025-09-12,46.3,47.4,46.3,46.65,1050800,SAB
2025-09-15,46.95,47.0,46.65,46.7,507500,SAB
2025-09-16,46.95,48.15,46.6,47.8,2744100,SAB
2025-09-17,47.8,48.15,47.3,47.3,983000,SAB
2025-09-18,47.45,47.55,46.7,46.8,1010400,SAB
2025-09-19,46.95,46.95,46.0,46.0,1385500,SAB
2025-09-22,46.1,46.45,45.5,45.7,1354200,SAB
2025-09-23,45.8,46.1,45.65,45.8,447500,SAB
2025-09-24,45.9,46.1,45.5,46.1,503600,SAB
2025-09-25,46.15,46.25,45.75,45.85,468600,SAB
2025-09-26,46.05,46.05,45.65,45.65,480800,SAB
2025-09-29,45.7,45.7,45.35,45.5,571100,SAB
2025-09-30,45.5,45.6,45.15,45.2,553000,SAB
2025-10-01,45.3,45.55,45.2,45.3,324100,SAB
2025-10-02,45.4,45.75,45.4,45.4,696400,SAB
2025-10-03,45.45,45.8,45.4,45.55,425600,SAB
2025-10-06,46.05,46.2,45.7,46.15,894200,SAB
2025-10-07,46.45,46.45,45.9,46.0,690800,SAB
2025-10-08,46.3,46.4,45.95,45.95,517900,SAB
2025-10-09,46.0,46.05,45.55,45.6,557300,SAB
2025-10-10,45.6,45.95,45.55,45.85,481500,SAB
2025-10-13,45.5,45.95,45.35,45.95,521600,SAB
2025-10-14,45.8,45.95,45.4,45.4,579100,SAB
2025-10-15,45.45,45.7,45.25,45.25,544100,SAB
2025-10-16,45.3,45.6,45.1,45.2,467500,SAB
2025-10-17,45.2,45.5,44.9,45.25,825800,SAB
2025-10-20,45.05,45.25,44.0,44.0,961100,SAB
2025-10-21,44.15,44.5,44.0,44.45,806800,SAB
2025-10-22,44.45,44.8,44.25,44.8,390300,SAB
2025-10-23,44.8,45.65,44.55,45.45,730200,SAB
2025-10-24,45.5,45.5,45.0,45.15,354200,SAB
2025-10-27,45.5,45.75,45.2,45.45,691600,SAB
2025-10-28,45.45,45.65,45.35,45.45,405600,SAB
2025-10-29,45.8,46.0,45.45,45.75,762700,SAB
2025-10-30,45.9,45.9,45.4,45.7,623700,SAB
2025-10-31,45.85,45.9,45.6,45.85,575000,SAB
