time,open,high,low,close,volume,symbol
2025-08-21,40.53,40.53,39.85,39.85,601,SBH
2025-08-22,39.85,40.63,39.46,39.46,3700,SBH
2025-08-25,39.56,39.56,39.56,39.56,200,SBH
2025-08-26,40.53,40.53,40.53,40.53,1300,SBH
2025-08-27,39.75,40.73,39.75,40.73,212,SBH
2025-08-28,40.53,40.53,40.53,40.53,100,SBH
2025-08-29,39.85,40.44,39.85,40.04,1700,SBH
2025-09-03,40.04,41.02,39.17,39.17,8500,SBH
2025-09-04,39.56,40.53,38.97,40.53,8633,SBH
2025-09-05,39.26,39.26,39.26,39.26,1555,SBH
2025-09-08,39.56,40.24,39.56,39.85,2200,SBH
2025-09-09,39.56,40.14,39.56,40.14,311,SBH
2025-09-10,39.95,39.95,39.75,39.75,1300,SBH
2025-09-11,40.14,41.51,39.95,41.02,9421,SBH
2025-09-12,42.0,43.95,41.51,41.51,3610,SBH
2025-09-15,42.0,42.0,42.0,42.0,1800,SBH
2025-09-16,40.3,42.4,40.3,42.1,632,SBH
2025-09-17,41.8,41.8,41.8,41.8,201,SBH
2025-09-18,41.8,41.8,41.8,41.8,700,SBH
2025-09-19,40.7,40.7,40.7,40.7,100,SBH
2025-09-22,40.8,40.8,40.5,40.6,2302,SBH
2025-09-23,40.7,41.0,40.7,40.8,1405,SBH
2025-09-24,40.7,40.7,40.6,40.6,14700,SBH
2025-09-25,40.6,40.6,40.6,40.6,8,SBH
2025-09-26,42.6,42.6,42.5,42.5,7010,SBH
2025-09-29,36.3,42.7,36.3,40.8,1000,SBH
2025-09-30,42.3,42.3,42.3,42.3,100,SBH
2025-10-01,42.3,42.3,42.3,42.3,1000,SBH
2025-10-02,42.5,42.5,41.0,41.0,4100,SBH
2025-10-03,43.5,43.5,42.5,42.5,600,SBH
2025-10-06,43.4,43.4,43.4,43.4,100,SBH
2025-10-07,42.9,43.2,42.9,43.0,1400,SBH
2025-10-08,43.0,44.2,43.0,43.3,1500,SBH
2025-10-09,43.2,43.2,43.2,43.2,100,SBH
2025-10-10,44.0,44.0,40.7,40.7,2300,SBH
2025-10-13,44.0,44.0,43.5,43.5,1400,SBH
2025-10-14,43.6,43.7,43.6,43.7,200,SBH
2025-10-15,43.0,44.0,43.0,43.9,5200,SBH
2025-10-16,43.5,43.5,43.5,43.5,200,SBH
2025-10-17,43.8,43.9,40.8,43.7,1000,SBH
2025-10-20,43.5,43.5,41.5,41.5,400,SBH
2025-10-21,42.5,42.5,42.5,42.5,300,SBH
2025-10-22,42.4,42.9,42.4,42.9,200,SBH
2025-10-23,43.7,43.7,43.6,43.6,300,SBH
2025-10-24,41.5,41.5,41.5,41.5,200,SBH
2025-10-27,43.8,43.8,43.7,43.8,500,SBH
2025-10-28,43.6,43.6,43.6,43.6,400,SBH
2025-10-29,43.7,43.7,43.7,43.7,500,SBH
2025-10-30,43.6,43.6,43.6,43.6,900,SBH
2025-10-31,42.0,42.1,42.0,42.1,900,SBH
