time,open,high,low,close,volume,symbol
2025-08-21,61.83,61.92,61.35,61.83,439336,SCS
2025-08-22,61.73,62.88,61.25,62.4,651910,SCS
2025-08-25,63.26,63.26,61.35,61.44,392840,SCS
2025-08-26,61.44,61.63,61.06,61.54,288002,SCS
2025-08-27,61.73,61.92,61.54,61.83,338971,SCS
2025-08-28,62.02,62.59,61.83,62.4,365592,SCS
2025-08-29,62.9,62.9,61.4,61.7,367013,SCS
2025-09-03,61.5,61.5,60.5,60.7,445417,SCS
2025-09-04,60.7,61.1,60.5,60.7,270551,SCS
2025-09-05,60.8,61.1,60.3,60.5,308259,SCS
2025-09-08,60.2,60.5,60.0,60.0,307422,SCS
2025-09-09,60.0,60.0,59.6,59.8,232828,SCS
2025-09-10,60.1,60.1,59.5,59.7,211675,SCS
2025-09-11,60.0,60.0,58.8,59.8,225596,SCS
2025-09-12,60.1,60.4,59.8,60.2,132674,SCS
2025-09-15,60.2,61.2,60.2,60.9,280200,SCS
2025-09-16,60.9,61.6,60.6,61.4,326100,SCS
2025-09-17,61.4,61.8,61.0,61.4,326600,SCS
2025-09-18,61.4,61.4,60.7,60.8,154400,SCS
2025-09-19,60.8,61.0,60.5,60.5,144500,SCS
2025-09-22,60.8,60.8,59.4,59.4,247700,SCS
2025-09-23,59.5,59.9,59.3,59.5,101700,SCS
2025-09-24,59.8,59.8,59.2,59.7,167600,SCS
2025-09-25,59.7,60.0,59.7,59.7,125900,SCS
2025-09-26,60.1,60.1,59.7,59.7,64900,SCS
2025-09-29,59.6,61.5,59.4,60.6,199700,SCS
2025-09-30,61.0,62.1,61.0,62.0,735400,SCS
2025-10-01,62.0,62.3,61.6,61.7,285400,SCS
2025-10-02,61.9,62.0,61.0,61.0,207800,SCS
2025-10-03,60.8,61.0,60.1,60.3,152100,SCS
2025-10-06,60.3,61.1,60.3,61.0,156400,SCS
2025-10-07,61.2,61.2,60.3,60.3,150800,SCS
2025-10-08,60.3,60.8,60.0,60.1,300400,SCS
2025-10-09,59.9,59.9,58.0,58.1,1179800,SCS
2025-10-10,58.4,58.4,57.1,57.5,536000,SCS
2025-10-13,57.1,58.0,57.1,57.6,212000,SCS
2025-10-14,57.7,57.9,57.0,57.0,328500,SCS
2025-10-15,57.0,57.2,56.3,56.3,265600,SCS
2025-10-16,56.3,56.3,55.7,55.7,263600,SCS
2025-10-17,55.3,56.0,55.3,55.3,220400,SCS
2025-10-20,55.5,56.2,52.0,54.0,346500,SCS
2025-10-21,54.3,56.0,54.3,55.9,272200,SCS
2025-10-22,56.0,56.5,55.4,55.8,205500,SCS
2025-10-23,56.0,56.1,55.8,55.8,213500,SCS
2025-10-24,56.0,56.0,55.3,55.4,184300,SCS
2025-10-27,55.7,56.4,54.9,55.1,504900,SCS
2025-10-28,55.3,56.0,54.8,55.0,193300,SCS
2025-10-29,55.2,55.9,55.1,55.2,373600,SCS
2025-10-30,55.4,56.3,55.1,55.5,361900,SCS
2025-10-31,55.7,56.9,55.6,56.4,389600,SCS
