time,open,high,low,close,volume,symbol
2025-07-10,21.0,21.0,21.0,21.0,500,SFC
2025-07-11,22.4,22.4,19.6,19.6,400,SFC
2025-07-14,20.9,20.9,20.9,20.9,1400,SFC
2025-07-15,21.95,21.95,21.95,21.95,100,SFC
2025-07-21,20.9,20.9,20.9,20.9,1200,SFC
2025-07-23,19.8,19.8,19.8,19.8,500,SFC
2025-07-24,20.7,21.1,20.7,21.1,500,SFC
2025-07-25,21.1,21.1,20.8,20.8,200,SFC
2025-07-30,19.9,20.7,19.6,20.7,4700,SFC
2025-07-31,22.0,22.0,21.9,21.9,400,SFC
2025-08-01,20.5,20.5,20.4,20.4,2200,SFC
2025-08-04,20.4,20.5,20.4,20.4,800,SFC
2025-08-05,20.3,20.3,20.3,20.3,1900,SFC
2025-08-06,19.7,19.7,19.7,19.7,500,SFC
2025-08-07,20.7,20.7,20.7,20.7,200,SFC
2025-08-12,19.75,19.75,19.75,19.75,100,SFC
2025-08-13,20.6,20.6,20.2,20.2,600,SFC
2025-08-14,20.2,20.2,20.2,20.2,200,SFC
2025-08-18,20.05,20.05,20.05,20.05,500,SFC
2025-08-26,19.9,19.9,19.9,19.9,200,SFC
2025-08-27,19.9,19.9,19.85,19.9,1300,SFC
2025-08-28,19.2,19.2,19.05,19.05,300,SFC
2025-08-29,19.15,19.15,19.15,19.15,1000,SFC
2025-09-03,19.2,20.4,19.2,20.4,2100,SFC
2025-09-05,20.15,20.15,20.05,20.05,400,SFC
2025-09-10,20.75,20.75,20.75,20.75,100,SFC
2025-09-11,19.4,20.6,19.4,20.0,3300,SFC
2025-09-15,19.4,19.95,19.4,19.95,500,SFC
2025-09-16,19.9,19.9,19.9,19.9,900,SFC
2025-09-22,19.5,19.6,19.5,19.5,600,SFC
2025-09-25,19.5,19.5,19.5,19.5,1000,SFC
2025-09-29,18.3,19.45,18.3,19.45,500,SFC
2025-10-01,19.0,19.8,19.0,19.8,3100,SFC
2025-10-02,19.65,19.65,19.65,19.65,700,SFC
2025-10-03,18.4,18.4,18.4,18.4,4400,SFC
2025-10-07,19.4,19.4,18.65,18.65,200,SFC
2025-10-08,19.45,19.45,19.4,19.4,900,SFC
2025-10-09,19.6,19.6,19.45,19.45,900,SFC
2025-10-10,18.8,18.8,18.25,18.8,4000,SFC
2025-10-14,19.5,19.5,19.5,19.5,300,SFC
2025-10-15,18.4,19.15,18.4,18.55,1500,SFC
2025-10-17,18.6,18.8,18.6,18.8,900,SFC
2025-10-20,18.15,18.85,18.15,18.85,400,SFC
2025-10-21,18.6,18.75,18.6,18.6,2000,SFC
2025-10-22,18.6,18.6,18.3,18.3,1300,SFC
2025-10-23,19.0,19.5,18.8,19.5,300,SFC
2025-10-27,19.3,19.3,19.3,19.3,300,SFC
2025-10-28,19.3,19.65,19.3,19.65,200,SFC
2025-10-29,19.5,19.5,19.4,19.4,200,SFC
2025-10-31,19.5,19.5,19.5,19.5,100,SFC
